eicosenoic,linoleic,palmitic,linolenic,oleic,stearic,palmitoleic,arachidic,region
0.0,7.5,44.4,66.7,76.3,28.3,24.5,56.3,Umbria
0.0,16.8,39.6,59.7,79.9,10.3,17.0,46.6,Umbria
0.0,8.5,43.6,59.7,77.3,28.3,24.5,56.3,Umbria
0.0,14.9,44.0,31.9,78.9,23.8,15.1,17.5,Umbria
0.0,14.9,43.1,31.9,78.1,26.0,13.2,32.0,Umbria
0.0,14.9,44.4,69.4,78.2,30.5,13.2,7.8,Umbria
0.0,14.9,42.8,52.8,78.4,26.0,8.3,36.9,Umbria
23.2,43.7,65.5,31.9,46.3,20.2,67.5,42.7,SouthApulia
21.4,62.2,67.0,26.4,29.8,32.7,71.3,46.6,SouthApulia
30.4,49.6,71.1,26.4,39.3,28.7,69.4,44.7,SouthApulia
42.9,53.9,68.8,37.5,38.2,25.1,61.5,63.1,SouthApulia
53.6,73.9,71.3,44.4,25.7,29.1,64.2,68.0,SouthApulia
39.3,76.8,71.1,41.7,19.7,57.4,81.9,56.3,SouthApulia
50.0,77.5,79.9,55.6,16.4,47.1,73.2,58.3,SouthApulia
35.7,60.6,62.8,52.8,34.9,46.6,68.7,56.3,SouthApulia
46.4,59.2,60.1,50.0,39.4,22.9,66.8,61.2,SouthApulia
46.4,83.7,58.9,56.9,26.6,22.4,66.4,66.0,SouthApulia
39.3,84.1,75.8,47.2,21.2,13.9,63.4,56.3,SouthApulia
26.8,76.8,70.1,50.0,26.6,17.5,64.9,56.3,SouthApulia
28.6,73.8,71.4,38.9,27.3,25.1,67.2,56.3,SouthApulia
25.0,70.5,67.5,45.8,30.9,22.9,72.1,46.6,SouthApulia
21.4,68.1,78.0,48.6,29.4,8.1,59.2,50.5,SouthApulia
26.8,83.2,63.4,30.6,29.0,23.8,54.7,46.6,SouthApulia
46.4,84.5,62.3,54.2,28.5,8.1,57.0,65.0,SouthApulia
17.9,76.5,60.1,37.5,35.1,13.9,55.8,53.4,SouthApulia
21.4,67.6,68.4,40.3,35.0,16.1,59.6,40.8,SouthApulia
37.5,58.1,69.7,30.6,37.3,31.8,56.2,39.8,SouthApulia
33.9,82.3,63.5,47.2,26.7,20.6,60.0,66.0,SouthApulia
30.4,79.7,60.4,33.3,33.2,17.9,53.6,47.6,SouthApulia
39.3,80.7,66.8,48.6,27.9,19.7,55.8,54.4,SouthApulia
50.0,63.9,69.1,58.3,29.1,40.4,63.0,64.1,SouthApulia
39.3,66.7,67.5,51.4,33.2,13.0,62.3,41.7,SouthApulia
25.0,77.8,61.6,40.3,34.4,10.3,56.6,37.9,SouthApulia
23.2,68.8,65.4,51.4,36.6,7.6,54.7,44.7,SouthApulia
23.2,78.1,67.5,38.9,30.2,14.3,58.9,44.7,SouthApulia
16.1,79.5,61.8,36.1,33.4,7.6,59.2,46.6,SouthApulia
30.4,77.8,65.9,47.2,30.1,15.2,61.9,46.6,SouthApulia
33.9,80.5,59.8,52.8,33.2,13.5,51.3,48.5,SouthApulia
35.7,69.9,74.6,52.8,27.6,20.6,60.4,66.0,SouthApulia
17.9,73.8,62.2,33.3,35.7,13.9,62.3,29.1,SouthApulia
44.6,81.4,66.7,36.1,28.5,10.8,55.8,61.2,SouthApulia
41.1,78.8,61.3,54.2,29.4,19.7,64.9,71.8,SouthApulia
42.9,59.6,67.4,54.2,33.6,29.6,58.9,50.5,SouthApulia
21.4,76.9,53.1,34.7,40.7,1.8,51.3,47.6,SouthApulia
25.0,81.1,65.6,63.9,29.2,13.9,52.5,52.4,SouthApulia
32.1,37.1,64.4,44.4,45.5,34.5,64.5,52.4,SouthApulia
21.4,76.4,61.4,54.2,33.3,24.7,53.2,44.7,SouthApulia
42.9,76.5,54.8,62.5,31.3,27.4,62.6,69.9,SouthApulia
25.0,75.1,52.5,56.9,37.9,17.0,57.7,60.2,SouthApulia
25.0,79.5,61.1,45.8,33.4,11.2,52.1,56.3,SouthApulia
21.4,75.7,56.7,40.3,38.1,2.7,55.8,56.3,SouthApulia
26.8,75.5,64.4,47.2,31.9,20.2,54.3,56.3,SouthApulia
25.0,78.9,54.1,45.8,37.3,8.5,57.4,46.6,SouthApulia
41.1,73.0,62.9,45.8,34.6,11.2,61.9,38.8,SouthApulia
17.9,72.3,58.1,27.8,39.3,6.3,57.4,48.5,SouthApulia
23.2,72.9,52.5,47.2,39.3,22.0,60.4,45.6,SouthApulia
