arachidic,linolenic,palmitic,oleic,stearic,eicosenoic,palmitoleic,linoleic,region
56.3,66.7,44.4,76.3,28.3,0.0,24.5,7.5,Umbria
46.6,59.7,39.6,79.9,10.3,0.0,17.0,16.8,Umbria
56.3,59.7,43.6,77.3,28.3,0.0,24.5,8.5,Umbria
17.5,31.9,44.0,78.9,23.8,0.0,15.1,14.9,Umbria
32.0,31.9,43.1,78.1,26.0,0.0,13.2,14.9,Umbria
7.8,69.4,44.4,78.2,30.5,0.0,13.2,14.9,Umbria
36.9,52.8,42.8,78.4,26.0,0.0,8.3,14.9,Umbria
42.7,31.9,65.5,46.3,20.2,23.2,67.5,43.7,SouthApulia
46.6,26.4,67.0,29.8,32.7,21.4,71.3,62.2,SouthApulia
44.7,26.4,71.1,39.3,28.7,30.4,69.4,49.6,SouthApulia
63.1,37.5,68.8,38.2,25.1,42.9,61.5,53.9,SouthApulia
68.0,44.4,71.3,25.7,29.1,53.6,64.2,73.9,SouthApulia
56.3,41.7,71.1,19.7,57.4,39.3,81.9,76.8,SouthApulia
58.3,55.6,79.9,16.4,47.1,50.0,73.2,77.5,SouthApulia
56.3,52.8,62.8,34.9,46.6,35.7,68.7,60.6,SouthApulia
61.2,50.0,60.1,39.4,22.9,46.4,66.8,59.2,SouthApulia
66.0,56.9,58.9,26.6,22.4,46.4,66.4,83.7,SouthApulia
56.3,47.2,75.8,21.2,13.9,39.3,63.4,84.1,SouthApulia
56.3,50.0,70.1,26.6,17.5,26.8,64.9,76.8,SouthApulia
56.3,38.9,71.4,27.3,25.1,28.6,67.2,73.8,SouthApulia
46.6,45.8,67.5,30.9,22.9,25.0,72.1,70.5,SouthApulia
50.5,48.6,78.0,29.4,8.1,21.4,59.2,68.1,SouthApulia
46.6,30.6,63.4,29.0,23.8,26.8,54.7,83.2,SouthApulia
65.0,54.2,62.3,28.5,8.1,46.4,57.0,84.5,SouthApulia
53.4,37.5,60.1,35.1,13.9,17.9,55.8,76.5,SouthApulia
40.8,40.3,68.4,35.0,16.1,21.4,59.6,67.6,SouthApulia
39.8,30.6,69.7,37.3,31.8,37.5,56.2,58.1,SouthApulia
66.0,47.2,63.5,26.7,20.6,33.9,60.0,82.3,SouthApulia
47.6,33.3,60.4,33.2,17.9,30.4,53.6,79.7,SouthApulia
54.4,48.6,66.8,27.9,19.7,39.3,55.8,80.7,SouthApulia
64.1,58.3,69.1,29.1,40.4,50.0,63.0,63.9,SouthApulia
41.7,51.4,67.5,33.2,13.0,39.3,62.3,66.7,SouthApulia
37.9,40.3,61.6,34.4,10.3,25.0,56.6,77.8,SouthApulia
44.7,51.4,65.4,36.6,7.6,23.2,54.7,68.8,SouthApulia
44.7,38.9,67.5,30.2,14.3,23.2,58.9,78.1,SouthApulia
46.6,36.1,61.8,33.4,7.6,16.1,59.2,79.5,SouthApulia
46.6,47.2,65.9,30.1,15.2,30.4,61.9,77.8,SouthApulia
48.5,52.8,59.8,33.2,13.5,33.9,51.3,80.5,SouthApulia
66.0,52.8,74.6,27.6,20.6,35.7,60.4,69.9,SouthApulia
29.1,33.3,62.2,35.7,13.9,17.9,62.3,73.8,SouthApulia
61.2,36.1,66.7,28.5,10.8,44.6,55.8,81.4,SouthApulia
71.8,54.2,61.3,29.4,19.7,41.1,64.9,78.8,SouthApulia
50.5,54.2,67.4,33.6,29.6,42.9,58.9,59.6,SouthApulia
47.6,34.7,53.1,40.7,1.8,21.4,51.3,76.9,SouthApulia
52.4,63.9,65.6,29.2,13.9,25.0,52.5,81.1,SouthApulia
52.4,44.4,64.4,45.5,34.5,32.1,64.5,37.1,SouthApulia
44.7,54.2,61.4,33.3,24.7,21.4,53.2,76.4,SouthApulia
69.9,62.5,54.8,31.3,27.4,42.9,62.6,76.5,SouthApulia
60.2,56.9,52.5,37.9,17.0,25.0,57.7,75.1,SouthApulia
56.3,45.8,61.1,33.4,11.2,25.0,52.1,79.5,SouthApulia
56.3,40.3,56.7,38.1,2.7,21.4,55.8,75.7,SouthApulia
56.3,47.2,64.4,31.9,20.2,26.8,54.3,75.5,SouthApulia
46.6,45.8,54.1,37.3,8.5,25.0,57.4,78.9,SouthApulia
38.8,45.8,62.9,34.6,11.2,41.1,61.9,73.0,SouthApulia
48.5,27.8,58.1,39.3,6.3,17.9,57.4,72.3,SouthApulia
45.6,47.2,52.5,39.3,22.0,23.2,60.4,72.9,SouthApulia
