palmitic,palmitoleic,linoleic,arachidic,linolenic,eicosenoic,stearic,oleic,region
44.4,24.5,7.5,56.3,66.7,0.0,28.3,76.3,Umbria
39.6,17.0,16.8,46.6,59.7,0.0,10.3,79.9,Umbria
43.6,24.5,8.5,56.3,59.7,0.0,28.3,77.3,Umbria
44.0,15.1,14.9,17.5,31.9,0.0,23.8,78.9,Umbria
43.1,13.2,14.9,32.0,31.9,0.0,26.0,78.1,Umbria
44.4,13.2,14.9,7.8,69.4,0.0,30.5,78.2,Umbria
42.8,8.3,14.9,36.9,52.8,0.0,26.0,78.4,Umbria
65.5,67.5,43.7,42.7,31.9,23.2,20.2,46.3,SouthApulia
67.0,71.3,62.2,46.6,26.4,21.4,32.7,29.8,SouthApulia
71.1,69.4,49.6,44.7,26.4,30.4,28.7,39.3,SouthApulia
68.8,61.5,53.9,63.1,37.5,42.9,25.1,38.2,SouthApulia
71.3,64.2,73.9,68.0,44.4,53.6,29.1,25.7,SouthApulia
71.1,81.9,76.8,56.3,41.7,39.3,57.4,19.7,SouthApulia
79.9,73.2,77.5,58.3,55.6,50.0,47.1,16.4,SouthApulia
62.8,68.7,60.6,56.3,52.8,35.7,46.6,34.9,SouthApulia
60.1,66.8,59.2,61.2,50.0,46.4,22.9,39.4,SouthApulia
58.9,66.4,83.7,66.0,56.9,46.4,22.4,26.6,SouthApulia
75.8,63.4,84.1,56.3,47.2,39.3,13.9,21.2,SouthApulia
70.1,64.9,76.8,56.3,50.0,26.8,17.5,26.6,SouthApulia
71.4,67.2,73.8,56.3,38.9,28.6,25.1,27.3,SouthApulia
67.5,72.1,70.5,46.6,45.8,25.0,22.9,30.9,SouthApulia
78.0,59.2,68.1,50.5,48.6,21.4,8.1,29.4,SouthApulia
63.4,54.7,83.2,46.6,30.6,26.8,23.8,29.0,SouthApulia
62.3,57.0,84.5,65.0,54.2,46.4,8.1,28.5,SouthApulia
60.1,55.8,76.5,53.4,37.5,17.9,13.9,35.1,SouthApulia
68.4,59.6,67.6,40.8,40.3,21.4,16.1,35.0,SouthApulia
69.7,56.2,58.1,39.8,30.6,37.5,31.8,37.3,SouthApulia
63.5,60.0,82.3,66.0,47.2,33.9,20.6,26.7,SouthApulia
60.4,53.6,79.7,47.6,33.3,30.4,17.9,33.2,SouthApulia
66.8,55.8,80.7,54.4,48.6,39.3,19.7,27.9,SouthApulia
69.1,63.0,63.9,64.1,58.3,50.0,40.4,29.1,SouthApulia
67.5,62.3,66.7,41.7,51.4,39.3,13.0,33.2,SouthApulia
61.6,56.6,77.8,37.9,40.3,25.0,10.3,34.4,SouthApulia
65.4,54.7,68.8,44.7,51.4,23.2,7.6,36.6,SouthApulia
67.5,58.9,78.1,44.7,38.9,23.2,14.3,30.2,SouthApulia
61.8,59.2,79.5,46.6,36.1,16.1,7.6,33.4,SouthApulia
65.9,61.9,77.8,46.6,47.2,30.4,15.2,30.1,SouthApulia
59.8,51.3,80.5,48.5,52.8,33.9,13.5,33.2,SouthApulia
74.6,60.4,69.9,66.0,52.8,35.7,20.6,27.6,SouthApulia
62.2,62.3,73.8,29.1,33.3,17.9,13.9,35.7,SouthApulia
66.7,55.8,81.4,61.2,36.1,44.6,10.8,28.5,SouthApulia
61.3,64.9,78.8,71.8,54.2,41.1,19.7,29.4,SouthApulia
67.4,58.9,59.6,50.5,54.2,42.9,29.6,33.6,SouthApulia
53.1,51.3,76.9,47.6,34.7,21.4,1.8,40.7,SouthApulia
65.6,52.5,81.1,52.4,63.9,25.0,13.9,29.2,SouthApulia
64.4,64.5,37.1,52.4,44.4,32.1,34.5,45.5,SouthApulia
61.4,53.2,76.4,44.7,54.2,21.4,24.7,33.3,SouthApulia
54.8,62.6,76.5,69.9,62.5,42.9,27.4,31.3,SouthApulia
52.5,57.7,75.1,60.2,56.9,25.0,17.0,37.9,SouthApulia
61.1,52.1,79.5,56.3,45.8,25.0,11.2,33.4,SouthApulia
56.7,55.8,75.7,56.3,40.3,21.4,2.7,38.1,SouthApulia
64.4,54.3,75.5,56.3,47.2,26.8,20.2,31.9,SouthApulia
54.1,57.4,78.9,46.6,45.8,25.0,8.5,37.3,SouthApulia
62.9,61.9,73.0,38.8,45.8,41.1,11.2,34.6,SouthApulia
58.1,57.4,72.3,48.5,27.8,17.9,6.3,39.3,SouthApulia
52.5,60.4,72.9,45.6,47.2,23.2,22.0,39.3,SouthApulia
