arachidic,linolenic,palmitic,linoleic,oleic,stearic,palmitoleic,eicosenoic,region
56.3,66.7,44.4,7.5,76.3,28.3,24.5,0.0,Umbria
46.6,59.7,39.6,16.8,79.9,10.3,17.0,0.0,Umbria
56.3,59.7,43.6,8.5,77.3,28.3,24.5,0.0,Umbria
17.5,31.9,44.0,14.9,78.9,23.8,15.1,0.0,Umbria
32.0,31.9,43.1,14.9,78.1,26.0,13.2,0.0,Umbria
7.8,69.4,44.4,14.9,78.2,30.5,13.2,0.0,Umbria
36.9,52.8,42.8,14.9,78.4,26.0,8.3,0.0,Umbria
42.7,31.9,65.5,43.7,46.3,20.2,67.5,23.2,SouthApulia
46.6,26.4,67.0,62.2,29.8,32.7,71.3,21.4,SouthApulia
44.7,26.4,71.1,49.6,39.3,28.7,69.4,30.4,SouthApulia
63.1,37.5,68.8,53.9,38.2,25.1,61.5,42.9,SouthApulia
68.0,44.4,71.3,73.9,25.7,29.1,64.2,53.6,SouthApulia
56.3,41.7,71.1,76.8,19.7,57.4,81.9,39.3,SouthApulia
58.3,55.6,79.9,77.5,16.4,47.1,73.2,50.0,SouthApulia
56.3,52.8,62.8,60.6,34.9,46.6,68.7,35.7,SouthApulia
61.2,50.0,60.1,59.2,39.4,22.9,66.8,46.4,SouthApulia
66.0,56.9,58.9,83.7,26.6,22.4,66.4,46.4,SouthApulia
56.3,47.2,75.8,84.1,21.2,13.9,63.4,39.3,SouthApulia
56.3,50.0,70.1,76.8,26.6,17.5,64.9,26.8,SouthApulia
56.3,38.9,71.4,73.8,27.3,25.1,67.2,28.6,SouthApulia
46.6,45.8,67.5,70.5,30.9,22.9,72.1,25.0,SouthApulia
50.5,48.6,78.0,68.1,29.4,8.1,59.2,21.4,SouthApulia
46.6,30.6,63.4,83.2,29.0,23.8,54.7,26.8,SouthApulia
65.0,54.2,62.3,84.5,28.5,8.1,57.0,46.4,SouthApulia
53.4,37.5,60.1,76.5,35.1,13.9,55.8,17.9,SouthApulia
40.8,40.3,68.4,67.6,35.0,16.1,59.6,21.4,SouthApulia
39.8,30.6,69.7,58.1,37.3,31.8,56.2,37.5,SouthApulia
66.0,47.2,63.5,82.3,26.7,20.6,60.0,33.9,SouthApulia
47.6,33.3,60.4,79.7,33.2,17.9,53.6,30.4,SouthApulia
54.4,48.6,66.8,80.7,27.9,19.7,55.8,39.3,SouthApulia
64.1,58.3,69.1,63.9,29.1,40.4,63.0,50.0,SouthApulia
41.7,51.4,67.5,66.7,33.2,13.0,62.3,39.3,SouthApulia
37.9,40.3,61.6,77.8,34.4,10.3,56.6,25.0,SouthApulia
44.7,51.4,65.4,68.8,36.6,7.6,54.7,23.2,SouthApulia
44.7,38.9,67.5,78.1,30.2,14.3,58.9,23.2,SouthApulia
46.6,36.1,61.8,79.5,33.4,7.6,59.2,16.1,SouthApulia
46.6,47.2,65.9,77.8,30.1,15.2,61.9,30.4,SouthApulia
48.5,52.8,59.8,80.5,33.2,13.5,51.3,33.9,SouthApulia
66.0,52.8,74.6,69.9,27.6,20.6,60.4,35.7,SouthApulia
29.1,33.3,62.2,73.8,35.7,13.9,62.3,17.9,SouthApulia
61.2,36.1,66.7,81.4,28.5,10.8,55.8,44.6,SouthApulia
71.8,54.2,61.3,78.8,29.4,19.7,64.9,41.1,SouthApulia
50.5,54.2,67.4,59.6,33.6,29.6,58.9,42.9,SouthApulia
47.6,34.7,53.1,76.9,40.7,1.8,51.3,21.4,SouthApulia
52.4,63.9,65.6,81.1,29.2,13.9,52.5,25.0,SouthApulia
52.4,44.4,64.4,37.1,45.5,34.5,64.5,32.1,SouthApulia
44.7,54.2,61.4,76.4,33.3,24.7,53.2,21.4,SouthApulia
69.9,62.5,54.8,76.5,31.3,27.4,62.6,42.9,SouthApulia
60.2,56.9,52.5,75.1,37.9,17.0,57.7,25.0,SouthApulia
56.3,45.8,61.1,79.5,33.4,11.2,52.1,25.0,SouthApulia
56.3,40.3,56.7,75.7,38.1,2.7,55.8,21.4,SouthApulia
56.3,47.2,64.4,75.5,31.9,20.2,54.3,26.8,SouthApulia
46.6,45.8,54.1,78.9,37.3,8.5,57.4,25.0,SouthApulia
38.8,45.8,62.9,73.0,34.6,11.2,61.9,41.1,SouthApulia
48.5,27.8,58.1,72.3,39.3,6.3,57.4,17.9,SouthApulia
45.6,47.2,52.5,72.9,39.3,22.0,60.4,23.2,SouthApulia
