oleic,arachidic,linoleic,palmitoleic,palmitic,linolenic,stearic,eicosenoic,region
76.3,56.3,7.5,24.5,44.4,66.7,28.3,0.0,Umbria
79.9,46.6,16.8,17.0,39.6,59.7,10.3,0.0,Umbria
77.3,56.3,8.5,24.5,43.6,59.7,28.3,0.0,Umbria
78.9,17.5,14.9,15.1,44.0,31.9,23.8,0.0,Umbria
78.1,32.0,14.9,13.2,43.1,31.9,26.0,0.0,Umbria
78.2,7.8,14.9,13.2,44.4,69.4,30.5,0.0,Umbria
78.4,36.9,14.9,8.3,42.8,52.8,26.0,0.0,Umbria
46.3,42.7,43.7,67.5,65.5,31.9,20.2,23.2,SouthApulia
29.8,46.6,62.2,71.3,67.0,26.4,32.7,21.4,SouthApulia
39.3,44.7,49.6,69.4,71.1,26.4,28.7,30.4,SouthApulia
38.2,63.1,53.9,61.5,68.8,37.5,25.1,42.9,SouthApulia
25.7,68.0,73.9,64.2,71.3,44.4,29.1,53.6,SouthApulia
19.7,56.3,76.8,81.9,71.1,41.7,57.4,39.3,SouthApulia
16.4,58.3,77.5,73.2,79.9,55.6,47.1,50.0,SouthApulia
34.9,56.3,60.6,68.7,62.8,52.8,46.6,35.7,SouthApulia
39.4,61.2,59.2,66.8,60.1,50.0,22.9,46.4,SouthApulia
26.6,66.0,83.7,66.4,58.9,56.9,22.4,46.4,SouthApulia
21.2,56.3,84.1,63.4,75.8,47.2,13.9,39.3,SouthApulia
26.6,56.3,76.8,64.9,70.1,50.0,17.5,26.8,SouthApulia
27.3,56.3,73.8,67.2,71.4,38.9,25.1,28.6,SouthApulia
30.9,46.6,70.5,72.1,67.5,45.8,22.9,25.0,SouthApulia
29.4,50.5,68.1,59.2,78.0,48.6,8.1,21.4,SouthApulia
29.0,46.6,83.2,54.7,63.4,30.6,23.8,26.8,SouthApulia
28.5,65.0,84.5,57.0,62.3,54.2,8.1,46.4,SouthApulia
35.1,53.4,76.5,55.8,60.1,37.5,13.9,17.9,SouthApulia
35.0,40.8,67.6,59.6,68.4,40.3,16.1,21.4,SouthApulia
37.3,39.8,58.1,56.2,69.7,30.6,31.8,37.5,SouthApulia
26.7,66.0,82.3,60.0,63.5,47.2,20.6,33.9,SouthApulia
33.2,47.6,79.7,53.6,60.4,33.3,17.9,30.4,SouthApulia
27.9,54.4,80.7,55.8,66.8,48.6,19.7,39.3,SouthApulia
29.1,64.1,63.9,63.0,69.1,58.3,40.4,50.0,SouthApulia
33.2,41.7,66.7,62.3,67.5,51.4,13.0,39.3,SouthApulia
34.4,37.9,77.8,56.6,61.6,40.3,10.3,25.0,SouthApulia
36.6,44.7,68.8,54.7,65.4,51.4,7.6,23.2,SouthApulia
30.2,44.7,78.1,58.9,67.5,38.9,14.3,23.2,SouthApulia
33.4,46.6,79.5,59.2,61.8,36.1,7.6,16.1,SouthApulia
30.1,46.6,77.8,61.9,65.9,47.2,15.2,30.4,SouthApulia
33.2,48.5,80.5,51.3,59.8,52.8,13.5,33.9,SouthApulia
27.6,66.0,69.9,60.4,74.6,52.8,20.6,35.7,SouthApulia
35.7,29.1,73.8,62.3,62.2,33.3,13.9,17.9,SouthApulia
28.5,61.2,81.4,55.8,66.7,36.1,10.8,44.6,SouthApulia
29.4,71.8,78.8,64.9,61.3,54.2,19.7,41.1,SouthApulia
33.6,50.5,59.6,58.9,67.4,54.2,29.6,42.9,SouthApulia
40.7,47.6,76.9,51.3,53.1,34.7,1.8,21.4,SouthApulia
29.2,52.4,81.1,52.5,65.6,63.9,13.9,25.0,SouthApulia
45.5,52.4,37.1,64.5,64.4,44.4,34.5,32.1,SouthApulia
33.3,44.7,76.4,53.2,61.4,54.2,24.7,21.4,SouthApulia
31.3,69.9,76.5,62.6,54.8,62.5,27.4,42.9,SouthApulia
37.9,60.2,75.1,57.7,52.5,56.9,17.0,25.0,SouthApulia
33.4,56.3,79.5,52.1,61.1,45.8,11.2,25.0,SouthApulia
38.1,56.3,75.7,55.8,56.7,40.3,2.7,21.4,SouthApulia
31.9,56.3,75.5,54.3,64.4,47.2,20.2,26.8,SouthApulia
37.3,46.6,78.9,57.4,54.1,45.8,8.5,25.0,SouthApulia
34.6,38.8,73.0,61.9,62.9,45.8,11.2,41.1,SouthApulia
39.3,48.5,72.3,57.4,58.1,27.8,6.3,17.9,SouthApulia
39.3,45.6,72.9,60.4,52.5,47.2,22.0,23.2,SouthApulia
