eicosenoic,palmitic,linoleic,linolenic,stearic,arachidic,oleic,palmitoleic,region
0.0,44.4,7.5,66.7,28.3,56.3,76.3,24.5,Umbria
0.0,39.6,16.8,59.7,10.3,46.6,79.9,17.0,Umbria
0.0,43.6,8.5,59.7,28.3,56.3,77.3,24.5,Umbria
0.0,44.0,14.9,31.9,23.8,17.5,78.9,15.1,Umbria
0.0,43.1,14.9,31.9,26.0,32.0,78.1,13.2,Umbria
0.0,44.4,14.9,69.4,30.5,7.8,78.2,13.2,Umbria
0.0,42.8,14.9,52.8,26.0,36.9,78.4,8.3,Umbria
23.2,65.5,43.7,31.9,20.2,42.7,46.3,67.5,SouthApulia
21.4,67.0,62.2,26.4,32.7,46.6,29.8,71.3,SouthApulia
30.4,71.1,49.6,26.4,28.7,44.7,39.3,69.4,SouthApulia
42.9,68.8,53.9,37.5,25.1,63.1,38.2,61.5,SouthApulia
53.6,71.3,73.9,44.4,29.1,68.0,25.7,64.2,SouthApulia
39.3,71.1,76.8,41.7,57.4,56.3,19.7,81.9,SouthApulia
50.0,79.9,77.5,55.6,47.1,58.3,16.4,73.2,SouthApulia
35.7,62.8,60.6,52.8,46.6,56.3,34.9,68.7,SouthApulia
46.4,60.1,59.2,50.0,22.9,61.2,39.4,66.8,SouthApulia
46.4,58.9,83.7,56.9,22.4,66.0,26.6,66.4,SouthApulia
39.3,75.8,84.1,47.2,13.9,56.3,21.2,63.4,SouthApulia
26.8,70.1,76.8,50.0,17.5,56.3,26.6,64.9,SouthApulia
28.6,71.4,73.8,38.9,25.1,56.3,27.3,67.2,SouthApulia
25.0,67.5,70.5,45.8,22.9,46.6,30.9,72.1,SouthApulia
21.4,78.0,68.1,48.6,8.1,50.5,29.4,59.2,SouthApulia
26.8,63.4,83.2,30.6,23.8,46.6,29.0,54.7,SouthApulia
46.4,62.3,84.5,54.2,8.1,65.0,28.5,57.0,SouthApulia
17.9,60.1,76.5,37.5,13.9,53.4,35.1,55.8,SouthApulia
21.4,68.4,67.6,40.3,16.1,40.8,35.0,59.6,SouthApulia
37.5,69.7,58.1,30.6,31.8,39.8,37.3,56.2,SouthApulia
33.9,63.5,82.3,47.2,20.6,66.0,26.7,60.0,SouthApulia
30.4,60.4,79.7,33.3,17.9,47.6,33.2,53.6,SouthApulia
39.3,66.8,80.7,48.6,19.7,54.4,27.9,55.8,SouthApulia
50.0,69.1,63.9,58.3,40.4,64.1,29.1,63.0,SouthApulia
39.3,67.5,66.7,51.4,13.0,41.7,33.2,62.3,SouthApulia
25.0,61.6,77.8,40.3,10.3,37.9,34.4,56.6,SouthApulia
23.2,65.4,68.8,51.4,7.6,44.7,36.6,54.7,SouthApulia
23.2,67.5,78.1,38.9,14.3,44.7,30.2,58.9,SouthApulia
16.1,61.8,79.5,36.1,7.6,46.6,33.4,59.2,SouthApulia
30.4,65.9,77.8,47.2,15.2,46.6,30.1,61.9,SouthApulia
33.9,59.8,80.5,52.8,13.5,48.5,33.2,51.3,SouthApulia
35.7,74.6,69.9,52.8,20.6,66.0,27.6,60.4,SouthApulia
17.9,62.2,73.8,33.3,13.9,29.1,35.7,62.3,SouthApulia
44.6,66.7,81.4,36.1,10.8,61.2,28.5,55.8,SouthApulia
41.1,61.3,78.8,54.2,19.7,71.8,29.4,64.9,SouthApulia
42.9,67.4,59.6,54.2,29.6,50.5,33.6,58.9,SouthApulia
21.4,53.1,76.9,34.7,1.8,47.6,40.7,51.3,SouthApulia
25.0,65.6,81.1,63.9,13.9,52.4,29.2,52.5,SouthApulia
32.1,64.4,37.1,44.4,34.5,52.4,45.5,64.5,SouthApulia
21.4,61.4,76.4,54.2,24.7,44.7,33.3,53.2,SouthApulia
42.9,54.8,76.5,62.5,27.4,69.9,31.3,62.6,SouthApulia
25.0,52.5,75.1,56.9,17.0,60.2,37.9,57.7,SouthApulia
25.0,61.1,79.5,45.8,11.2,56.3,33.4,52.1,SouthApulia
21.4,56.7,75.7,40.3,2.7,56.3,38.1,55.8,SouthApulia
26.8,64.4,75.5,47.2,20.2,56.3,31.9,54.3,SouthApulia
25.0,54.1,78.9,45.8,8.5,46.6,37.3,57.4,SouthApulia
41.1,62.9,73.0,45.8,11.2,38.8,34.6,61.9,SouthApulia
17.9,58.1,72.3,27.8,6.3,48.5,39.3,57.4,SouthApulia
23.2,52.5,72.9,47.2,22.0,45.6,39.3,60.4,SouthApulia
