arachidic,linoleic,palmitic,oleic,eicosenoic,stearic,palmitoleic,linolenic,region
56.3,7.5,44.4,76.3,0.0,28.3,24.5,66.7,Umbria
46.6,16.8,39.6,79.9,0.0,10.3,17.0,59.7,Umbria
56.3,8.5,43.6,77.3,0.0,28.3,24.5,59.7,Umbria
17.5,14.9,44.0,78.9,0.0,23.8,15.1,31.9,Umbria
32.0,14.9,43.1,78.1,0.0,26.0,13.2,31.9,Umbria
7.8,14.9,44.4,78.2,0.0,30.5,13.2,69.4,Umbria
36.9,14.9,42.8,78.4,0.0,26.0,8.3,52.8,Umbria
42.7,43.7,65.5,46.3,23.2,20.2,67.5,31.9,SouthApulia
46.6,62.2,67.0,29.8,21.4,32.7,71.3,26.4,SouthApulia
44.7,49.6,71.1,39.3,30.4,28.7,69.4,26.4,SouthApulia
63.1,53.9,68.8,38.2,42.9,25.1,61.5,37.5,SouthApulia
68.0,73.9,71.3,25.7,53.6,29.1,64.2,44.4,SouthApulia
56.3,76.8,71.1,19.7,39.3,57.4,81.9,41.7,SouthApulia
58.3,77.5,79.9,16.4,50.0,47.1,73.2,55.6,SouthApulia
56.3,60.6,62.8,34.9,35.7,46.6,68.7,52.8,SouthApulia
61.2,59.2,60.1,39.4,46.4,22.9,66.8,50.0,SouthApulia
66.0,83.7,58.9,26.6,46.4,22.4,66.4,56.9,SouthApulia
56.3,84.1,75.8,21.2,39.3,13.9,63.4,47.2,SouthApulia
56.3,76.8,70.1,26.6,26.8,17.5,64.9,50.0,SouthApulia
56.3,73.8,71.4,27.3,28.6,25.1,67.2,38.9,SouthApulia
46.6,70.5,67.5,30.9,25.0,22.9,72.1,45.8,SouthApulia
50.5,68.1,78.0,29.4,21.4,8.1,59.2,48.6,SouthApulia
46.6,83.2,63.4,29.0,26.8,23.8,54.7,30.6,SouthApulia
65.0,84.5,62.3,28.5,46.4,8.1,57.0,54.2,SouthApulia
53.4,76.5,60.1,35.1,17.9,13.9,55.8,37.5,SouthApulia
40.8,67.6,68.4,35.0,21.4,16.1,59.6,40.3,SouthApulia
39.8,58.1,69.7,37.3,37.5,31.8,56.2,30.6,SouthApulia
66.0,82.3,63.5,26.7,33.9,20.6,60.0,47.2,SouthApulia
47.6,79.7,60.4,33.2,30.4,17.9,53.6,33.3,SouthApulia
54.4,80.7,66.8,27.9,39.3,19.7,55.8,48.6,SouthApulia
64.1,63.9,69.1,29.1,50.0,40.4,63.0,58.3,SouthApulia
41.7,66.7,67.5,33.2,39.3,13.0,62.3,51.4,SouthApulia
37.9,77.8,61.6,34.4,25.0,10.3,56.6,40.3,SouthApulia
44.7,68.8,65.4,36.6,23.2,7.6,54.7,51.4,SouthApulia
44.7,78.1,67.5,30.2,23.2,14.3,58.9,38.9,SouthApulia
46.6,79.5,61.8,33.4,16.1,7.6,59.2,36.1,SouthApulia
46.6,77.8,65.9,30.1,30.4,15.2,61.9,47.2,SouthApulia
48.5,80.5,59.8,33.2,33.9,13.5,51.3,52.8,SouthApulia
66.0,69.9,74.6,27.6,35.7,20.6,60.4,52.8,SouthApulia
29.1,73.8,62.2,35.7,17.9,13.9,62.3,33.3,SouthApulia
61.2,81.4,66.7,28.5,44.6,10.8,55.8,36.1,SouthApulia
71.8,78.8,61.3,29.4,41.1,19.7,64.9,54.2,SouthApulia
50.5,59.6,67.4,33.6,42.9,29.6,58.9,54.2,SouthApulia
47.6,76.9,53.1,40.7,21.4,1.8,51.3,34.7,SouthApulia
52.4,81.1,65.6,29.2,25.0,13.9,52.5,63.9,SouthApulia
52.4,37.1,64.4,45.5,32.1,34.5,64.5,44.4,SouthApulia
44.7,76.4,61.4,33.3,21.4,24.7,53.2,54.2,SouthApulia
69.9,76.5,54.8,31.3,42.9,27.4,62.6,62.5,SouthApulia
60.2,75.1,52.5,37.9,25.0,17.0,57.7,56.9,SouthApulia
56.3,79.5,61.1,33.4,25.0,11.2,52.1,45.8,SouthApulia
56.3,75.7,56.7,38.1,21.4,2.7,55.8,40.3,SouthApulia
56.3,75.5,64.4,31.9,26.8,20.2,54.3,47.2,SouthApulia
46.6,78.9,54.1,37.3,25.0,8.5,57.4,45.8,SouthApulia
38.8,73.0,62.9,34.6,41.1,11.2,61.9,45.8,SouthApulia
48.5,72.3,58.1,39.3,17.9,6.3,57.4,27.8,SouthApulia
45.6,72.9,52.5,39.3,23.2,22.0,60.4,47.2,SouthApulia
