palmitic,palmitoleic,stearic,oleic,linoleic,linolenic,arachidic,eicosenoic,region
49.7,23.0,69.5,59.4,27.4,56.9,65.0,53.6,Sicily
56.1,30.9,52.0,56.8,25.5,69.4,65.0,60.7,Calabria
56.7,34.7,72.2,47.3,38.4,61.1,62.1,55.4,Calabria
70.2,28.3,52.9,53.1,34.4,0.0,17.5,0.0,EastLiguria
74.1,60.4,48.0,27.3,56.7,44.4,73.8,53.6,Sicily
48.3,22.3,73.5,61.3,25.1,55.6,60.2,53.6,Sicily
66.6,31.3,89.2,45.6,32.5,54.2,52.4,25.0,Calabria
44.4,24.2,68.6,60.5,30.8,59.7,60.2,60.7,Sicily
27.7,19.2,50.2,80.1,16.6,65.3,52.4,48.2,NorthApulia
59.6,35.8,61.9,56.4,33.5,11.1,7.8,0.0,WestLiguria
51.4,26.4,54.3,54.3,35.8,58.3,68.9,71.4,Sicily
71.3,64.2,29.1,25.7,73.9,44.4,68.0,53.6,SouthApulia
61.6,32.1,44.4,35.3,58.8,52.8,81.6,67.9,Sicily
58.9,66.4,22.4,26.6,83.7,56.9,66.0,46.4,SouthApulia
69.6,42.6,26.5,42.1,41.3,50.0,88.3,67.9,Sicily
75.8,63.4,13.9,21.2,84.1,47.2,56.3,39.3,SouthApulia
50.4,36.2,39.9,27.6,100.0,27.8,90.3,0.0,CoastalSardinia
72.8,55.5,31.8,29.2,58.0,48.6,72.8,67.9,Sicily
65.2,38.5,60.5,39.3,43.9,68.1,61.2,69.6,Calabria
51.9,45.3,49.8,46.3,43.2,58.3,90.3,69.6,Sicily
59.9,29.4,50.7,44.3,43.5,56.9,72.8,78.6,Sicily
31.6,15.8,39.5,78.3,16.7,66.7,73.8,58.9,NorthApulia
75.3,63.0,51.6,34.1,40.6,54.2,79.6,62.5,Sicily
79.6,86.0,33.2,31.4,40.1,38.9,68.0,44.6,Sicily
45.3,43.4,43.9,58.3,51.1,0.0,0.0,0.0,WestLiguria
64.5,39.6,74.4,37.1,45.7,66.7,66.0,64.3,Calabria
37.9,16.6,37.2,74.3,20.8,38.9,58.3,75.0,NorthApulia
78.3,55.5,26.5,32.9,47.0,48.6,92.2,64.3,Sicily
65.3,44.5,53.8,23.7,73.0,63.9,78.6,62.5,Sicily
35.6,35.8,26.0,67.3,49.1,0.0,0.0,0.0,WestLiguria
36.4,28.3,39.5,71.1,39.3,0.0,0.0,0.0,WestLiguria
33.8,32.1,43.9,63.0,56.9,0.0,0.0,0.0,WestLiguria
51.6,50.9,61.9,49.3,56.0,0.0,7.8,0.0,WestLiguria
45.3,28.3,66.4,64.0,37.4,0.0,7.8,0.0,WestLiguria
32.9,35.8,66.4,67.3,45.2,11.1,0.0,0.0,WestLiguria
44.4,13.2,30.5,78.2,14.9,69.4,7.8,0.0,Umbria
71.1,81.9,57.4,19.7,76.8,41.7,56.3,39.3,SouthApulia
46.8,21.5,84.8,62.4,20.8,65.3,61.2,53.6,Sicily
70.6,44.9,26.0,38.4,46.5,52.8,96.1,73.2,Sicily
44.0,0.0,20.6,80.8,12.4,69.4,17.5,0.0,Umbria
31.7,15.1,54.3,66.0,37.7,59.7,59.2,80.4,Sicily
54.2,32.1,39.5,75.4,8.0,0.0,7.8,0.0,EastLiguria
41.2,19.6,37.7,66.0,26.2,75.0,78.6,76.8,NorthApulia
39.2,19.6,48.0,69.7,21.9,66.7,75.7,78.6,NorthApulia
58.4,32.5,66.4,44.1,44.0,100.0,61.2,57.1,Calabria
46.0,21.9,90.6,58.2,27.4,58.3,71.8,64.3,Sicily
31.1,28.3,66.4,72.0,37.4,0.0,0.0,0.0,WestLiguria
26.8,12.8,52.0,77.0,22.5,68.1,66.0,75.0,NorthApulia
34.2,11.7,61.0,71.4,22.6,75.0,81.6,67.9,NorthApulia
54.4,20.8,79.4,61.8,11.5,63.9,63.1,73.2,Sicily
35.6,28.3,88.8,62.1,47.2,11.1,0.0,0.0,WestLiguria
35.6,28.3,88.8,63.0,48.1,11.1,0.0,0.0,WestLiguria
27.6,35.8,84.3,67.3,45.2,0.0,0.0,0.0,WestLiguria
0.0,24.5,35.0,100.0,19.8,0.0,17.5,0.0,EastLiguria
44.0,20.4,99.1,67.0,8.2,68.1,64.1,62.5,Sicily
27.2,14.0,57.8,74.4,24.1,55.6,60.2,100.0,Sicily
44.6,20.0,100.0,69.7,0.0,69.4,65.0,76.8,Sicily
