age,class_of_worker,detailed_industry_recode,detailed_occupation_recode,education,wage_per_hour,enroll_in_edu_inst_last_wk,marital_stat,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_a_labor_union,reason_for_unemployment,full_or_part_time_employment_stat,capital_gains,capital_losses,dividends_from_stocks,tax_filer_stat,region_of_previous_residence,state_of_previous_residence,detailed_household_and_family_stat,detailed_household_summary_in_household,instance_weight,migration_code-change_in_msa,migration_code-change_in_reg,migration_code-move_within_reg,live_in_this_house_1_year_ago,migration_prev_res_in_sunbelt,num_persons_worked_for_employer,family_members_under_18,country_of_birth_father,country_of_birth_mother,country_of_birth_self,citizenship,own_business_or_self_employed,fill_inc_questionnaire_for_veteran's_admin,veterans_benefits,weeks_worked_in_year,year,income
38,-3,0,0,10,0,-3,5,1,-3,5,5,1,-3,-3,4,0,0,0,1,-3,-3,11,5,1701.24,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
75,-3,0,0,15,0,-3,6,1,-3,5,5,1,-3,-3,1,0,0,800,4,-3,-3,18,5,3392.61,2,2,2,2,-3,0,-3,2,-3,2,1,1,-3,3,0,1,1
27,-3,0,0,6,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1620.12,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
25,4,4,34,10,0,-3,1,15,9,4,5,2,-3,-3,1,0,0,0,1,-3,-3,18,5,1427.41,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
48,4,45,11,15,0,-3,2,17,2,5,5,2,-3,-3,2,0,0,0,3,-3,-3,11,5,3031.74,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,49,2,1
44,3,40,12,14,0,-3,2,2,2,5,5,1,-3,-3,3,0,0,0,3,-3,-3,10,4,1712.56,-3,-3,-3,1,-3,1,-3,2,2,2,1,1,-3,3,51,2,1
17,-3,0,0,8,0,1,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,3659.03,2,2,2,2,-3,0,1,22,7,7,4,1,-3,3,0,1,1
45,3,34,3,11,0,-3,5,11,13,5,1,1,-3,-3,1,0,0,16,5,-3,-3,11,5,472.36,2,2,2,2,-3,3,-3,2,1,1,4,1,-3,3,52,1,1
25,-3,0,0,11,0,-3,1,1,-3,5,1,2,-3,-3,1,0,0,0,1,-3,-3,23,8,1862.94,-3,-3,-3,1,-3,0,-3,1,1,1,2,1,-3,3,0,2,1
54,6,43,26,11,0,-3,2,5,6,5,5,1,-3,-3,2,0,0,0,3,-3,-3,10,4,1356.9,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
30,4,37,23,10,0,-3,2,13,6,5,1,1,-3,-3,1,0,0,0,3,-3,-3,34,8,2111.71,2,2,2,2,-3,1,-3,1,1,1,5,1,-3,3,52,1,1
23,6,43,23,12,450,2,7,5,6,5,5,1,1,-3,1,0,0,0,3,5,21,11,5,263.45,4,4,4,3,1,1,-3,2,2,2,1,3,-3,3,48,1,1
37,3,29,38,10,0,-3,2,18,12,5,5,2,-3,-3,1,0,0,4,3,-3,-3,11,5,1712.85,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
59,6,4,2,11,0,-3,2,15,13,5,5,2,1,-3,1,0,0,70,3,-3,-3,11,5,1142.73,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
45,4,40,12,14,0,-3,1,2,2,5,5,2,-3,-3,1,0,0,0,4,-3,-3,6,3,3956.64,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
43,3,43,10,14,0,-3,2,5,2,5,5,1,-3,-3,2,0,0,100,3,-3,-3,10,4,2911.67,-3,-3,-3,1,-3,2,-3,2,2,2,1,3,-3,3,52,2,1
28,3,9,3,10,0,-3,1,7,13,5,5,1,-3,-3,2,0,0,0,4,-3,-3,18,5,2719.46,-3,-3,-3,1,-3,3,-3,2,2,2,1,3,-3,3,52,2,1
41,6,29,32,11,0,-3,1,18,3,2,5,2,-3,-3,2,0,0,33000,4,-3,-3,23,8,294.83,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,2
37,3,37,30,15,0,-3,2,13,3,5,5,1,1,-3,1,0,0,0,3,-3,-3,11,5,1117.98,2,2,2,2,-3,4,-3,2,2,2,1,3,-3,3,40,1,1
28,3,33,3,11,650,-3,2,10,13,5,5,2,1,-3,1,0,0,0,3,-3,-3,10,4,1813.28,2,2,2,2,-3,2,-3,2,2,2,1,1,-3,3,52,1,1
18,3,33,19,8,475,1,1,10,5,5,5,2,1,-3,2,0,0,0,4,-3,-3,23,8,2170.36,-3,-3,-3,1,-3,2,-3,2,2,2,1,3,-3,3,50,2,1
2,-3,0,0,1,0,-3,1,1,-3,4,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,4450.41,-3,-3,-3,1,-3,0,3,2,2,2,1,1,-3,1,0,2,1
60,-3,0,0,10,0,-3,2,1,-3,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2420.38,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
49,-3,0,0,10,0,-3,5,1,-3,5,5,1,-3,-3,1,0,0,0,4,-3,-3,18,5,2275.31,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
32,-3,0,0,10,0,-3,2,1,-3,5,5,1,-3,-3,4,0,0,0,3,-3,-3,10,4,1027.68,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
26,3,33,29,12,0,-3,1,10,3,5,5,1,1,-3,2,0,0,0,4,-3,-3,6,3,1895.67,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
72,3,37,20,11,0,-3,2,13,5,5,5,2,-3,-3,2,0,0,0,2,-3,-3,11,5,1026.07,-3,-3,-3,1,-3,6,-3,34,34,2,1,1,1,2,40,2,1
22,3,32,2,11,0,2,1,9,13,5,4,2,-3,-3,2,0,0,0,4,-3,-3,23,8,1928.3,-3,-3,-3,1,-3,3,-3,11,11,11,2,1,-3,3,52,2,1
24,3,6,23,12,1100,-3,1,7,6,5,5,1,1,-3,1,0,0,0,4,-3,-3,23,8,2226.61,2,2,2,2,-3,6,-3,34,34,2,1,1,-3,3,52,1,1
81,-3,0,0,10,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,0,6,-3,-3,10,4,1056.14,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
16,3,37,26,6,0,1,1,13,6,5,5,2,-3,-3,4,0,0,0,1,-3,-3,1,1,2078.57,-3,-3,-3,1,-3,1,1,2,2,2,1,1,-3,3,1,2,1
2,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1753.4,-3,-3,-3,1,-3,0,1,34,2,2,1,1,-3,1,0,2,1
28,8,43,7,15,0,-3,1,5,2,5,5,2,2,-3,1,0,0,0,4,2,2,6,3,3395.58,3,3,3,3,2,3,-3,2,2,2,1,3,-3,3,52,1,1
38,3,18,26,10,0,-3,2,7,6,1,4,1,-3,-3,2,7298,0,0,3,-3,-3,11,5,516.39,-3,-3,-3,1,-3,4,-3,10,10,10,2,1,-3,3,52,2,1
64,-3,0,0,12,0,-3,5,1,-3,5,5,2,-3,-3,4,0,0,0,1,-3,-3,18,5,1477.3,-3,-3,-3,1,-3,0,-3,20,20,20,5,1,-3,3,0,2,1
37,3,34,26,12,560,-3,2,11,6,5,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,3434.13,-3,-3,-3,1,-3,4,-3,20,20,2,1,1,-3,3,52,2,1
43,8,50,21,10,0,-3,2,6,6,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1589.4,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,52,1,1
5,-3,0,0,1,0,-3,1,1,-3,5,5,2,-3,-3,1,0,0,0,1,-3,-3,1,1,1651.53,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,1,0,2,1
46,3,9,37,10,0,-3,2,7,11,5,5,1,-3,-3,2,0,0,4,3,-3,-3,11,5,1929.24,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
34,3,36,27,10,0,-3,5,12,14,5,2,1,-3,1,1,0,0,0,4,4,33,6,3,1329.22,3,3,3,3,1,4,-3,2,2,2,1,1,-3,3,52,1,1
27,3,34,26,11,0,-3,2,11,6,5,2,1,-3,-3,1,0,0,7,3,-3,-3,10,4,1972.62,2,2,2,2,-3,6,-3,1,1,1,2,1,-3,3,52,1,1
60,4,33,16,10,0,-3,2,10,5,5,5,1,-3,-3,2,0,0,0,3,-3,-3,10,4,1373.15,-3,-3,-3,1,-3,6,-3,2,2,2,1,2,-3,3,51,2,1
29,3,37,19,11,0,-3,1,13,5,4,5,2,-3,-3,2,0,0,0,5,-3,-3,27,8,4458.53,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,1
76,-3,0,0,10,0,-3,6,1,-3,5,5,1,-3,-3,1,0,0,2100,4,-3,-3,18,5,1037.25,2,2,2,2,-3,0,-3,2,2,2,1,1,-3,3,0,1,1
73,-3,0,0,11,0,-3,2,1,-3,5,5,2,-3,-3,4,0,0,0,6,-3,-3,11,5,2991.05,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
13,-3,0,0,1,0,-3,1,1,-3,5,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,2779.4,2,2,2,2,-3,0,3,2,2,2,1,1,-3,1,0,1,1
50,-3,0,0,5,0,-3,2,1,-3,5,5,1,-3,-3,4,0,0,0,1,-3,-3,10,4,1425.26,-3,-3,-3,1,-3,0,-3,2,2,2,1,1,-3,3,0,2,1
35,3,33,16,14,0,-3,2,10,5,5,5,2,-3,-3,1,15024,0,0,3,-3,-3,11,5,824.91,2,2,2,2,-3,4,-3,2,2,2,1,1,-3,3,52,1,2
44,7,43,12,16,0,-3,2,5,2,5,5,1,-3,-3,1,0,0,0,3,-3,-3,10,4,1643.75,2,2,2,2,-3,6,-3,2,2,2,1,1,-3,3,52,1,1
33,3,34,23,10,0,-3,2,11,6,5,5,1,1,-3,1,0,0,0,3,-3,-3,10,4,289.6,2,2,2,2,-3,2,-3,2,2,2,1,1,-3,3,52,1,1
41,3,32,18,12,0,-3,2,9,5,5,5,2,-3,-3,1,0,0,0,3,-3,-3,11,5,1858.26,2,2,2,2,-3,3,-3,2,2,2,1,1,-3,3,52,1,1
42,3,33,37,10,450,-3,2,10,11,5,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,2282.57,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,20,2,1
15,-3,0,0,8,0,-3,1,1,-3,5,5,1,-3,-3,4,0,0,0,1,-3,-3,2,2,1078.51,-3,-3,-3,1,-3,0,1,2,2,2,1,1,-3,3,0,2,1
25,-3,0,0,3,0,-3,1,1,-3,5,1,1,-3,-3,4,0,0,0,4,-3,-3,23,8,2426.74,-3,-3,-3,1,-3,3,-3,1,1,1,2,1,-3,3,8,2,1
36,3,35,11,15,0,-3,2,11,2,4,5,1,-3,-3,7,0,0,1000,3,-3,-3,10,4,2657.58,-3,-3,-3,1,-3,6,-3,2,2,2,1,1,-3,3,52,2,2
34,3,2,44,12,0,-3,5,4,4,5,5,2,-3,-3,2,0,0,0,5,-3,-3,11,5,384.2,-3,-3,-3,1,-3,2,-3,2,2,2,1,1,-3,3,52,2,1
41,4,45,11,17,0,-3,1,17,2,5,5,2,-3,-3,1,0,0,0,4,-3,-3,18,5,453.68,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
43,-3,0,0,10,0,-3,2,1,-3,5,5,2,-3,-3,1,0,0,0,1,6,11,11,5,1990.24,7,6,6,3,1,0,-3,-3,-3,-3,2,1,-3,3,0,1,1
43,7,43,30,12,0,-3,2,5,3,5,5,1,-3,-3,2,0,0,0,3,-3,-3,10,4,1005.69,-3,-3,-3,1,-3,5,-3,2,2,2,1,1,-3,3,52,2,1
65,-3,0,0,12,0,-3,2,1,-3,5,5,1,-3,-3,1,0,0,0,6,-3,-3,10,4,703.36,2,2,2,2,-3,2,-3,2,2,2,1,1,-3,3,52,1,1
11,-3,0,0,1,0,-3,1,1,-3,3,5,1,-3,-3,1,0,0,0,1,-3,-3,1,1,856.52,-3,-3,-3,1,-3,0,1,24,24,24,2,1,-3,1,0,2,1
31,3,1,44,10,0,-3,1,4,4,5,5,2,-3,-3,1,0,0,0,4,-3,-3,11,5,2419.92,2,2,2,2,-3,1,-3,2,2,2,1,1,-3,3,52,1,1
43,3,41,8,13,1850,-3,2,22,2,5,5,1,1,-3,2,0,0,0,3,-3,-3,10,4,3036.87,-3,-3,-3,1,-3,4,-3,2,2,2,1,1,-3,3,52,2,1
47,8,50,3,14,0,-3,2,6,13,1,4,2,-3,-3,1,0,0,0,3,-3,-3,11,5,2435.08,2,2,2,2,-3,1,-3,34,9,9,5,1,-3,3,52,1,1
