length,whole_weight,shell_weight,viscera_weight,height,diameter,shucked_weight,rings
0.68,1.607,0.498,0.3215,0.185,0.535,0.7245,12.0
0.69,1.7005,0.405,0.362,0.175,0.525,0.8255,8.0
0.69,1.872,0.48,0.4015,0.2,0.505,0.893,10.0
0.71,2.198,0.5475,0.5225,0.205,0.565,1.012,11.0
0.715,1.9525,0.4135,0.4185,0.175,0.565,0.7645,10.0
0.765,2.302,0.6205,0.509,0.22,0.6,1.007,12.0
0.43,0.397,0.1035,0.0865,0.12,0.335,0.1985,7.0
0.47,0.544,0.129,0.1395,0.105,0.36,0.27,7.0
0.49,0.5225,0.141,0.13,0.125,0.465,0.235,7.0
0.5,0.5215,0.131,0.117,0.125,0.39,0.2485,6.0
0.52,0.7765,0.185,0.1845,0.145,0.4,0.3525,9.0
0.525,0.7555,0.201,0.1555,0.12,0.405,0.3755,9.0
0.545,0.7835,0.156,0.1815,0.135,0.39,0.4225,7.0
0.545,0.793,0.19,0.1405,0.12,0.41,0.434,9.0
0.545,0.82,0.218,0.127,0.14,0.415,0.4615,9.0
0.55,0.8315,0.2165,0.1765,0.15,0.425,0.411,10.0
0.56,0.8995,0.234,0.1775,0.145,0.43,0.464,9.0
0.56,0.8965,0.2215,0.2175,0.16,0.445,0.42,8.0
0.56,0.852,0.205,0.1885,0.145,0.415,0.43,8.0
0.565,0.9595,0.23,0.2395,0.15,0.455,0.4565,9.0
0.565,0.99,0.206,0.1825,0.15,0.435,0.5795,8.0
0.57,1.0375,0.25,0.2035,0.15,0.46,0.5415,9.0
0.575,0.8455,0.222,0.191,0.14,0.435,0.401,9.0
0.575,0.907,0.26,0.197,0.135,0.455,0.4245,9.0
0.575,1.0225,0.228,0.2175,0.17,0.445,0.549,9.0
0.575,0.847,0.22,0.1945,0.145,0.445,0.415,9.0
0.58,1.114,0.265,0.2155,0.15,0.455,0.4765,8.0
0.58,1.859,0.441,0.426,0.195,0.455,0.945,9.0
0.58,0.814,0.22,0.1915,0.135,0.445,0.3775,9.0
0.58,0.9615,0.253,0.1815,0.14,0.45,0.486,9.0
0.58,1.0025,0.2295,0.1975,0.145,0.45,0.547,8.0
0.585,0.9335,0.235,0.1825,0.145,0.46,0.478,9.0
0.585,0.9555,0.265,0.236,0.16,0.465,0.4595,7.0
0.59,0.9955,0.24,0.232,0.15,0.47,0.481,8.0
0.6,1.1915,0.24,0.2395,0.17,0.455,0.696,8.0
0.6,1.0165,0.225,0.2465,0.155,0.465,0.512,10.0
0.605,1.1175,0.274,0.257,0.14,0.475,0.555,9.0
0.605,1.1835,0.317,0.2365,0.17,0.48,0.582,10.0
0.61,1.0145,0.2415,0.212,0.16,0.485,0.5315,8.0
0.61,1.3305,0.2865,0.2255,0.145,0.485,0.783,9.0
0.61,1.052,0.267,0.242,0.165,0.47,0.498,9.0
0.615,1.0565,0.27,0.272,0.17,0.46,0.4815,10.0
0.62,1.0195,0.2475,0.2005,0.135,0.47,0.5315,8.0
0.62,0.858,0.2405,0.1525,0.2,0.45,0.4285,8.0
0.625,1.2065,0.286,0.29,0.185,0.48,0.587,8.0
0.63,1.1325,0.287,0.211,0.155,0.47,0.589,8.0
0.63,1.2645,0.3425,0.3065,0.175,0.5,0.5635,10.0
0.64,1.369,0.358,0.3415,0.165,0.515,0.632,10.0
0.645,1.39,0.3735,0.2945,0.195,0.53,0.6465,10.0
0.65,1.202,0.294,0.3135,0.155,0.5,0.565,11.0
0.655,1.31,0.345,0.369,0.16,0.515,0.553,11.0
0.665,1.363,0.34,0.279,0.16,0.525,0.629,8.0
0.685,1.519,0.4,0.3685,0.165,0.52,0.699,10.0
0.69,1.583,0.3865,0.405,0.21,0.53,0.7355,12.0
0.695,1.74,0.4375,0.3715,0.185,0.56,0.885,10.0
0.7,1.751,0.446,0.3355,0.18,0.565,0.895,9.0
0.7,2.273,0.638,0.418,0.19,0.575,1.095,12.0
0.715,2.0045,0.5075,0.407,0.19,0.55,1.0465,12.0
0.715,1.6755,0.42,0.313,0.19,0.535,0.889,10.0
0.72,1.187,0.2685,0.1945,0.145,0.565,0.691,8.0
0.725,1.978,0.4505,0.4255,0.185,0.505,1.026,12.0
0.735,2.124,0.5,0.55,0.185,0.585,0.952,11.0
0.745,1.931,0.5,0.4585,0.215,0.565,0.896,11.0
0.755,2.0065,0.595,0.4015,0.205,0.58,0.8295,10.0
0.495,0.553,0.167,0.1375,0.12,0.395,0.224,8.0
0.5,0.6765,0.2065,0.1415,0.135,0.42,0.302,9.0
0.525,0.842,0.2045,0.1415,0.155,0.42,0.428,9.0
0.535,0.717,0.194,0.1445,0.15,0.435,0.3475,9.0
0.55,0.8745,0.248,0.1905,0.15,0.43,0.413,9.0
0.555,0.8705,0.255,0.156,0.14,0.44,0.407,9.0
0.565,0.796,0.219,0.184,0.15,0.445,0.3635,8.0
0.565,0.744,0.1685,0.13,0.125,0.39,0.352,11.0
0.57,0.873,0.2705,0.183,0.17,0.435,0.382,10.0
0.57,0.8965,0.275,0.1835,0.125,0.435,0.383,9.0
0.575,0.892,0.22,0.176,0.155,0.46,0.4415,10.0
0.58,1.4395,0.2955,0.273,0.155,0.46,0.6715,10.0
0.58,0.7955,0.204,0.167,0.135,0.455,0.405,10.0
0.585,0.9145,0.235,0.1965,0.155,0.465,0.4555,9.0
0.585,1.171,0.335,0.2535,0.185,0.49,0.522,10.0
0.585,1.1135,0.274,0.2345,0.165,0.46,0.5825,10.0
0.585,1.409,0.295,0.229,0.165,0.47,0.8,10.0
0.585,1.065,0.2885,0.199,0.15,0.475,0.5315,10.0
0.585,0.7995,0.237,0.1855,0.18,0.45,0.336,8.0
0.59,1.187,0.31,0.227,0.18,0.47,0.5985,9.0
0.59,0.8855,0.275,0.188,0.155,0.455,0.388,10.0
0.6,1.1315,0.309,0.272,0.17,0.475,0.508,10.0
0.6,1.014,0.325,0.1885,0.155,0.48,0.451,11.0
0.6,0.9595,0.295,0.189,0.155,0.46,0.4455,11.0
0.605,0.9755,0.315,0.206,0.14,0.49,0.419,10.0
0.61,0.871,0.25,0.1835,0.15,0.45,0.407,10.0
0.61,1.244,0.305,0.257,0.165,0.48,0.6345,12.0
0.61,1.0265,0.3035,0.2335,0.17,0.475,0.435,10.0
0.61,1.137,0.347,0.29,0.17,0.48,0.4565,10.0
0.61,1.0,0.275,0.197,0.16,0.46,0.494,10.0
0.615,1.128,0.34,0.2195,0.165,0.47,0.4465,10.0
0.615,1.054,0.295,0.228,0.17,0.5,0.4845,10.0
0.615,1.129,0.3,0.302,0.17,0.475,0.4795,10.0
0.615,1.118,0.3,0.3195,0.175,0.48,0.446,9.0
0.62,1.2815,0.39,0.2385,0.175,0.51,0.5715,10.0
0.62,1.2555,0.355,0.254,0.18,0.495,0.5765,12.0
0.625,1.082,0.315,0.2345,0.17,0.455,0.4955,9.0
0.63,1.062,0.3365,0.1785,0.145,0.485,0.5065,12.0
0.63,1.093,0.315,0.221,0.16,0.495,0.497,12.0
0.635,1.101,0.3455,0.1865,0.16,0.49,0.534,10.0
0.635,1.1935,0.3665,0.2695,0.17,0.475,0.5205,10.0
0.635,0.986,0.31,0.2255,0.155,0.51,0.405,10.0
0.64,1.521,0.406,0.372,0.23,0.565,0.644,15.0
0.64,1.3135,0.4075,0.2995,0.18,0.525,0.4865,10.0
0.645,1.1835,0.345,0.2385,0.16,0.51,0.556,11.0
0.645,1.401,0.3725,0.3515,0.195,0.5,0.6165,10.0
0.645,1.5075,0.4325,0.245,0.16,0.525,0.7455,11.0
0.65,1.5365,0.405,0.3585,0.175,0.525,0.6865,11.0
0.65,1.542,0.375,0.3735,0.19,0.51,0.7155,9.0
0.655,1.6445,0.46,0.3595,0.205,0.535,0.7305,13.0
0.655,1.3585,0.365,0.294,0.175,0.49,0.6395,10.0
0.675,1.7375,0.469,0.3135,0.185,0.545,0.876,13.0
0.685,1.7925,0.461,0.416,0.205,0.545,0.8145,9.0
0.705,2.21,0.512,0.4865,0.515,0.565,1.1075,10.0
0.705,2.141,0.528,0.383,0.215,0.555,1.0465,11.0
0.72,2.173,0.5365,0.564,0.215,0.575,0.9515,12.0
0.415,0.3895,0.103,0.065,0.115,0.315,0.2015,9.0
0.44,0.4565,0.1025,0.092,0.12,0.32,0.2435,8.0
0.45,0.4475,0.11,0.126,0.125,0.335,0.2165,6.0
0.475,0.649,0.142,0.136,0.125,0.37,0.347,8.0
0.485,0.6435,0.198,0.103,0.085,0.39,0.2945,8.0
0.485,0.526,0.1555,0.105,0.13,0.37,0.2485,6.0
0.505,0.5525,0.1555,0.1245,0.105,0.385,0.239,9.0
0.515,0.9365,0.2185,0.181,0.145,0.425,0.497,8.0
0.52,0.559,0.149,0.139,0.125,0.4,0.254,8.0
0.525,0.7205,0.1735,0.145,0.14,0.4,0.3685,8.0
0.53,0.7575,0.175,0.151,0.125,0.4,0.398,8.0
0.55,0.793,0.215,0.2035,0.16,0.425,0.343,9.0
0.57,0.9875,0.249,0.207,0.15,0.445,0.504,8.0
0.575,1.08,0.238,0.2065,0.15,0.465,0.595,9.0
0.575,0.9155,0.2385,0.2465,0.165,0.46,0.4005,8.0
0.585,0.906,0.2335,0.23,0.15,0.455,0.4095,8.0
0.59,0.8725,0.245,0.215,0.15,0.44,0.387,8.0
0.6,0.945,0.25,0.2085,0.155,0.455,0.4365,8.0
0.6,1.259,0.357,0.1985,0.2,0.465,0.6405,9.0
0.62,1.049,0.25,0.231,0.155,0.485,0.462,10.0
0.62,1.0725,0.312,0.235,0.165,0.48,0.4815,9.0
0.625,1.4105,0.3465,0.322,0.175,0.52,0.691,10.0
0.625,1.136,0.305,0.3245,0.18,0.47,0.451,11.0
0.63,1.1005,0.276,0.26,0.145,0.47,0.52,9.0
0.63,1.1315,0.305,0.2745,0.15,0.455,0.481,9.0
0.63,1.271,0.31,0.2425,0.15,0.48,0.6605,11.0
0.635,1.308,0.377,0.318,0.185,0.51,0.544,8.0
0.645,1.539,0.43,0.3585,0.155,0.51,0.6405,11.0
0.65,1.466,0.4,0.3045,0.175,0.515,0.677,10.0
0.65,1.175,0.215,0.2435,0.14,0.485,0.475,8.0
0.655,1.7835,0.4195,0.4095,0.215,0.51,0.8885,11.0
0.66,1.374,0.345,0.351,0.165,0.505,0.589,10.0
0.67,1.7025,0.41,0.374,0.2,0.545,0.833,11.0
0.67,1.5265,0.345,0.4475,0.175,0.51,0.651,10.0
0.67,1.519,0.415,0.388,0.19,0.5,0.616,10.0
0.68,1.6115,0.395,0.306,0.17,0.515,0.8415,11.0
0.69,1.7825,0.461,0.3325,0.2,0.525,0.9165,12.0
0.7,1.858,0.595,0.3665,0.2,0.555,0.73,11.0
0.705,1.675,0.388,0.4095,0.165,0.56,0.797,10.0
0.72,2.1055,0.494,0.363,0.2,0.565,1.017,12.0
0.725,2.21,0.5015,0.413,0.24,0.575,1.351,13.0
0.74,1.8725,0.446,0.427,0.18,0.57,0.9115,10.0
0.75,1.893,0.445,0.397,0.18,0.55,0.942,11.0
0.475,0.4285,0.112,0.099,0.1,0.36,0.1965,7.0
0.48,0.464,0.239,0.106,0.16,0.355,0.221,8.0
0.525,0.845,0.2875,0.1635,0.145,0.415,0.3525,8.0
0.525,0.707,0.225,0.1605,0.155,0.4,0.282,9.0
0.54,0.972,0.269,0.255,0.14,0.455,0.419,10.0
0.55,0.7625,0.259,0.1685,0.14,0.435,0.327,10.0
0.56,0.849,0.2645,0.221,0.135,0.425,0.3265,10.0
0.565,0.802,0.215,0.1825,0.125,0.44,0.3595,9.0
0.565,0.831,0.219,0.1735,0.15,0.43,0.4245,10.0
0.57,0.795,0.245,0.148,0.14,0.45,0.3385,9.0
0.575,0.867,0.268,0.1805,0.165,0.455,0.3765,8.0
0.575,0.985,0.355,0.2175,0.185,0.47,0.3745,10.0
0.575,0.839,0.239,0.198,0.16,0.445,0.4005,9.0
0.575,0.9615,0.275,0.166,0.16,0.44,0.483,13.0
0.58,1.0335,0.295,0.2225,0.155,0.46,0.469,10.0
0.58,0.798,0.2285,0.173,0.13,0.43,0.365,10.0
0.59,1.207,0.309,0.235,0.165,0.49,0.559,10.0
0.595,0.838,0.217,0.194,0.14,0.45,0.3965,10.0
0.595,0.959,0.2535,0.2065,0.145,0.45,0.463,10.0
0.6,0.9165,0.2725,0.1965,0.165,0.48,0.4135,9.0
0.6,1.059,0.275,0.241,0.165,0.47,0.504,9.0
0.6,1.194,0.2635,0.3045,0.16,0.47,0.5625,10.0
0.605,0.884,0.27,0.1905,0.145,0.475,0.3835,8.0
0.61,0.983,0.266,0.228,0.155,0.475,0.4565,10.0
0.61,1.022,0.2945,0.2345,0.16,0.47,0.449,9.0
0.61,1.1185,0.31,0.2405,0.17,0.47,0.5225,9.0
0.615,1.0175,0.28,0.2395,0.16,0.47,0.473,10.0
0.615,1.224,0.311,0.261,0.175,0.475,0.6035,9.0
0.62,1.221,0.395,0.241,0.175,0.515,0.535,13.0
0.62,1.266,0.309,0.2575,0.15,0.48,0.6285,12.0
0.625,1.1165,0.3325,0.2615,0.165,0.49,0.4895,11.0
0.625,1.0845,0.3105,0.2355,0.16,0.475,0.5005,10.0
0.625,1.0985,0.354,0.22,0.17,0.5,0.4645,9.0
0.63,1.0915,0.3,0.266,0.17,0.505,0.4615,9.0
0.63,1.1745,0.339,0.273,0.17,0.49,0.5255,11.0
0.63,1.233,0.3035,0.2315,0.165,0.485,0.6565,10.0
0.63,1.2695,0.328,0.271,0.175,0.495,0.605,11.0
0.635,1.4345,0.418,0.309,0.17,0.5,0.611,12.0
0.64,1.247,0.3685,0.2925,0.18,0.515,0.5475,10.0
0.64,1.707,0.4435,0.4205,0.185,0.525,0.763,11.0
0.645,1.1605,0.335,0.2615,0.15,0.505,0.519,10.0
0.645,1.286,0.386,0.288,0.175,0.5,0.5645,12.0
0.645,1.5595,0.3845,0.3715,0.19,0.5,0.741,14.0
0.645,1.4745,0.48,0.345,0.19,0.51,0.605,9.0
0.645,1.226,0.3745,0.2215,0.195,0.51,0.5885,10.0
0.645,1.33,0.317,0.309,0.16,0.51,0.6665,9.0
0.645,1.3375,0.415,0.308,0.175,0.5,0.554,10.0
0.645,1.2215,0.33,0.2735,0.15,0.485,0.5695,9.0
0.65,1.274,0.391,0.23,0.19,0.505,0.59,11.0
0.65,1.488,0.378,0.337,0.185,0.525,0.665,11.0
0.65,1.3835,0.3665,0.2905,0.16,0.51,0.6385,9.0
0.655,1.274,0.365,0.281,0.18,0.55,0.586,10.0
0.66,1.3195,0.341,0.269,0.165,0.5,0.667,9.0
0.66,1.5505,0.495,0.3295,0.195,0.53,0.6505,10.0
0.66,1.6375,0.3925,0.3545,0.165,0.51,0.7685,14.0
0.665,1.443,0.353,0.3845,0.175,0.525,0.6635,11.0
0.665,1.289,0.3665,0.253,0.16,0.505,0.6145,11.0
0.665,1.3725,0.395,0.32,0.175,0.52,0.606,12.0
0.665,1.2975,0.315,0.314,0.175,0.5,0.6075,9.0
0.67,1.2585,0.308,0.311,0.16,0.505,0.6255,12.0
0.67,1.39,0.3,0.2865,0.165,0.52,0.711,11.0
0.675,1.2835,0.3545,0.2755,0.16,0.525,0.572,13.0
0.68,1.4535,0.4125,0.391,0.195,0.52,0.592,10.0
0.685,1.3735,0.32,0.293,0.15,0.52,0.7185,11.0
0.7,1.8565,0.54,0.3935,0.175,0.565,0.8445,10.0
0.71,2.009,0.502,0.4475,0.215,0.575,0.9895,11.0
0.71,2.015,0.566,0.454,0.22,0.56,0.9215,11.0
0.72,1.8275,0.485,0.366,0.2,0.57,0.919,10.0
0.72,2.125,0.511,0.4425,0.205,0.55,1.1455,13.0
0.735,1.747,0.557,0.403,0.215,0.59,0.7275,11.0
0.75,2.2205,0.63,0.421,0.205,0.595,1.083,12.0
0.77,2.5155,0.642,0.6415,0.195,0.62,1.1155,12.0
0.775,2.7795,0.578,0.76,0.25,0.63,1.3485,12.0
0.39,0.564,0.143,0.0955,0.125,0.28,0.3035,7.0
0.445,0.414,0.117,0.09,0.12,0.32,0.199,7.0
0.465,0.5795,0.12,0.1395,0.115,0.36,0.295,7.0
0.485,0.968,0.2365,0.2455,0.155,0.37,0.419,9.0
0.5,1.0615,0.296,0.223,0.15,0.37,0.494,9.0
0.515,0.9225,0.273,0.198,0.155,0.35,0.4185,9.0
0.515,1.007,0.252,0.2495,0.135,0.395,0.472,8.0
0.525,0.9605,0.276,0.2225,0.17,0.365,0.438,10.0
0.525,0.65,0.159,0.155,0.125,0.38,0.303,7.0
0.53,0.7545,0.2105,0.1715,0.14,0.41,0.3495,8.0
0.55,1.3405,0.344,0.311,0.16,0.42,0.6325,10.0
0.57,1.02,0.29,0.2145,0.175,0.455,0.4805,9.0
0.575,1.025,0.2485,0.2245,0.185,0.44,0.5075,10.0
0.585,0.953,0.258,0.2685,0.145,0.455,0.3945,10.0
0.6,1.3005,0.3285,0.284,0.175,0.495,0.6195,11.0
0.6,1.038,0.251,0.2205,0.165,0.465,0.4975,9.0
0.605,1.2525,0.343,0.3055,0.175,0.475,0.5575,9.0
0.605,1.15,0.297,0.232,0.15,0.475,0.575,10.0
0.62,1.0865,0.2565,0.2715,0.145,0.47,0.511,10.0
0.625,1.254,0.3185,0.286,0.175,0.495,0.5815,9.0
0.625,1.169,0.344,0.2535,0.185,0.49,0.5275,11.0
0.635,1.172,0.3475,0.3115,0.195,0.495,0.445,11.0
0.645,1.3815,0.315,0.326,0.16,0.5,0.672,9.0
0.65,1.6125,0.3965,0.3685,0.19,0.525,0.777,11.0
0.65,1.7395,0.3075,0.2785,0.16,0.485,0.5715,10.0
0.655,1.4245,0.378,0.333,0.19,0.545,0.6325,10.0
0.695,1.726,0.455,0.436,0.19,0.53,0.7625,11.0
0.72,1.5865,0.4425,0.375,0.18,0.56,0.691,11.0
0.73,2.069,0.643,0.409,0.21,0.575,0.9285,11.0
0.515,0.5785,0.14,0.16,0.11,0.385,0.253,8.0
0.555,0.7495,0.214,0.1645,0.14,0.435,0.341,8.0
0.555,0.599,0.194,0.1465,0.125,0.41,0.2345,8.0
0.555,0.7075,0.18,0.1585,0.13,0.4,0.332,7.0
0.555,0.837,0.235,0.171,0.135,0.455,0.382,9.0
0.565,0.667,0.185,0.1545,0.125,0.415,0.302,7.0
0.565,0.9355,0.26,0.183,0.155,0.455,0.421,11.0
0.565,0.895,0.246,0.195,0.16,0.45,0.415,9.0
0.57,1.0005,0.265,0.205,0.155,0.46,0.454,11.0
0.57,0.832,0.277,0.174,0.155,0.455,0.3585,11.0
0.57,0.9415,0.283,0.2285,0.175,0.44,0.3805,9.0
0.57,0.88,0.238,0.1955,0.13,0.415,0.4275,13.0
0.575,0.785,0.2265,0.193,0.13,0.45,0.318,9.0
0.575,0.9765,0.235,0.2145,0.155,0.45,0.495,9.0
0.575,0.992,0.239,0.2225,0.135,0.435,0.432,10.0
0.575,1.013,0.295,0.2085,0.155,0.455,0.4685,11.0
0.575,0.876,0.27,0.1615,0.145,0.445,0.3795,10.0
0.575,0.857,0.269,0.173,0.145,0.475,0.3665,9.0
0.58,1.0465,0.2795,0.2185,0.15,0.44,0.518,10.0
0.58,0.8295,0.2485,0.2005,0.16,0.44,0.3365,9.0
0.595,0.886,0.223,0.201,0.15,0.455,0.4315,10.0
0.6,1.1805,0.329,0.337,0.17,0.46,0.456,11.0
0.6,0.99,0.3105,0.2195,0.15,0.475,0.386,10.0
0.605,1.1155,0.321,0.2565,0.18,0.47,0.479,10.0
0.61,1.031,0.27,0.2615,0.14,0.48,0.4375,8.0
0.615,1.0285,0.285,0.2825,0.145,0.47,0.4435,11.0
0.615,1.0875,0.2685,0.283,0.15,0.47,0.4975,9.0
0.615,1.219,0.3885,0.227,0.2,0.495,0.564,10.0
0.62,1.035,0.285,0.2525,0.16,0.49,0.44,11.0
0.62,1.195,0.355,0.302,0.15,0.49,0.4605,9.0
0.62,1.5145,0.5195,0.346,0.195,0.495,0.579,15.0
0.62,1.309,0.325,0.4405,0.15,0.47,0.587,9.0
0.62,1.0295,0.335,0.2315,0.155,0.485,0.425,12.0
0.625,1.0485,0.3215,0.212,0.155,0.495,0.487,11.0
0.625,1.331,0.361,0.3005,0.17,0.515,0.5725,9.0
0.625,1.1565,0.3535,0.2405,0.185,0.505,0.52,10.0
0.63,1.2525,0.289,0.246,0.155,0.49,0.63,9.0
0.635,1.195,0.335,0.246,0.16,0.525,0.5435,12.0
0.635,1.273,0.365,0.213,0.165,0.5,0.6535,12.0
0.635,1.229,0.3535,0.2975,0.165,0.515,0.5055,10.0
0.64,1.1895,0.35,0.3,0.165,0.53,0.4765,11.0
0.64,1.1285,0.34,0.269,0.155,0.49,0.477,9.0
0.645,1.32,0.3385,0.2375,0.175,0.49,0.6525,11.0
0.655,1.1445,0.348,0.223,0.17,0.52,0.53,9.0
0.66,1.218,0.37,0.303,0.175,0.51,0.5055,11.0
0.665,1.2695,0.436,0.2675,0.2,0.515,0.5115,12.0
0.665,1.429,0.4,0.29,0.18,0.525,0.6715,12.0
0.675,1.312,0.4115,0.2845,0.15,0.515,0.556,11.0
0.68,1.623,0.4715,0.354,0.19,0.54,0.7165,12.0
0.68,1.534,0.384,0.379,0.155,0.54,0.671,10.0
0.685,1.3845,0.4075,0.2145,0.155,0.535,0.6615,10.0
0.69,1.6915,0.5,0.402,0.18,0.55,0.6655,11.0
0.695,1.5715,0.4505,0.3835,0.185,0.545,0.6645,13.0
0.7,1.4405,0.375,0.2985,0.175,0.55,0.6565,12.0
0.7,1.6245,0.535,0.347,0.195,0.55,0.675,13.0
0.72,2.081,0.503,0.4305,0.19,0.565,1.0815,11.0
0.76,2.173,0.646,0.4915,0.215,0.605,0.801,13.0
0.45,0.4955,0.129,0.082,0.105,0.33,0.2575,8.0
0.47,0.522,0.145,0.1525,0.135,0.365,0.2395,10.0
0.505,0.653,0.167,0.1385,0.12,0.39,0.3315,9.0
0.505,0.5915,0.185,0.1315,0.135,0.395,0.288,12.0
0.505,0.4825,0.1535,0.1035,0.115,0.385,0.21,10.0
0.515,0.6335,0.168,0.145,0.14,0.4,0.288,9.0
0.525,0.6875,0.1765,0.1495,0.13,0.41,0.3435,9.0
0.545,0.8395,0.2385,0.1905,0.14,0.44,0.356,11.0
0.565,0.9255,0.2475,0.212,0.145,0.445,0.4345,9.0
0.58,1.063,0.2625,0.2705,0.16,0.46,0.513,9.0
0.59,1.115,0.275,0.273,0.165,0.465,0.5165,10.0
0.605,0.982,0.295,0.2085,0.14,0.445,0.4295,12.0
0.61,1.112,0.341,0.228,0.16,0.49,0.465,10.0
0.66,1.5655,0.386,0.353,0.195,0.515,0.7345,9.0
0.45,0.4655,0.135,0.1045,0.13,0.35,0.2075,8.0
0.46,0.4935,0.132,0.1175,0.12,0.345,0.2435,8.0
0.46,0.4595,0.116,0.0885,0.11,0.345,0.235,7.0
0.465,0.4955,0.121,0.085,0.11,0.36,0.2665,7.0
0.485,0.617,0.1635,0.1345,0.135,0.39,0.25,8.0
0.5,0.7815,0.2385,0.1575,0.135,0.39,0.361,9.0
0.505,0.6435,0.1515,0.149,0.13,0.385,0.3135,7.0
0.525,0.5115,0.1455,0.1005,0.1,0.385,0.246,8.0
0.535,0.738,0.1795,0.1895,0.125,0.42,0.355,8.0
0.55,0.8705,0.213,0.2115,0.13,0.41,0.4455,9.0
0.58,0.8685,0.2605,0.1475,0.12,0.45,0.418,8.0
0.595,0.919,0.262,0.1765,0.15,0.465,0.4335,9.0
0.61,1.2435,0.372,0.2675,0.165,0.48,0.5575,8.0
0.645,1.2095,0.339,0.2225,0.15,0.495,0.603,9.0
0.65,1.238,0.32,0.2355,0.14,0.5,0.6165,8.0
0.685,1.7725,0.49,0.387,0.2,0.55,0.813,11.0
0.72,1.914,0.479,0.448,0.22,0.585,0.9155,11.0
0.775,2.032,0.6585,0.4755,0.22,0.57,0.735,17.0
0.53,0.7455,0.245,0.1355,0.13,0.425,0.2995,10.0
0.415,0.3355,0.095,0.0685,0.1,0.3,0.1545,7.0
0.5,0.651,0.22,0.132,0.145,0.39,0.273,11.0
0.425,0.361,0.125,0.0825,0.08,0.33,0.134,7.0
0.47,0.4775,0.175,0.0885,0.1,0.35,0.1885,8.0
0.5,0.66,0.215,0.1365,0.155,0.38,0.2655,19.0
0.375,0.276,0.085,0.0565,0.1,0.29,0.1175,9.0
0.585,1.04,0.285,0.265,0.185,0.48,0.434,10.0
0.595,1.041,0.365,0.2105,0.155,0.455,0.416,14.0
0.665,2.1835,0.885,0.391,0.225,0.535,0.7535,27.0
0.62,1.2105,0.335,0.2555,0.17,0.49,0.5185,13.0
0.525,0.7185,0.175,0.1975,0.13,0.405,0.3265,8.0
0.425,0.3295,0.11,0.0725,0.1,0.325,0.1365,7.0
0.385,0.335,0.09,0.094,0.095,0.295,0.147,7.0
0.47,0.4265,0.15,0.0755,0.115,0.375,0.1685,8.0
0.62,1.1505,0.4,0.2265,0.175,0.51,0.4375,12.0
0.595,0.8915,0.245,0.2105,0.15,0.47,0.359,12.0
0.585,0.97,0.295,0.185,0.14,0.455,0.462,9.0
0.32,0.18,0.055,0.0385,0.08,0.24,0.08,6.0
0.44,0.4585,0.13,0.0885,0.11,0.35,0.2,9.0
0.565,0.7145,0.18,0.166,0.1,0.425,0.3055,12.0
0.68,1.496,0.465,0.337,0.205,0.53,0.5825,14.0
0.47,0.4665,0.155,0.1015,0.105,0.37,0.2025,10.0
0.455,0.401,0.135,0.083,0.105,0.35,0.1575,9.0
0.465,0.5205,0.185,0.1625,0.12,0.35,0.2015,11.0
0.46,0.4935,0.17,0.0845,0.135,0.375,0.186,12.0
0.415,0.3245,0.115,0.0735,0.09,0.31,0.1305,8.0
0.27,0.106,0.036,0.018,0.07,0.195,0.0465,7.0
0.445,0.4415,0.1505,0.1035,0.11,0.355,0.1805,10.0
0.55,0.879,0.265,0.2095,0.135,0.44,0.368,10.0
0.58,1.2275,0.435,0.1965,0.165,0.46,0.473,16.0
0.61,1.2715,0.49,0.185,0.165,0.5,0.4915,12.0
0.62,1.806,0.725,0.3285,0.175,0.495,0.643,17.0
0.56,0.8085,0.285,0.1795,0.195,0.42,0.3025,14.0
0.69,1.8465,0.57,0.472,0.2,0.55,0.732,19.0
0.375,0.3245,0.095,0.0565,0.09,0.305,0.1395,5.0
0.335,0.1545,0.045,0.0345,0.085,0.235,0.066,6.0
0.285,0.1185,0.04,0.0285,0.075,0.21,0.055,7.0
0.595,0.799,0.23,0.2,0.125,0.465,0.3245,10.0
0.575,0.925,0.35,0.197,0.185,0.45,0.342,12.0
0.535,0.9195,0.26,0.1985,0.165,0.42,0.3355,16.0
0.55,0.9295,0.355,0.1735,0.16,0.43,0.317,13.0
0.495,0.8085,0.35,0.1155,0.155,0.4,0.2345,6.0
0.445,0.4475,0.13,0.1035,0.12,0.34,0.193,9.0
0.495,0.6335,0.26,0.1225,0.135,0.385,0.2,14.0
0.47,0.547,0.17,0.1325,0.135,0.37,0.222,12.0
0.58,0.927,0.315,0.1985,0.165,0.47,0.3215,11.0
0.645,1.4935,0.455,0.2785,0.185,0.495,0.5265,15.0
0.57,0.9245,0.295,0.2185,0.16,0.405,0.3445,19.0
0.615,1.36,0.47,0.2375,0.19,0.48,0.5305,18.0
0.42,0.43,0.13,0.096,0.105,0.345,0.175,7.0
0.42,0.4215,0.135,0.093,0.115,0.34,0.175,8.0
0.66,1.6305,0.61,0.297,0.2,0.505,0.4865,18.0
0.565,1.142,0.35,0.258,0.195,0.47,0.387,17.0
0.63,1.539,0.57,0.2815,0.23,0.51,0.5635,17.0
0.495,0.853,0.27,0.189,0.15,0.39,0.3285,14.0
0.58,1.035,0.385,0.1865,0.175,0.465,0.401,17.0
0.59,0.857,0.28,0.174,0.155,0.475,0.356,13.0
0.37,0.2225,0.075,0.051,0.095,0.28,0.0805,7.0
