shell_weight,shucked_weight,whole_weight,diameter,length,viscera_weight,height,rings
0.498,0.7245,1.607,0.535,0.68,0.3215,0.185,12.0
0.405,0.8255,1.7005,0.525,0.69,0.362,0.175,8.0
0.48,0.893,1.872,0.505,0.69,0.4015,0.2,10.0
0.5475,1.012,2.198,0.565,0.71,0.5225,0.205,11.0
0.4135,0.7645,1.9525,0.565,0.715,0.4185,0.175,10.0
0.6205,1.007,2.302,0.6,0.765,0.509,0.22,12.0
0.1035,0.1985,0.397,0.335,0.43,0.0865,0.12,7.0
0.129,0.27,0.544,0.36,0.47,0.1395,0.105,7.0
0.141,0.235,0.5225,0.465,0.49,0.13,0.125,7.0
0.131,0.2485,0.5215,0.39,0.5,0.117,0.125,6.0
0.185,0.3525,0.7765,0.4,0.52,0.1845,0.145,9.0
0.201,0.3755,0.7555,0.405,0.525,0.1555,0.12,9.0
0.156,0.4225,0.7835,0.39,0.545,0.1815,0.135,7.0
0.19,0.434,0.793,0.41,0.545,0.1405,0.12,9.0
0.218,0.4615,0.82,0.415,0.545,0.127,0.14,9.0
0.2165,0.411,0.8315,0.425,0.55,0.1765,0.15,10.0
0.234,0.464,0.8995,0.43,0.56,0.1775,0.145,9.0
0.2215,0.42,0.8965,0.445,0.56,0.2175,0.16,8.0
0.205,0.43,0.852,0.415,0.56,0.1885,0.145,8.0
0.23,0.4565,0.9595,0.455,0.565,0.2395,0.15,9.0
0.206,0.5795,0.99,0.435,0.565,0.1825,0.15,8.0
0.25,0.5415,1.0375,0.46,0.57,0.2035,0.15,9.0
0.222,0.401,0.8455,0.435,0.575,0.191,0.14,9.0
0.26,0.4245,0.907,0.455,0.575,0.197,0.135,9.0
0.228,0.549,1.0225,0.445,0.575,0.2175,0.17,9.0
0.22,0.415,0.847,0.445,0.575,0.1945,0.145,9.0
0.265,0.4765,1.114,0.455,0.58,0.2155,0.15,8.0
0.441,0.945,1.859,0.455,0.58,0.426,0.195,9.0
0.22,0.3775,0.814,0.445,0.58,0.1915,0.135,9.0
0.253,0.486,0.9615,0.45,0.58,0.1815,0.14,9.0
0.2295,0.547,1.0025,0.45,0.58,0.1975,0.145,8.0
0.235,0.478,0.9335,0.46,0.585,0.1825,0.145,9.0
0.265,0.4595,0.9555,0.465,0.585,0.236,0.16,7.0
0.24,0.481,0.9955,0.47,0.59,0.232,0.15,8.0
0.24,0.696,1.1915,0.455,0.6,0.2395,0.17,8.0
0.225,0.512,1.0165,0.465,0.6,0.2465,0.155,10.0
0.274,0.555,1.1175,0.475,0.605,0.257,0.14,9.0
0.317,0.582,1.1835,0.48,0.605,0.2365,0.17,10.0
0.2415,0.5315,1.0145,0.485,0.61,0.212,0.16,8.0
0.2865,0.783,1.3305,0.485,0.61,0.2255,0.145,9.0
0.267,0.498,1.052,0.47,0.61,0.242,0.165,9.0
0.27,0.4815,1.0565,0.46,0.615,0.272,0.17,10.0
0.2475,0.5315,1.0195,0.47,0.62,0.2005,0.135,8.0
0.2405,0.4285,0.858,0.45,0.62,0.1525,0.2,8.0
0.286,0.587,1.2065,0.48,0.625,0.29,0.185,8.0
0.287,0.589,1.1325,0.47,0.63,0.211,0.155,8.0
0.3425,0.5635,1.2645,0.5,0.63,0.3065,0.175,10.0
0.358,0.632,1.369,0.515,0.64,0.3415,0.165,10.0
0.3735,0.6465,1.39,0.53,0.645,0.2945,0.195,10.0
0.294,0.565,1.202,0.5,0.65,0.3135,0.155,11.0
0.345,0.553,1.31,0.515,0.655,0.369,0.16,11.0
0.34,0.629,1.363,0.525,0.665,0.279,0.16,8.0
0.4,0.699,1.519,0.52,0.685,0.3685,0.165,10.0
0.3865,0.7355,1.583,0.53,0.69,0.405,0.21,12.0
0.4375,0.885,1.74,0.56,0.695,0.3715,0.185,10.0
0.446,0.895,1.751,0.565,0.7,0.3355,0.18,9.0
0.638,1.095,2.273,0.575,0.7,0.418,0.19,12.0
0.5075,1.0465,2.0045,0.55,0.715,0.407,0.19,12.0
0.42,0.889,1.6755,0.535,0.715,0.313,0.19,10.0
0.2685,0.691,1.187,0.565,0.72,0.1945,0.145,8.0
0.4505,1.026,1.978,0.505,0.725,0.4255,0.185,12.0
0.5,0.952,2.124,0.585,0.735,0.55,0.185,11.0
0.5,0.896,1.931,0.565,0.745,0.4585,0.215,11.0
0.595,0.8295,2.0065,0.58,0.755,0.4015,0.205,10.0
0.167,0.224,0.553,0.395,0.495,0.1375,0.12,8.0
0.2065,0.302,0.6765,0.42,0.5,0.1415,0.135,9.0
0.2045,0.428,0.842,0.42,0.525,0.1415,0.155,9.0
0.194,0.3475,0.717,0.435,0.535,0.1445,0.15,9.0
0.248,0.413,0.8745,0.43,0.55,0.1905,0.15,9.0
0.255,0.407,0.8705,0.44,0.555,0.156,0.14,9.0
0.219,0.3635,0.796,0.445,0.565,0.184,0.15,8.0
0.1685,0.352,0.744,0.39,0.565,0.13,0.125,11.0
0.2705,0.382,0.873,0.435,0.57,0.183,0.17,10.0
0.275,0.383,0.8965,0.435,0.57,0.1835,0.125,9.0
0.22,0.4415,0.892,0.46,0.575,0.176,0.155,10.0
0.2955,0.6715,1.4395,0.46,0.58,0.273,0.155,10.0
0.204,0.405,0.7955,0.455,0.58,0.167,0.135,10.0
0.235,0.4555,0.9145,0.465,0.585,0.1965,0.155,9.0
0.335,0.522,1.171,0.49,0.585,0.2535,0.185,10.0
0.274,0.5825,1.1135,0.46,0.585,0.2345,0.165,10.0
0.295,0.8,1.409,0.47,0.585,0.229,0.165,10.0
0.2885,0.5315,1.065,0.475,0.585,0.199,0.15,10.0
0.237,0.336,0.7995,0.45,0.585,0.1855,0.18,8.0
0.31,0.5985,1.187,0.47,0.59,0.227,0.18,9.0
0.275,0.388,0.8855,0.455,0.59,0.188,0.155,10.0
0.309,0.508,1.1315,0.475,0.6,0.272,0.17,10.0
0.325,0.451,1.014,0.48,0.6,0.1885,0.155,11.0
0.295,0.4455,0.9595,0.46,0.6,0.189,0.155,11.0
0.315,0.419,0.9755,0.49,0.605,0.206,0.14,10.0
0.25,0.407,0.871,0.45,0.61,0.1835,0.15,10.0
0.305,0.6345,1.244,0.48,0.61,0.257,0.165,12.0
0.3035,0.435,1.0265,0.475,0.61,0.2335,0.17,10.0
0.347,0.4565,1.137,0.48,0.61,0.29,0.17,10.0
0.275,0.494,1.0,0.46,0.61,0.197,0.16,10.0
0.34,0.4465,1.128,0.47,0.615,0.2195,0.165,10.0
0.295,0.4845,1.054,0.5,0.615,0.228,0.17,10.0
0.3,0.4795,1.129,0.475,0.615,0.302,0.17,10.0
0.3,0.446,1.118,0.48,0.615,0.3195,0.175,9.0
0.39,0.5715,1.2815,0.51,0.62,0.2385,0.175,10.0
0.355,0.5765,1.2555,0.495,0.62,0.254,0.18,12.0
0.315,0.4955,1.082,0.455,0.625,0.2345,0.17,9.0
0.3365,0.5065,1.062,0.485,0.63,0.1785,0.145,12.0
0.315,0.497,1.093,0.495,0.63,0.221,0.16,12.0
0.3455,0.534,1.101,0.49,0.635,0.1865,0.16,10.0
0.3665,0.5205,1.1935,0.475,0.635,0.2695,0.17,10.0
0.31,0.405,0.986,0.51,0.635,0.2255,0.155,10.0
0.406,0.644,1.521,0.565,0.64,0.372,0.23,15.0
0.4075,0.4865,1.3135,0.525,0.64,0.2995,0.18,10.0
0.345,0.556,1.1835,0.51,0.645,0.2385,0.16,11.0
0.3725,0.6165,1.401,0.5,0.645,0.3515,0.195,10.0
0.4325,0.7455,1.5075,0.525,0.645,0.245,0.16,11.0
0.405,0.6865,1.5365,0.525,0.65,0.3585,0.175,11.0
0.375,0.7155,1.542,0.51,0.65,0.3735,0.19,9.0
0.46,0.7305,1.6445,0.535,0.655,0.3595,0.205,13.0
0.365,0.6395,1.3585,0.49,0.655,0.294,0.175,10.0
0.469,0.876,1.7375,0.545,0.675,0.3135,0.185,13.0
0.461,0.8145,1.7925,0.545,0.685,0.416,0.205,9.0
0.512,1.1075,2.21,0.565,0.705,0.4865,0.515,10.0
0.528,1.0465,2.141,0.555,0.705,0.383,0.215,11.0
0.5365,0.9515,2.173,0.575,0.72,0.564,0.215,12.0
0.103,0.2015,0.3895,0.315,0.415,0.065,0.115,9.0
0.1025,0.2435,0.4565,0.32,0.44,0.092,0.12,8.0
0.11,0.2165,0.4475,0.335,0.45,0.126,0.125,6.0
0.142,0.347,0.649,0.37,0.475,0.136,0.125,8.0
0.198,0.2945,0.6435,0.39,0.485,0.103,0.085,8.0
0.1555,0.2485,0.526,0.37,0.485,0.105,0.13,6.0
0.1555,0.239,0.5525,0.385,0.505,0.1245,0.105,9.0
0.2185,0.497,0.9365,0.425,0.515,0.181,0.145,8.0
0.149,0.254,0.559,0.4,0.52,0.139,0.125,8.0
0.1735,0.3685,0.7205,0.4,0.525,0.145,0.14,8.0
0.175,0.398,0.7575,0.4,0.53,0.151,0.125,8.0
0.215,0.343,0.793,0.425,0.55,0.2035,0.16,9.0
0.249,0.504,0.9875,0.445,0.57,0.207,0.15,8.0
0.238,0.595,1.08,0.465,0.575,0.2065,0.15,9.0
0.2385,0.4005,0.9155,0.46,0.575,0.2465,0.165,8.0
0.2335,0.4095,0.906,0.455,0.585,0.23,0.15,8.0
0.245,0.387,0.8725,0.44,0.59,0.215,0.15,8.0
0.25,0.4365,0.945,0.455,0.6,0.2085,0.155,8.0
0.357,0.6405,1.259,0.465,0.6,0.1985,0.2,9.0
0.25,0.462,1.049,0.485,0.62,0.231,0.155,10.0
0.312,0.4815,1.0725,0.48,0.62,0.235,0.165,9.0
0.3465,0.691,1.4105,0.52,0.625,0.322,0.175,10.0
0.305,0.451,1.136,0.47,0.625,0.3245,0.18,11.0
0.276,0.52,1.1005,0.47,0.63,0.26,0.145,9.0
0.305,0.481,1.1315,0.455,0.63,0.2745,0.15,9.0
0.31,0.6605,1.271,0.48,0.63,0.2425,0.15,11.0
0.377,0.544,1.308,0.51,0.635,0.318,0.185,8.0
0.43,0.6405,1.539,0.51,0.645,0.3585,0.155,11.0
0.4,0.677,1.466,0.515,0.65,0.3045,0.175,10.0
0.215,0.475,1.175,0.485,0.65,0.2435,0.14,8.0
0.4195,0.8885,1.7835,0.51,0.655,0.4095,0.215,11.0
0.345,0.589,1.374,0.505,0.66,0.351,0.165,10.0
0.41,0.833,1.7025,0.545,0.67,0.374,0.2,11.0
0.345,0.651,1.5265,0.51,0.67,0.4475,0.175,10.0
0.415,0.616,1.519,0.5,0.67,0.388,0.19,10.0
0.395,0.8415,1.6115,0.515,0.68,0.306,0.17,11.0
0.461,0.9165,1.7825,0.525,0.69,0.3325,0.2,12.0
0.595,0.73,1.858,0.555,0.7,0.3665,0.2,11.0
0.388,0.797,1.675,0.56,0.705,0.4095,0.165,10.0
0.494,1.017,2.1055,0.565,0.72,0.363,0.2,12.0
0.5015,1.351,2.21,0.575,0.725,0.413,0.24,13.0
0.446,0.9115,1.8725,0.57,0.74,0.427,0.18,10.0
0.445,0.942,1.893,0.55,0.75,0.397,0.18,11.0
0.112,0.1965,0.4285,0.36,0.475,0.099,0.1,7.0
0.239,0.221,0.464,0.355,0.48,0.106,0.16,8.0
0.2875,0.3525,0.845,0.415,0.525,0.1635,0.145,8.0
0.225,0.282,0.707,0.4,0.525,0.1605,0.155,9.0
0.269,0.419,0.972,0.455,0.54,0.255,0.14,10.0
0.259,0.327,0.7625,0.435,0.55,0.1685,0.14,10.0
0.2645,0.3265,0.849,0.425,0.56,0.221,0.135,10.0
0.215,0.3595,0.802,0.44,0.565,0.1825,0.125,9.0
0.219,0.4245,0.831,0.43,0.565,0.1735,0.15,10.0
0.245,0.3385,0.795,0.45,0.57,0.148,0.14,9.0
0.268,0.3765,0.867,0.455,0.575,0.1805,0.165,8.0
0.355,0.3745,0.985,0.47,0.575,0.2175,0.185,10.0
0.239,0.4005,0.839,0.445,0.575,0.198,0.16,9.0
0.275,0.483,0.9615,0.44,0.575,0.166,0.16,13.0
0.295,0.469,1.0335,0.46,0.58,0.2225,0.155,10.0
0.2285,0.365,0.798,0.43,0.58,0.173,0.13,10.0
0.309,0.559,1.207,0.49,0.59,0.235,0.165,10.0
0.217,0.3965,0.838,0.45,0.595,0.194,0.14,10.0
0.2535,0.463,0.959,0.45,0.595,0.2065,0.145,10.0
0.2725,0.4135,0.9165,0.48,0.6,0.1965,0.165,9.0
0.275,0.504,1.059,0.47,0.6,0.241,0.165,9.0
0.2635,0.5625,1.194,0.47,0.6,0.3045,0.16,10.0
0.27,0.3835,0.884,0.475,0.605,0.1905,0.145,8.0
0.266,0.4565,0.983,0.475,0.61,0.228,0.155,10.0
0.2945,0.449,1.022,0.47,0.61,0.2345,0.16,9.0
0.31,0.5225,1.1185,0.47,0.61,0.2405,0.17,9.0
0.28,0.473,1.0175,0.47,0.615,0.2395,0.16,10.0
0.311,0.6035,1.224,0.475,0.615,0.261,0.175,9.0
0.395,0.535,1.221,0.515,0.62,0.241,0.175,13.0
0.309,0.6285,1.266,0.48,0.62,0.2575,0.15,12.0
0.3325,0.4895,1.1165,0.49,0.625,0.2615,0.165,11.0
0.3105,0.5005,1.0845,0.475,0.625,0.2355,0.16,10.0
0.354,0.4645,1.0985,0.5,0.625,0.22,0.17,9.0
0.3,0.4615,1.0915,0.505,0.63,0.266,0.17,9.0
0.339,0.5255,1.1745,0.49,0.63,0.273,0.17,11.0
0.3035,0.6565,1.233,0.485,0.63,0.2315,0.165,10.0
0.328,0.605,1.2695,0.495,0.63,0.271,0.175,11.0
0.418,0.611,1.4345,0.5,0.635,0.309,0.17,12.0
0.3685,0.5475,1.247,0.515,0.64,0.2925,0.18,10.0
0.4435,0.763,1.707,0.525,0.64,0.4205,0.185,11.0
0.335,0.519,1.1605,0.505,0.645,0.2615,0.15,10.0
0.386,0.5645,1.286,0.5,0.645,0.288,0.175,12.0
0.3845,0.741,1.5595,0.5,0.645,0.3715,0.19,14.0
0.48,0.605,1.4745,0.51,0.645,0.345,0.19,9.0
0.3745,0.5885,1.226,0.51,0.645,0.2215,0.195,10.0
0.317,0.6665,1.33,0.51,0.645,0.309,0.16,9.0
0.415,0.554,1.3375,0.5,0.645,0.308,0.175,10.0
0.33,0.5695,1.2215,0.485,0.645,0.2735,0.15,9.0
0.391,0.59,1.274,0.505,0.65,0.23,0.19,11.0
0.378,0.665,1.488,0.525,0.65,0.337,0.185,11.0
0.3665,0.6385,1.3835,0.51,0.65,0.2905,0.16,9.0
0.365,0.586,1.274,0.55,0.655,0.281,0.18,10.0
0.341,0.667,1.3195,0.5,0.66,0.269,0.165,9.0
0.495,0.6505,1.5505,0.53,0.66,0.3295,0.195,10.0
0.3925,0.7685,1.6375,0.51,0.66,0.3545,0.165,14.0
0.353,0.6635,1.443,0.525,0.665,0.3845,0.175,11.0
0.3665,0.6145,1.289,0.505,0.665,0.253,0.16,11.0
0.395,0.606,1.3725,0.52,0.665,0.32,0.175,12.0
0.315,0.6075,1.2975,0.5,0.665,0.314,0.175,9.0
0.308,0.6255,1.2585,0.505,0.67,0.311,0.16,12.0
0.3,0.711,1.39,0.52,0.67,0.2865,0.165,11.0
0.3545,0.572,1.2835,0.525,0.675,0.2755,0.16,13.0
0.4125,0.592,1.4535,0.52,0.68,0.391,0.195,10.0
0.32,0.7185,1.3735,0.52,0.685,0.293,0.15,11.0
0.54,0.8445,1.8565,0.565,0.7,0.3935,0.175,10.0
0.502,0.9895,2.009,0.575,0.71,0.4475,0.215,11.0
0.566,0.9215,2.015,0.56,0.71,0.454,0.22,11.0
0.485,0.919,1.8275,0.57,0.72,0.366,0.2,10.0
0.511,1.1455,2.125,0.55,0.72,0.4425,0.205,13.0
0.557,0.7275,1.747,0.59,0.735,0.403,0.215,11.0
0.63,1.083,2.2205,0.595,0.75,0.421,0.205,12.0
0.642,1.1155,2.5155,0.62,0.77,0.6415,0.195,12.0
0.578,1.3485,2.7795,0.63,0.775,0.76,0.25,12.0
0.143,0.3035,0.564,0.28,0.39,0.0955,0.125,7.0
0.117,0.199,0.414,0.32,0.445,0.09,0.12,7.0
0.12,0.295,0.5795,0.36,0.465,0.1395,0.115,7.0
0.2365,0.419,0.968,0.37,0.485,0.2455,0.155,9.0
0.296,0.494,1.0615,0.37,0.5,0.223,0.15,9.0
0.273,0.4185,0.9225,0.35,0.515,0.198,0.155,9.0
0.252,0.472,1.007,0.395,0.515,0.2495,0.135,8.0
0.276,0.438,0.9605,0.365,0.525,0.2225,0.17,10.0
0.159,0.303,0.65,0.38,0.525,0.155,0.125,7.0
0.2105,0.3495,0.7545,0.41,0.53,0.1715,0.14,8.0
0.344,0.6325,1.3405,0.42,0.55,0.311,0.16,10.0
0.29,0.4805,1.02,0.455,0.57,0.2145,0.175,9.0
0.2485,0.5075,1.025,0.44,0.575,0.2245,0.185,10.0
0.258,0.3945,0.953,0.455,0.585,0.2685,0.145,10.0
0.3285,0.6195,1.3005,0.495,0.6,0.284,0.175,11.0
0.251,0.4975,1.038,0.465,0.6,0.2205,0.165,9.0
0.343,0.5575,1.2525,0.475,0.605,0.3055,0.175,9.0
0.297,0.575,1.15,0.475,0.605,0.232,0.15,10.0
0.2565,0.511,1.0865,0.47,0.62,0.2715,0.145,10.0
0.3185,0.5815,1.254,0.495,0.625,0.286,0.175,9.0
0.344,0.5275,1.169,0.49,0.625,0.2535,0.185,11.0
0.3475,0.445,1.172,0.495,0.635,0.3115,0.195,11.0
0.315,0.672,1.3815,0.5,0.645,0.326,0.16,9.0
0.3965,0.777,1.6125,0.525,0.65,0.3685,0.19,11.0
0.3075,0.5715,1.7395,0.485,0.65,0.2785,0.16,10.0
0.378,0.6325,1.4245,0.545,0.655,0.333,0.19,10.0
0.455,0.7625,1.726,0.53,0.695,0.436,0.19,11.0
0.4425,0.691,1.5865,0.56,0.72,0.375,0.18,11.0
0.643,0.9285,2.069,0.575,0.73,0.409,0.21,11.0
0.14,0.253,0.5785,0.385,0.515,0.16,0.11,8.0
0.214,0.341,0.7495,0.435,0.555,0.1645,0.14,8.0
0.194,0.2345,0.599,0.41,0.555,0.1465,0.125,8.0
0.18,0.332,0.7075,0.4,0.555,0.1585,0.13,7.0
0.235,0.382,0.837,0.455,0.555,0.171,0.135,9.0
0.185,0.302,0.667,0.415,0.565,0.1545,0.125,7.0
0.26,0.421,0.9355,0.455,0.565,0.183,0.155,11.0
0.246,0.415,0.895,0.45,0.565,0.195,0.16,9.0
0.265,0.454,1.0005,0.46,0.57,0.205,0.155,11.0
0.277,0.3585,0.832,0.455,0.57,0.174,0.155,11.0
0.283,0.3805,0.9415,0.44,0.57,0.2285,0.175,9.0
0.238,0.4275,0.88,0.415,0.57,0.1955,0.13,13.0
0.2265,0.318,0.785,0.45,0.575,0.193,0.13,9.0
0.235,0.495,0.9765,0.45,0.575,0.2145,0.155,9.0
0.239,0.432,0.992,0.435,0.575,0.2225,0.135,10.0
0.295,0.4685,1.013,0.455,0.575,0.2085,0.155,11.0
0.27,0.3795,0.876,0.445,0.575,0.1615,0.145,10.0
0.269,0.3665,0.857,0.475,0.575,0.173,0.145,9.0
0.2795,0.518,1.0465,0.44,0.58,0.2185,0.15,10.0
0.2485,0.3365,0.8295,0.44,0.58,0.2005,0.16,9.0
0.223,0.4315,0.886,0.455,0.595,0.201,0.15,10.0
0.329,0.456,1.1805,0.46,0.6,0.337,0.17,11.0
0.3105,0.386,0.99,0.475,0.6,0.2195,0.15,10.0
0.321,0.479,1.1155,0.47,0.605,0.2565,0.18,10.0
0.27,0.4375,1.031,0.48,0.61,0.2615,0.14,8.0
0.285,0.4435,1.0285,0.47,0.615,0.2825,0.145,11.0
0.2685,0.4975,1.0875,0.47,0.615,0.283,0.15,9.0
0.3885,0.564,1.219,0.495,0.615,0.227,0.2,10.0
0.285,0.44,1.035,0.49,0.62,0.2525,0.16,11.0
0.355,0.4605,1.195,0.49,0.62,0.302,0.15,9.0
0.5195,0.579,1.5145,0.495,0.62,0.346,0.195,15.0
0.325,0.587,1.309,0.47,0.62,0.4405,0.15,9.0
0.335,0.425,1.0295,0.485,0.62,0.2315,0.155,12.0
0.3215,0.487,1.0485,0.495,0.625,0.212,0.155,11.0
0.361,0.5725,1.331,0.515,0.625,0.3005,0.17,9.0
0.3535,0.52,1.1565,0.505,0.625,0.2405,0.185,10.0
0.289,0.63,1.2525,0.49,0.63,0.246,0.155,9.0
0.335,0.5435,1.195,0.525,0.635,0.246,0.16,12.0
0.365,0.6535,1.273,0.5,0.635,0.213,0.165,12.0
0.3535,0.5055,1.229,0.515,0.635,0.2975,0.165,10.0
0.35,0.4765,1.1895,0.53,0.64,0.3,0.165,11.0
0.34,0.477,1.1285,0.49,0.64,0.269,0.155,9.0
0.3385,0.6525,1.32,0.49,0.645,0.2375,0.175,11.0
0.348,0.53,1.1445,0.52,0.655,0.223,0.17,9.0
0.37,0.5055,1.218,0.51,0.66,0.303,0.175,11.0
0.436,0.5115,1.2695,0.515,0.665,0.2675,0.2,12.0
0.4,0.6715,1.429,0.525,0.665,0.29,0.18,12.0
0.4115,0.556,1.312,0.515,0.675,0.2845,0.15,11.0
0.4715,0.7165,1.623,0.54,0.68,0.354,0.19,12.0
0.384,0.671,1.534,0.54,0.68,0.379,0.155,10.0
0.4075,0.6615,1.3845,0.535,0.685,0.2145,0.155,10.0
0.5,0.6655,1.6915,0.55,0.69,0.402,0.18,11.0
0.4505,0.6645,1.5715,0.545,0.695,0.3835,0.185,13.0
0.375,0.6565,1.4405,0.55,0.7,0.2985,0.175,12.0
0.535,0.675,1.6245,0.55,0.7,0.347,0.195,13.0
0.503,1.0815,2.081,0.565,0.72,0.4305,0.19,11.0
0.646,0.801,2.173,0.605,0.76,0.4915,0.215,13.0
0.129,0.2575,0.4955,0.33,0.45,0.082,0.105,8.0
0.145,0.2395,0.522,0.365,0.47,0.1525,0.135,10.0
0.167,0.3315,0.653,0.39,0.505,0.1385,0.12,9.0
0.185,0.288,0.5915,0.395,0.505,0.1315,0.135,12.0
0.1535,0.21,0.4825,0.385,0.505,0.1035,0.115,10.0
0.168,0.288,0.6335,0.4,0.515,0.145,0.14,9.0
0.1765,0.3435,0.6875,0.41,0.525,0.1495,0.13,9.0
0.2385,0.356,0.8395,0.44,0.545,0.1905,0.14,11.0
0.2475,0.4345,0.9255,0.445,0.565,0.212,0.145,9.0
0.2625,0.513,1.063,0.46,0.58,0.2705,0.16,9.0
0.275,0.5165,1.115,0.465,0.59,0.273,0.165,10.0
0.295,0.4295,0.982,0.445,0.605,0.2085,0.14,12.0
0.341,0.465,1.112,0.49,0.61,0.228,0.16,10.0
0.386,0.7345,1.5655,0.515,0.66,0.353,0.195,9.0
0.135,0.2075,0.4655,0.35,0.45,0.1045,0.13,8.0
0.132,0.2435,0.4935,0.345,0.46,0.1175,0.12,8.0
0.116,0.235,0.4595,0.345,0.46,0.0885,0.11,7.0
0.121,0.2665,0.4955,0.36,0.465,0.085,0.11,7.0
0.1635,0.25,0.617,0.39,0.485,0.1345,0.135,8.0
0.2385,0.361,0.7815,0.39,0.5,0.1575,0.135,9.0
0.1515,0.3135,0.6435,0.385,0.505,0.149,0.13,7.0
0.1455,0.246,0.5115,0.385,0.525,0.1005,0.1,8.0
0.1795,0.355,0.738,0.42,0.535,0.1895,0.125,8.0
0.213,0.4455,0.8705,0.41,0.55,0.2115,0.13,9.0
0.2605,0.418,0.8685,0.45,0.58,0.1475,0.12,8.0
0.262,0.4335,0.919,0.465,0.595,0.1765,0.15,9.0
0.372,0.5575,1.2435,0.48,0.61,0.2675,0.165,8.0
0.339,0.603,1.2095,0.495,0.645,0.2225,0.15,9.0
0.32,0.6165,1.238,0.5,0.65,0.2355,0.14,8.0
0.49,0.813,1.7725,0.55,0.685,0.387,0.2,11.0
0.479,0.9155,1.914,0.585,0.72,0.448,0.22,11.0
0.6585,0.735,2.032,0.57,0.775,0.4755,0.22,17.0
0.245,0.2995,0.7455,0.425,0.53,0.1355,0.13,10.0
0.095,0.1545,0.3355,0.3,0.415,0.0685,0.1,7.0
0.22,0.273,0.651,0.39,0.5,0.132,0.145,11.0
0.125,0.134,0.361,0.33,0.425,0.0825,0.08,7.0
0.175,0.1885,0.4775,0.35,0.47,0.0885,0.1,8.0
0.215,0.2655,0.66,0.38,0.5,0.1365,0.155,19.0
0.085,0.1175,0.276,0.29,0.375,0.0565,0.1,9.0
0.285,0.434,1.04,0.48,0.585,0.265,0.185,10.0
0.365,0.416,1.041,0.455,0.595,0.2105,0.155,14.0
0.885,0.7535,2.1835,0.535,0.665,0.391,0.225,27.0
0.335,0.5185,1.2105,0.49,0.62,0.2555,0.17,13.0
0.175,0.3265,0.7185,0.405,0.525,0.1975,0.13,8.0
0.11,0.1365,0.3295,0.325,0.425,0.0725,0.1,7.0
0.09,0.147,0.335,0.295,0.385,0.094,0.095,7.0
0.15,0.1685,0.4265,0.375,0.47,0.0755,0.115,8.0
0.4,0.4375,1.1505,0.51,0.62,0.2265,0.175,12.0
0.245,0.359,0.8915,0.47,0.595,0.2105,0.15,12.0
0.295,0.462,0.97,0.455,0.585,0.185,0.14,9.0
0.055,0.08,0.18,0.24,0.32,0.0385,0.08,6.0
0.13,0.2,0.4585,0.35,0.44,0.0885,0.11,9.0
0.18,0.3055,0.7145,0.425,0.565,0.166,0.1,12.0
0.465,0.5825,1.496,0.53,0.68,0.337,0.205,14.0
0.155,0.2025,0.4665,0.37,0.47,0.1015,0.105,10.0
0.135,0.1575,0.401,0.35,0.455,0.083,0.105,9.0
0.185,0.2015,0.5205,0.35,0.465,0.1625,0.12,11.0
0.17,0.186,0.4935,0.375,0.46,0.0845,0.135,12.0
0.115,0.1305,0.3245,0.31,0.415,0.0735,0.09,8.0
0.036,0.0465,0.106,0.195,0.27,0.018,0.07,7.0
0.1505,0.1805,0.4415,0.355,0.445,0.1035,0.11,10.0
0.265,0.368,0.879,0.44,0.55,0.2095,0.135,10.0
0.435,0.473,1.2275,0.46,0.58,0.1965,0.165,16.0
0.49,0.4915,1.2715,0.5,0.61,0.185,0.165,12.0
0.725,0.643,1.806,0.495,0.62,0.3285,0.175,17.0
0.285,0.3025,0.8085,0.42,0.56,0.1795,0.195,14.0
0.57,0.732,1.8465,0.55,0.69,0.472,0.2,19.0
0.095,0.1395,0.3245,0.305,0.375,0.0565,0.09,5.0
0.045,0.066,0.1545,0.235,0.335,0.0345,0.085,6.0
0.04,0.055,0.1185,0.21,0.285,0.0285,0.075,7.0
0.23,0.3245,0.799,0.465,0.595,0.2,0.125,10.0
0.35,0.342,0.925,0.45,0.575,0.197,0.185,12.0
0.26,0.3355,0.9195,0.42,0.535,0.1985,0.165,16.0
0.355,0.317,0.9295,0.43,0.55,0.1735,0.16,13.0
0.35,0.2345,0.8085,0.4,0.495,0.1155,0.155,6.0
0.13,0.193,0.4475,0.34,0.445,0.1035,0.12,9.0
0.26,0.2,0.6335,0.385,0.495,0.1225,0.135,14.0
0.17,0.222,0.547,0.37,0.47,0.1325,0.135,12.0
0.315,0.3215,0.927,0.47,0.58,0.1985,0.165,11.0
0.455,0.5265,1.4935,0.495,0.645,0.2785,0.185,15.0
0.295,0.3445,0.9245,0.405,0.57,0.2185,0.16,19.0
0.47,0.5305,1.36,0.48,0.615,0.2375,0.19,18.0
0.13,0.175,0.43,0.345,0.42,0.096,0.105,7.0
0.135,0.175,0.4215,0.34,0.42,0.093,0.115,8.0
0.61,0.4865,1.6305,0.505,0.66,0.297,0.2,18.0
0.35,0.387,1.142,0.47,0.565,0.258,0.195,17.0
0.57,0.5635,1.539,0.51,0.63,0.2815,0.23,17.0
0.27,0.3285,0.853,0.39,0.495,0.189,0.15,14.0
0.385,0.401,1.035,0.465,0.58,0.1865,0.175,17.0
0.28,0.356,0.857,0.475,0.59,0.174,0.155,13.0
0.075,0.0805,0.2225,0.28,0.37,0.051,0.095,7.0
