length,diameter,height,viscera_weight,shell_weight,shucked_weight,whole_weight,rings
0.68,0.535,0.185,0.3215,0.498,0.7245,1.607,12.0
0.69,0.525,0.175,0.362,0.405,0.8255,1.7005,8.0
0.69,0.505,0.2,0.4015,0.48,0.893,1.872,10.0
0.71,0.565,0.205,0.5225,0.5475,1.012,2.198,11.0
0.715,0.565,0.175,0.4185,0.4135,0.7645,1.9525,10.0
0.765,0.6,0.22,0.509,0.6205,1.007,2.302,12.0
0.43,0.335,0.12,0.0865,0.1035,0.1985,0.397,7.0
0.47,0.36,0.105,0.1395,0.129,0.27,0.544,7.0
0.49,0.465,0.125,0.13,0.141,0.235,0.5225,7.0
0.5,0.39,0.125,0.117,0.131,0.2485,0.5215,6.0
0.52,0.4,0.145,0.1845,0.185,0.3525,0.7765,9.0
0.525,0.405,0.12,0.1555,0.201,0.3755,0.7555,9.0
0.545,0.39,0.135,0.1815,0.156,0.4225,0.7835,7.0
0.545,0.41,0.12,0.1405,0.19,0.434,0.793,9.0
0.545,0.415,0.14,0.127,0.218,0.4615,0.82,9.0
0.55,0.425,0.15,0.1765,0.2165,0.411,0.8315,10.0
0.56,0.43,0.145,0.1775,0.234,0.464,0.8995,9.0
0.56,0.445,0.16,0.2175,0.2215,0.42,0.8965,8.0
0.56,0.415,0.145,0.1885,0.205,0.43,0.852,8.0
0.565,0.455,0.15,0.2395,0.23,0.4565,0.9595,9.0
0.565,0.435,0.15,0.1825,0.206,0.5795,0.99,8.0
0.57,0.46,0.15,0.2035,0.25,0.5415,1.0375,9.0
0.575,0.435,0.14,0.191,0.222,0.401,0.8455,9.0
0.575,0.455,0.135,0.197,0.26,0.4245,0.907,9.0
0.575,0.445,0.17,0.2175,0.228,0.549,1.0225,9.0
0.575,0.445,0.145,0.1945,0.22,0.415,0.847,9.0
0.58,0.455,0.15,0.2155,0.265,0.4765,1.114,8.0
0.58,0.455,0.195,0.426,0.441,0.945,1.859,9.0
0.58,0.445,0.135,0.1915,0.22,0.3775,0.814,9.0
0.58,0.45,0.14,0.1815,0.253,0.486,0.9615,9.0
0.58,0.45,0.145,0.1975,0.2295,0.547,1.0025,8.0
0.585,0.46,0.145,0.1825,0.235,0.478,0.9335,9.0
0.585,0.465,0.16,0.236,0.265,0.4595,0.9555,7.0
0.59,0.47,0.15,0.232,0.24,0.481,0.9955,8.0
0.6,0.455,0.17,0.2395,0.24,0.696,1.1915,8.0
0.6,0.465,0.155,0.2465,0.225,0.512,1.0165,10.0
0.605,0.475,0.14,0.257,0.274,0.555,1.1175,9.0
0.605,0.48,0.17,0.2365,0.317,0.582,1.1835,10.0
0.61,0.485,0.16,0.212,0.2415,0.5315,1.0145,8.0
0.61,0.485,0.145,0.2255,0.2865,0.783,1.3305,9.0
0.61,0.47,0.165,0.242,0.267,0.498,1.052,9.0
0.615,0.46,0.17,0.272,0.27,0.4815,1.0565,10.0
0.62,0.47,0.135,0.2005,0.2475,0.5315,1.0195,8.0
0.62,0.45,0.2,0.1525,0.2405,0.4285,0.858,8.0
0.625,0.48,0.185,0.29,0.286,0.587,1.2065,8.0
0.63,0.47,0.155,0.211,0.287,0.589,1.1325,8.0
0.63,0.5,0.175,0.3065,0.3425,0.5635,1.2645,10.0
0.64,0.515,0.165,0.3415,0.358,0.632,1.369,10.0
0.645,0.53,0.195,0.2945,0.3735,0.6465,1.39,10.0
0.65,0.5,0.155,0.3135,0.294,0.565,1.202,11.0
0.655,0.515,0.16,0.369,0.345,0.553,1.31,11.0
0.665,0.525,0.16,0.279,0.34,0.629,1.363,8.0
0.685,0.52,0.165,0.3685,0.4,0.699,1.519,10.0
0.69,0.53,0.21,0.405,0.3865,0.7355,1.583,12.0
0.695,0.56,0.185,0.3715,0.4375,0.885,1.74,10.0
0.7,0.565,0.18,0.3355,0.446,0.895,1.751,9.0
0.7,0.575,0.19,0.418,0.638,1.095,2.273,12.0
0.715,0.55,0.19,0.407,0.5075,1.0465,2.0045,12.0
0.715,0.535,0.19,0.313,0.42,0.889,1.6755,10.0
0.72,0.565,0.145,0.1945,0.2685,0.691,1.187,8.0
0.725,0.505,0.185,0.4255,0.4505,1.026,1.978,12.0
0.735,0.585,0.185,0.55,0.5,0.952,2.124,11.0
0.745,0.565,0.215,0.4585,0.5,0.896,1.931,11.0
0.755,0.58,0.205,0.4015,0.595,0.8295,2.0065,10.0
0.495,0.395,0.12,0.1375,0.167,0.224,0.553,8.0
0.5,0.42,0.135,0.1415,0.2065,0.302,0.6765,9.0
0.525,0.42,0.155,0.1415,0.2045,0.428,0.842,9.0
0.535,0.435,0.15,0.1445,0.194,0.3475,0.717,9.0
0.55,0.43,0.15,0.1905,0.248,0.413,0.8745,9.0
0.555,0.44,0.14,0.156,0.255,0.407,0.8705,9.0
0.565,0.445,0.15,0.184,0.219,0.3635,0.796,8.0
0.565,0.39,0.125,0.13,0.1685,0.352,0.744,11.0
0.57,0.435,0.17,0.183,0.2705,0.382,0.873,10.0
0.57,0.435,0.125,0.1835,0.275,0.383,0.8965,9.0
0.575,0.46,0.155,0.176,0.22,0.4415,0.892,10.0
0.58,0.46,0.155,0.273,0.2955,0.6715,1.4395,10.0
0.58,0.455,0.135,0.167,0.204,0.405,0.7955,10.0
0.585,0.465,0.155,0.1965,0.235,0.4555,0.9145,9.0
0.585,0.49,0.185,0.2535,0.335,0.522,1.171,10.0
0.585,0.46,0.165,0.2345,0.274,0.5825,1.1135,10.0
0.585,0.47,0.165,0.229,0.295,0.8,1.409,10.0
0.585,0.475,0.15,0.199,0.2885,0.5315,1.065,10.0
0.585,0.45,0.18,0.1855,0.237,0.336,0.7995,8.0
0.59,0.47,0.18,0.227,0.31,0.5985,1.187,9.0
0.59,0.455,0.155,0.188,0.275,0.388,0.8855,10.0
0.6,0.475,0.17,0.272,0.309,0.508,1.1315,10.0
0.6,0.48,0.155,0.1885,0.325,0.451,1.014,11.0
0.6,0.46,0.155,0.189,0.295,0.4455,0.9595,11.0
0.605,0.49,0.14,0.206,0.315,0.419,0.9755,10.0
0.61,0.45,0.15,0.1835,0.25,0.407,0.871,10.0
0.61,0.48,0.165,0.257,0.305,0.6345,1.244,12.0
0.61,0.475,0.17,0.2335,0.3035,0.435,1.0265,10.0
0.61,0.48,0.17,0.29,0.347,0.4565,1.137,10.0
0.61,0.46,0.16,0.197,0.275,0.494,1.0,10.0
0.615,0.47,0.165,0.2195,0.34,0.4465,1.128,10.0
0.615,0.5,0.17,0.228,0.295,0.4845,1.054,10.0
0.615,0.475,0.17,0.302,0.3,0.4795,1.129,10.0
0.615,0.48,0.175,0.3195,0.3,0.446,1.118,9.0
0.62,0.51,0.175,0.2385,0.39,0.5715,1.2815,10.0
0.62,0.495,0.18,0.254,0.355,0.5765,1.2555,12.0
0.625,0.455,0.17,0.2345,0.315,0.4955,1.082,9.0
0.63,0.485,0.145,0.1785,0.3365,0.5065,1.062,12.0
0.63,0.495,0.16,0.221,0.315,0.497,1.093,12.0
0.635,0.49,0.16,0.1865,0.3455,0.534,1.101,10.0
0.635,0.475,0.17,0.2695,0.3665,0.5205,1.1935,10.0
0.635,0.51,0.155,0.2255,0.31,0.405,0.986,10.0
0.64,0.565,0.23,0.372,0.406,0.644,1.521,15.0
0.64,0.525,0.18,0.2995,0.4075,0.4865,1.3135,10.0
0.645,0.51,0.16,0.2385,0.345,0.556,1.1835,11.0
0.645,0.5,0.195,0.3515,0.3725,0.6165,1.401,10.0
0.645,0.525,0.16,0.245,0.4325,0.7455,1.5075,11.0
0.65,0.525,0.175,0.3585,0.405,0.6865,1.5365,11.0
0.65,0.51,0.19,0.3735,0.375,0.7155,1.542,9.0
0.655,0.535,0.205,0.3595,0.46,0.7305,1.6445,13.0
0.655,0.49,0.175,0.294,0.365,0.6395,1.3585,10.0
0.675,0.545,0.185,0.3135,0.469,0.876,1.7375,13.0
0.685,0.545,0.205,0.416,0.461,0.8145,1.7925,9.0
0.705,0.565,0.515,0.4865,0.512,1.1075,2.21,10.0
0.705,0.555,0.215,0.383,0.528,1.0465,2.141,11.0
0.72,0.575,0.215,0.564,0.5365,0.9515,2.173,12.0
0.415,0.315,0.115,0.065,0.103,0.2015,0.3895,9.0
0.44,0.32,0.12,0.092,0.1025,0.2435,0.4565,8.0
0.45,0.335,0.125,0.126,0.11,0.2165,0.4475,6.0
0.475,0.37,0.125,0.136,0.142,0.347,0.649,8.0
0.485,0.39,0.085,0.103,0.198,0.2945,0.6435,8.0
0.485,0.37,0.13,0.105,0.1555,0.2485,0.526,6.0
0.505,0.385,0.105,0.1245,0.1555,0.239,0.5525,9.0
0.515,0.425,0.145,0.181,0.2185,0.497,0.9365,8.0
0.52,0.4,0.125,0.139,0.149,0.254,0.559,8.0
0.525,0.4,0.14,0.145,0.1735,0.3685,0.7205,8.0
0.53,0.4,0.125,0.151,0.175,0.398,0.7575,8.0
0.55,0.425,0.16,0.2035,0.215,0.343,0.793,9.0
0.57,0.445,0.15,0.207,0.249,0.504,0.9875,8.0
0.575,0.465,0.15,0.2065,0.238,0.595,1.08,9.0
0.575,0.46,0.165,0.2465,0.2385,0.4005,0.9155,8.0
0.585,0.455,0.15,0.23,0.2335,0.4095,0.906,8.0
0.59,0.44,0.15,0.215,0.245,0.387,0.8725,8.0
0.6,0.455,0.155,0.2085,0.25,0.4365,0.945,8.0
0.6,0.465,0.2,0.1985,0.357,0.6405,1.259,9.0
0.62,0.485,0.155,0.231,0.25,0.462,1.049,10.0
0.62,0.48,0.165,0.235,0.312,0.4815,1.0725,9.0
0.625,0.52,0.175,0.322,0.3465,0.691,1.4105,10.0
0.625,0.47,0.18,0.3245,0.305,0.451,1.136,11.0
0.63,0.47,0.145,0.26,0.276,0.52,1.1005,9.0
0.63,0.455,0.15,0.2745,0.305,0.481,1.1315,9.0
0.63,0.48,0.15,0.2425,0.31,0.6605,1.271,11.0
0.635,0.51,0.185,0.318,0.377,0.544,1.308,8.0
0.645,0.51,0.155,0.3585,0.43,0.6405,1.539,11.0
0.65,0.515,0.175,0.3045,0.4,0.677,1.466,10.0
0.65,0.485,0.14,0.2435,0.215,0.475,1.175,8.0
0.655,0.51,0.215,0.4095,0.4195,0.8885,1.7835,11.0
0.66,0.505,0.165,0.351,0.345,0.589,1.374,10.0
0.67,0.545,0.2,0.374,0.41,0.833,1.7025,11.0
0.67,0.51,0.175,0.4475,0.345,0.651,1.5265,10.0
0.67,0.5,0.19,0.388,0.415,0.616,1.519,10.0
0.68,0.515,0.17,0.306,0.395,0.8415,1.6115,11.0
0.69,0.525,0.2,0.3325,0.461,0.9165,1.7825,12.0
0.7,0.555,0.2,0.3665,0.595,0.73,1.858,11.0
0.705,0.56,0.165,0.4095,0.388,0.797,1.675,10.0
0.72,0.565,0.2,0.363,0.494,1.017,2.1055,12.0
0.725,0.575,0.24,0.413,0.5015,1.351,2.21,13.0
0.74,0.57,0.18,0.427,0.446,0.9115,1.8725,10.0
0.75,0.55,0.18,0.397,0.445,0.942,1.893,11.0
0.475,0.36,0.1,0.099,0.112,0.1965,0.4285,7.0
0.48,0.355,0.16,0.106,0.239,0.221,0.464,8.0
0.525,0.415,0.145,0.1635,0.2875,0.3525,0.845,8.0
0.525,0.4,0.155,0.1605,0.225,0.282,0.707,9.0
0.54,0.455,0.14,0.255,0.269,0.419,0.972,10.0
0.55,0.435,0.14,0.1685,0.259,0.327,0.7625,10.0
0.56,0.425,0.135,0.221,0.2645,0.3265,0.849,10.0
0.565,0.44,0.125,0.1825,0.215,0.3595,0.802,9.0
0.565,0.43,0.15,0.1735,0.219,0.4245,0.831,10.0
0.57,0.45,0.14,0.148,0.245,0.3385,0.795,9.0
0.575,0.455,0.165,0.1805,0.268,0.3765,0.867,8.0
0.575,0.47,0.185,0.2175,0.355,0.3745,0.985,10.0
0.575,0.445,0.16,0.198,0.239,0.4005,0.839,9.0
0.575,0.44,0.16,0.166,0.275,0.483,0.9615,13.0
0.58,0.46,0.155,0.2225,0.295,0.469,1.0335,10.0
0.58,0.43,0.13,0.173,0.2285,0.365,0.798,10.0
0.59,0.49,0.165,0.235,0.309,0.559,1.207,10.0
0.595,0.45,0.14,0.194,0.217,0.3965,0.838,10.0
0.595,0.45,0.145,0.2065,0.2535,0.463,0.959,10.0
0.6,0.48,0.165,0.1965,0.2725,0.4135,0.9165,9.0
0.6,0.47,0.165,0.241,0.275,0.504,1.059,9.0
0.6,0.47,0.16,0.3045,0.2635,0.5625,1.194,10.0
0.605,0.475,0.145,0.1905,0.27,0.3835,0.884,8.0
0.61,0.475,0.155,0.228,0.266,0.4565,0.983,10.0
0.61,0.47,0.16,0.2345,0.2945,0.449,1.022,9.0
0.61,0.47,0.17,0.2405,0.31,0.5225,1.1185,9.0
0.615,0.47,0.16,0.2395,0.28,0.473,1.0175,10.0
0.615,0.475,0.175,0.261,0.311,0.6035,1.224,9.0
0.62,0.515,0.175,0.241,0.395,0.535,1.221,13.0
0.62,0.48,0.15,0.2575,0.309,0.6285,1.266,12.0
0.625,0.49,0.165,0.2615,0.3325,0.4895,1.1165,11.0
0.625,0.475,0.16,0.2355,0.3105,0.5005,1.0845,10.0
0.625,0.5,0.17,0.22,0.354,0.4645,1.0985,9.0
0.63,0.505,0.17,0.266,0.3,0.4615,1.0915,9.0
0.63,0.49,0.17,0.273,0.339,0.5255,1.1745,11.0
0.63,0.485,0.165,0.2315,0.3035,0.6565,1.233,10.0
0.63,0.495,0.175,0.271,0.328,0.605,1.2695,11.0
0.635,0.5,0.17,0.309,0.418,0.611,1.4345,12.0
0.64,0.515,0.18,0.2925,0.3685,0.5475,1.247,10.0
0.64,0.525,0.185,0.4205,0.4435,0.763,1.707,11.0
0.645,0.505,0.15,0.2615,0.335,0.519,1.1605,10.0
0.645,0.5,0.175,0.288,0.386,0.5645,1.286,12.0
0.645,0.5,0.19,0.3715,0.3845,0.741,1.5595,14.0
0.645,0.51,0.19,0.345,0.48,0.605,1.4745,9.0
0.645,0.51,0.195,0.2215,0.3745,0.5885,1.226,10.0
0.645,0.51,0.16,0.309,0.317,0.6665,1.33,9.0
0.645,0.5,0.175,0.308,0.415,0.554,1.3375,10.0
0.645,0.485,0.15,0.2735,0.33,0.5695,1.2215,9.0
0.65,0.505,0.19,0.23,0.391,0.59,1.274,11.0
0.65,0.525,0.185,0.337,0.378,0.665,1.488,11.0
0.65,0.51,0.16,0.2905,0.3665,0.6385,1.3835,9.0
0.655,0.55,0.18,0.281,0.365,0.586,1.274,10.0
0.66,0.5,0.165,0.269,0.341,0.667,1.3195,9.0
0.66,0.53,0.195,0.3295,0.495,0.6505,1.5505,10.0
0.66,0.51,0.165,0.3545,0.3925,0.7685,1.6375,14.0
0.665,0.525,0.175,0.3845,0.353,0.6635,1.443,11.0
0.665,0.505,0.16,0.253,0.3665,0.6145,1.289,11.0
0.665,0.52,0.175,0.32,0.395,0.606,1.3725,12.0
0.665,0.5,0.175,0.314,0.315,0.6075,1.2975,9.0
0.67,0.505,0.16,0.311,0.308,0.6255,1.2585,12.0
0.67,0.52,0.165,0.2865,0.3,0.711,1.39,11.0
0.675,0.525,0.16,0.2755,0.3545,0.572,1.2835,13.0
0.68,0.52,0.195,0.391,0.4125,0.592,1.4535,10.0
0.685,0.52,0.15,0.293,0.32,0.7185,1.3735,11.0
0.7,0.565,0.175,0.3935,0.54,0.8445,1.8565,10.0
0.71,0.575,0.215,0.4475,0.502,0.9895,2.009,11.0
0.71,0.56,0.22,0.454,0.566,0.9215,2.015,11.0
0.72,0.57,0.2,0.366,0.485,0.919,1.8275,10.0
0.72,0.55,0.205,0.4425,0.511,1.1455,2.125,13.0
0.735,0.59,0.215,0.403,0.557,0.7275,1.747,11.0
0.75,0.595,0.205,0.421,0.63,1.083,2.2205,12.0
0.77,0.62,0.195,0.6415,0.642,1.1155,2.5155,12.0
0.775,0.63,0.25,0.76,0.578,1.3485,2.7795,12.0
0.39,0.28,0.125,0.0955,0.143,0.3035,0.564,7.0
0.445,0.32,0.12,0.09,0.117,0.199,0.414,7.0
0.465,0.36,0.115,0.1395,0.12,0.295,0.5795,7.0
0.485,0.37,0.155,0.2455,0.2365,0.419,0.968,9.0
0.5,0.37,0.15,0.223,0.296,0.494,1.0615,9.0
0.515,0.35,0.155,0.198,0.273,0.4185,0.9225,9.0
0.515,0.395,0.135,0.2495,0.252,0.472,1.007,8.0
0.525,0.365,0.17,0.2225,0.276,0.438,0.9605,10.0
0.525,0.38,0.125,0.155,0.159,0.303,0.65,7.0
0.53,0.41,0.14,0.1715,0.2105,0.3495,0.7545,8.0
0.55,0.42,0.16,0.311,0.344,0.6325,1.3405,10.0
0.57,0.455,0.175,0.2145,0.29,0.4805,1.02,9.0
0.575,0.44,0.185,0.2245,0.2485,0.5075,1.025,10.0
0.585,0.455,0.145,0.2685,0.258,0.3945,0.953,10.0
0.6,0.495,0.175,0.284,0.3285,0.6195,1.3005,11.0
0.6,0.465,0.165,0.2205,0.251,0.4975,1.038,9.0
0.605,0.475,0.175,0.3055,0.343,0.5575,1.2525,9.0
0.605,0.475,0.15,0.232,0.297,0.575,1.15,10.0
0.62,0.47,0.145,0.2715,0.2565,0.511,1.0865,10.0
0.625,0.495,0.175,0.286,0.3185,0.5815,1.254,9.0
0.625,0.49,0.185,0.2535,0.344,0.5275,1.169,11.0
0.635,0.495,0.195,0.3115,0.3475,0.445,1.172,11.0
0.645,0.5,0.16,0.326,0.315,0.672,1.3815,9.0
0.65,0.525,0.19,0.3685,0.3965,0.777,1.6125,11.0
0.65,0.485,0.16,0.2785,0.3075,0.5715,1.7395,10.0
0.655,0.545,0.19,0.333,0.378,0.6325,1.4245,10.0
0.695,0.53,0.19,0.436,0.455,0.7625,1.726,11.0
0.72,0.56,0.18,0.375,0.4425,0.691,1.5865,11.0
0.73,0.575,0.21,0.409,0.643,0.9285,2.069,11.0
0.515,0.385,0.11,0.16,0.14,0.253,0.5785,8.0
0.555,0.435,0.14,0.1645,0.214,0.341,0.7495,8.0
0.555,0.41,0.125,0.1465,0.194,0.2345,0.599,8.0
0.555,0.4,0.13,0.1585,0.18,0.332,0.7075,7.0
0.555,0.455,0.135,0.171,0.235,0.382,0.837,9.0
0.565,0.415,0.125,0.1545,0.185,0.302,0.667,7.0
0.565,0.455,0.155,0.183,0.26,0.421,0.9355,11.0
0.565,0.45,0.16,0.195,0.246,0.415,0.895,9.0
0.57,0.46,0.155,0.205,0.265,0.454,1.0005,11.0
0.57,0.455,0.155,0.174,0.277,0.3585,0.832,11.0
0.57,0.44,0.175,0.2285,0.283,0.3805,0.9415,9.0
0.57,0.415,0.13,0.1955,0.238,0.4275,0.88,13.0
0.575,0.45,0.13,0.193,0.2265,0.318,0.785,9.0
0.575,0.45,0.155,0.2145,0.235,0.495,0.9765,9.0
0.575,0.435,0.135,0.2225,0.239,0.432,0.992,10.0
0.575,0.455,0.155,0.2085,0.295,0.4685,1.013,11.0
0.575,0.445,0.145,0.1615,0.27,0.3795,0.876,10.0
0.575,0.475,0.145,0.173,0.269,0.3665,0.857,9.0
0.58,0.44,0.15,0.2185,0.2795,0.518,1.0465,10.0
0.58,0.44,0.16,0.2005,0.2485,0.3365,0.8295,9.0
0.595,0.455,0.15,0.201,0.223,0.4315,0.886,10.0
0.6,0.46,0.17,0.337,0.329,0.456,1.1805,11.0
0.6,0.475,0.15,0.2195,0.3105,0.386,0.99,10.0
0.605,0.47,0.18,0.2565,0.321,0.479,1.1155,10.0
0.61,0.48,0.14,0.2615,0.27,0.4375,1.031,8.0
0.615,0.47,0.145,0.2825,0.285,0.4435,1.0285,11.0
0.615,0.47,0.15,0.283,0.2685,0.4975,1.0875,9.0
0.615,0.495,0.2,0.227,0.3885,0.564,1.219,10.0
0.62,0.49,0.16,0.2525,0.285,0.44,1.035,11.0
0.62,0.49,0.15,0.302,0.355,0.4605,1.195,9.0
0.62,0.495,0.195,0.346,0.5195,0.579,1.5145,15.0
0.62,0.47,0.15,0.4405,0.325,0.587,1.309,9.0
0.62,0.485,0.155,0.2315,0.335,0.425,1.0295,12.0
0.625,0.495,0.155,0.212,0.3215,0.487,1.0485,11.0
0.625,0.515,0.17,0.3005,0.361,0.5725,1.331,9.0
0.625,0.505,0.185,0.2405,0.3535,0.52,1.1565,10.0
0.63,0.49,0.155,0.246,0.289,0.63,1.2525,9.0
0.635,0.525,0.16,0.246,0.335,0.5435,1.195,12.0
0.635,0.5,0.165,0.213,0.365,0.6535,1.273,12.0
0.635,0.515,0.165,0.2975,0.3535,0.5055,1.229,10.0
0.64,0.53,0.165,0.3,0.35,0.4765,1.1895,11.0
0.64,0.49,0.155,0.269,0.34,0.477,1.1285,9.0
0.645,0.49,0.175,0.2375,0.3385,0.6525,1.32,11.0
0.655,0.52,0.17,0.223,0.348,0.53,1.1445,9.0
0.66,0.51,0.175,0.303,0.37,0.5055,1.218,11.0
0.665,0.515,0.2,0.2675,0.436,0.5115,1.2695,12.0
0.665,0.525,0.18,0.29,0.4,0.6715,1.429,12.0
0.675,0.515,0.15,0.2845,0.4115,0.556,1.312,11.0
0.68,0.54,0.19,0.354,0.4715,0.7165,1.623,12.0
0.68,0.54,0.155,0.379,0.384,0.671,1.534,10.0
0.685,0.535,0.155,0.2145,0.4075,0.6615,1.3845,10.0
0.69,0.55,0.18,0.402,0.5,0.6655,1.6915,11.0
0.695,0.545,0.185,0.3835,0.4505,0.6645,1.5715,13.0
0.7,0.55,0.175,0.2985,0.375,0.6565,1.4405,12.0
0.7,0.55,0.195,0.347,0.535,0.675,1.6245,13.0
0.72,0.565,0.19,0.4305,0.503,1.0815,2.081,11.0
0.76,0.605,0.215,0.4915,0.646,0.801,2.173,13.0
0.45,0.33,0.105,0.082,0.129,0.2575,0.4955,8.0
0.47,0.365,0.135,0.1525,0.145,0.2395,0.522,10.0
0.505,0.39,0.12,0.1385,0.167,0.3315,0.653,9.0
0.505,0.395,0.135,0.1315,0.185,0.288,0.5915,12.0
0.505,0.385,0.115,0.1035,0.1535,0.21,0.4825,10.0
0.515,0.4,0.14,0.145,0.168,0.288,0.6335,9.0
0.525,0.41,0.13,0.1495,0.1765,0.3435,0.6875,9.0
0.545,0.44,0.14,0.1905,0.2385,0.356,0.8395,11.0
0.565,0.445,0.145,0.212,0.2475,0.4345,0.9255,9.0
0.58,0.46,0.16,0.2705,0.2625,0.513,1.063,9.0
0.59,0.465,0.165,0.273,0.275,0.5165,1.115,10.0
0.605,0.445,0.14,0.2085,0.295,0.4295,0.982,12.0
0.61,0.49,0.16,0.228,0.341,0.465,1.112,10.0
0.66,0.515,0.195,0.353,0.386,0.7345,1.5655,9.0
0.45,0.35,0.13,0.1045,0.135,0.2075,0.4655,8.0
0.46,0.345,0.12,0.1175,0.132,0.2435,0.4935,8.0
0.46,0.345,0.11,0.0885,0.116,0.235,0.4595,7.0
0.465,0.36,0.11,0.085,0.121,0.2665,0.4955,7.0
0.485,0.39,0.135,0.1345,0.1635,0.25,0.617,8.0
0.5,0.39,0.135,0.1575,0.2385,0.361,0.7815,9.0
0.505,0.385,0.13,0.149,0.1515,0.3135,0.6435,7.0
0.525,0.385,0.1,0.1005,0.1455,0.246,0.5115,8.0
0.535,0.42,0.125,0.1895,0.1795,0.355,0.738,8.0
0.55,0.41,0.13,0.2115,0.213,0.4455,0.8705,9.0
0.58,0.45,0.12,0.1475,0.2605,0.418,0.8685,8.0
0.595,0.465,0.15,0.1765,0.262,0.4335,0.919,9.0
0.61,0.48,0.165,0.2675,0.372,0.5575,1.2435,8.0
0.645,0.495,0.15,0.2225,0.339,0.603,1.2095,9.0
0.65,0.5,0.14,0.2355,0.32,0.6165,1.238,8.0
0.685,0.55,0.2,0.387,0.49,0.813,1.7725,11.0
0.72,0.585,0.22,0.448,0.479,0.9155,1.914,11.0
0.775,0.57,0.22,0.4755,0.6585,0.735,2.032,17.0
0.53,0.425,0.13,0.1355,0.245,0.2995,0.7455,10.0
0.415,0.3,0.1,0.0685,0.095,0.1545,0.3355,7.0
0.5,0.39,0.145,0.132,0.22,0.273,0.651,11.0
0.425,0.33,0.08,0.0825,0.125,0.134,0.361,7.0
0.47,0.35,0.1,0.0885,0.175,0.1885,0.4775,8.0
0.5,0.38,0.155,0.1365,0.215,0.2655,0.66,19.0
0.375,0.29,0.1,0.0565,0.085,0.1175,0.276,9.0
0.585,0.48,0.185,0.265,0.285,0.434,1.04,10.0
0.595,0.455,0.155,0.2105,0.365,0.416,1.041,14.0
0.665,0.535,0.225,0.391,0.885,0.7535,2.1835,27.0
0.62,0.49,0.17,0.2555,0.335,0.5185,1.2105,13.0
0.525,0.405,0.13,0.1975,0.175,0.3265,0.7185,8.0
0.425,0.325,0.1,0.0725,0.11,0.1365,0.3295,7.0
0.385,0.295,0.095,0.094,0.09,0.147,0.335,7.0
0.47,0.375,0.115,0.0755,0.15,0.1685,0.4265,8.0
0.62,0.51,0.175,0.2265,0.4,0.4375,1.1505,12.0
0.595,0.47,0.15,0.2105,0.245,0.359,0.8915,12.0
0.585,0.455,0.14,0.185,0.295,0.462,0.97,9.0
0.32,0.24,0.08,0.0385,0.055,0.08,0.18,6.0
0.44,0.35,0.11,0.0885,0.13,0.2,0.4585,9.0
0.565,0.425,0.1,0.166,0.18,0.3055,0.7145,12.0
0.68,0.53,0.205,0.337,0.465,0.5825,1.496,14.0
0.47,0.37,0.105,0.1015,0.155,0.2025,0.4665,10.0
0.455,0.35,0.105,0.083,0.135,0.1575,0.401,9.0
0.465,0.35,0.12,0.1625,0.185,0.2015,0.5205,11.0
0.46,0.375,0.135,0.0845,0.17,0.186,0.4935,12.0
0.415,0.31,0.09,0.0735,0.115,0.1305,0.3245,8.0
0.27,0.195,0.07,0.018,0.036,0.0465,0.106,7.0
0.445,0.355,0.11,0.1035,0.1505,0.1805,0.4415,10.0
0.55,0.44,0.135,0.2095,0.265,0.368,0.879,10.0
0.58,0.46,0.165,0.1965,0.435,0.473,1.2275,16.0
0.61,0.5,0.165,0.185,0.49,0.4915,1.2715,12.0
0.62,0.495,0.175,0.3285,0.725,0.643,1.806,17.0
0.56,0.42,0.195,0.1795,0.285,0.3025,0.8085,14.0
0.69,0.55,0.2,0.472,0.57,0.732,1.8465,19.0
0.375,0.305,0.09,0.0565,0.095,0.1395,0.3245,5.0
0.335,0.235,0.085,0.0345,0.045,0.066,0.1545,6.0
0.285,0.21,0.075,0.0285,0.04,0.055,0.1185,7.0
0.595,0.465,0.125,0.2,0.23,0.3245,0.799,10.0
0.575,0.45,0.185,0.197,0.35,0.342,0.925,12.0
0.535,0.42,0.165,0.1985,0.26,0.3355,0.9195,16.0
0.55,0.43,0.16,0.1735,0.355,0.317,0.9295,13.0
0.495,0.4,0.155,0.1155,0.35,0.2345,0.8085,6.0
0.445,0.34,0.12,0.1035,0.13,0.193,0.4475,9.0
0.495,0.385,0.135,0.1225,0.26,0.2,0.6335,14.0
0.47,0.37,0.135,0.1325,0.17,0.222,0.547,12.0
0.58,0.47,0.165,0.1985,0.315,0.3215,0.927,11.0
0.645,0.495,0.185,0.2785,0.455,0.5265,1.4935,15.0
0.57,0.405,0.16,0.2185,0.295,0.3445,0.9245,19.0
0.615,0.48,0.19,0.2375,0.47,0.5305,1.36,18.0
0.42,0.345,0.105,0.096,0.13,0.175,0.43,7.0
0.42,0.34,0.115,0.093,0.135,0.175,0.4215,8.0
0.66,0.505,0.2,0.297,0.61,0.4865,1.6305,18.0
0.565,0.47,0.195,0.258,0.35,0.387,1.142,17.0
0.63,0.51,0.23,0.2815,0.57,0.5635,1.539,17.0
0.495,0.39,0.15,0.189,0.27,0.3285,0.853,14.0
0.58,0.465,0.175,0.1865,0.385,0.401,1.035,17.0
0.59,0.475,0.155,0.174,0.28,0.356,0.857,13.0
0.37,0.28,0.095,0.051,0.075,0.0805,0.2225,7.0
