whole_weight,shucked_weight,viscera_weight,diameter,length,shell_weight,height,rings
1.607,0.7245,0.3215,0.535,0.68,0.498,0.185,12.0
1.7005,0.8255,0.362,0.525,0.69,0.405,0.175,8.0
1.872,0.893,0.4015,0.505,0.69,0.48,0.2,10.0
2.198,1.012,0.5225,0.565,0.71,0.5475,0.205,11.0
1.9525,0.7645,0.4185,0.565,0.715,0.4135,0.175,10.0
2.302,1.007,0.509,0.6,0.765,0.6205,0.22,12.0
0.397,0.1985,0.0865,0.335,0.43,0.1035,0.12,7.0
0.544,0.27,0.1395,0.36,0.47,0.129,0.105,7.0
0.5225,0.235,0.13,0.465,0.49,0.141,0.125,7.0
0.5215,0.2485,0.117,0.39,0.5,0.131,0.125,6.0
0.7765,0.3525,0.1845,0.4,0.52,0.185,0.145,9.0
0.7555,0.3755,0.1555,0.405,0.525,0.201,0.12,9.0
0.7835,0.4225,0.1815,0.39,0.545,0.156,0.135,7.0
0.793,0.434,0.1405,0.41,0.545,0.19,0.12,9.0
0.82,0.4615,0.127,0.415,0.545,0.218,0.14,9.0
0.8315,0.411,0.1765,0.425,0.55,0.2165,0.15,10.0
0.8995,0.464,0.1775,0.43,0.56,0.234,0.145,9.0
0.8965,0.42,0.2175,0.445,0.56,0.2215,0.16,8.0
0.852,0.43,0.1885,0.415,0.56,0.205,0.145,8.0
0.9595,0.4565,0.2395,0.455,0.565,0.23,0.15,9.0
0.99,0.5795,0.1825,0.435,0.565,0.206,0.15,8.0
1.0375,0.5415,0.2035,0.46,0.57,0.25,0.15,9.0
0.8455,0.401,0.191,0.435,0.575,0.222,0.14,9.0
0.907,0.4245,0.197,0.455,0.575,0.26,0.135,9.0
1.0225,0.549,0.2175,0.445,0.575,0.228,0.17,9.0
0.847,0.415,0.1945,0.445,0.575,0.22,0.145,9.0
1.114,0.4765,0.2155,0.455,0.58,0.265,0.15,8.0
1.859,0.945,0.426,0.455,0.58,0.441,0.195,9.0
0.814,0.3775,0.1915,0.445,0.58,0.22,0.135,9.0
0.9615,0.486,0.1815,0.45,0.58,0.253,0.14,9.0
1.0025,0.547,0.1975,0.45,0.58,0.2295,0.145,8.0
0.9335,0.478,0.1825,0.46,0.585,0.235,0.145,9.0
0.9555,0.4595,0.236,0.465,0.585,0.265,0.16,7.0
0.9955,0.481,0.232,0.47,0.59,0.24,0.15,8.0
1.1915,0.696,0.2395,0.455,0.6,0.24,0.17,8.0
1.0165,0.512,0.2465,0.465,0.6,0.225,0.155,10.0
1.1175,0.555,0.257,0.475,0.605,0.274,0.14,9.0
1.1835,0.582,0.2365,0.48,0.605,0.317,0.17,10.0
1.0145,0.5315,0.212,0.485,0.61,0.2415,0.16,8.0
1.3305,0.783,0.2255,0.485,0.61,0.2865,0.145,9.0
1.052,0.498,0.242,0.47,0.61,0.267,0.165,9.0
1.0565,0.4815,0.272,0.46,0.615,0.27,0.17,10.0
1.0195,0.5315,0.2005,0.47,0.62,0.2475,0.135,8.0
0.858,0.4285,0.1525,0.45,0.62,0.2405,0.2,8.0
1.2065,0.587,0.29,0.48,0.625,0.286,0.185,8.0
1.1325,0.589,0.211,0.47,0.63,0.287,0.155,8.0
1.2645,0.5635,0.3065,0.5,0.63,0.3425,0.175,10.0
1.369,0.632,0.3415,0.515,0.64,0.358,0.165,10.0
1.39,0.6465,0.2945,0.53,0.645,0.3735,0.195,10.0
1.202,0.565,0.3135,0.5,0.65,0.294,0.155,11.0
1.31,0.553,0.369,0.515,0.655,0.345,0.16,11.0
1.363,0.629,0.279,0.525,0.665,0.34,0.16,8.0
1.519,0.699,0.3685,0.52,0.685,0.4,0.165,10.0
1.583,0.7355,0.405,0.53,0.69,0.3865,0.21,12.0
1.74,0.885,0.3715,0.56,0.695,0.4375,0.185,10.0
1.751,0.895,0.3355,0.565,0.7,0.446,0.18,9.0
2.273,1.095,0.418,0.575,0.7,0.638,0.19,12.0
2.0045,1.0465,0.407,0.55,0.715,0.5075,0.19,12.0
1.6755,0.889,0.313,0.535,0.715,0.42,0.19,10.0
1.187,0.691,0.1945,0.565,0.72,0.2685,0.145,8.0
1.978,1.026,0.4255,0.505,0.725,0.4505,0.185,12.0
2.124,0.952,0.55,0.585,0.735,0.5,0.185,11.0
1.931,0.896,0.4585,0.565,0.745,0.5,0.215,11.0
2.0065,0.8295,0.4015,0.58,0.755,0.595,0.205,10.0
0.553,0.224,0.1375,0.395,0.495,0.167,0.12,8.0
0.6765,0.302,0.1415,0.42,0.5,0.2065,0.135,9.0
0.842,0.428,0.1415,0.42,0.525,0.2045,0.155,9.0
0.717,0.3475,0.1445,0.435,0.535,0.194,0.15,9.0
0.8745,0.413,0.1905,0.43,0.55,0.248,0.15,9.0
0.8705,0.407,0.156,0.44,0.555,0.255,0.14,9.0
0.796,0.3635,0.184,0.445,0.565,0.219,0.15,8.0
0.744,0.352,0.13,0.39,0.565,0.1685,0.125,11.0
0.873,0.382,0.183,0.435,0.57,0.2705,0.17,10.0
0.8965,0.383,0.1835,0.435,0.57,0.275,0.125,9.0
0.892,0.4415,0.176,0.46,0.575,0.22,0.155,10.0
1.4395,0.6715,0.273,0.46,0.58,0.2955,0.155,10.0
0.7955,0.405,0.167,0.455,0.58,0.204,0.135,10.0
0.9145,0.4555,0.1965,0.465,0.585,0.235,0.155,9.0
1.171,0.522,0.2535,0.49,0.585,0.335,0.185,10.0
1.1135,0.5825,0.2345,0.46,0.585,0.274,0.165,10.0
1.409,0.8,0.229,0.47,0.585,0.295,0.165,10.0
1.065,0.5315,0.199,0.475,0.585,0.2885,0.15,10.0
0.7995,0.336,0.1855,0.45,0.585,0.237,0.18,8.0
1.187,0.5985,0.227,0.47,0.59,0.31,0.18,9.0
0.8855,0.388,0.188,0.455,0.59,0.275,0.155,10.0
1.1315,0.508,0.272,0.475,0.6,0.309,0.17,10.0
1.014,0.451,0.1885,0.48,0.6,0.325,0.155,11.0
0.9595,0.4455,0.189,0.46,0.6,0.295,0.155,11.0
0.9755,0.419,0.206,0.49,0.605,0.315,0.14,10.0
0.871,0.407,0.1835,0.45,0.61,0.25,0.15,10.0
1.244,0.6345,0.257,0.48,0.61,0.305,0.165,12.0
1.0265,0.435,0.2335,0.475,0.61,0.3035,0.17,10.0
1.137,0.4565,0.29,0.48,0.61,0.347,0.17,10.0
1.0,0.494,0.197,0.46,0.61,0.275,0.16,10.0
1.128,0.4465,0.2195,0.47,0.615,0.34,0.165,10.0
1.054,0.4845,0.228,0.5,0.615,0.295,0.17,10.0
1.129,0.4795,0.302,0.475,0.615,0.3,0.17,10.0
1.118,0.446,0.3195,0.48,0.615,0.3,0.175,9.0
1.2815,0.5715,0.2385,0.51,0.62,0.39,0.175,10.0
1.2555,0.5765,0.254,0.495,0.62,0.355,0.18,12.0
1.082,0.4955,0.2345,0.455,0.625,0.315,0.17,9.0
1.062,0.5065,0.1785,0.485,0.63,0.3365,0.145,12.0
1.093,0.497,0.221,0.495,0.63,0.315,0.16,12.0
1.101,0.534,0.1865,0.49,0.635,0.3455,0.16,10.0
1.1935,0.5205,0.2695,0.475,0.635,0.3665,0.17,10.0
0.986,0.405,0.2255,0.51,0.635,0.31,0.155,10.0
1.521,0.644,0.372,0.565,0.64,0.406,0.23,15.0
1.3135,0.4865,0.2995,0.525,0.64,0.4075,0.18,10.0
1.1835,0.556,0.2385,0.51,0.645,0.345,0.16,11.0
1.401,0.6165,0.3515,0.5,0.645,0.3725,0.195,10.0
1.5075,0.7455,0.245,0.525,0.645,0.4325,0.16,11.0
1.5365,0.6865,0.3585,0.525,0.65,0.405,0.175,11.0
1.542,0.7155,0.3735,0.51,0.65,0.375,0.19,9.0
1.6445,0.7305,0.3595,0.535,0.655,0.46,0.205,13.0
1.3585,0.6395,0.294,0.49,0.655,0.365,0.175,10.0
1.7375,0.876,0.3135,0.545,0.675,0.469,0.185,13.0
1.7925,0.8145,0.416,0.545,0.685,0.461,0.205,9.0
2.21,1.1075,0.4865,0.565,0.705,0.512,0.515,10.0
2.141,1.0465,0.383,0.555,0.705,0.528,0.215,11.0
2.173,0.9515,0.564,0.575,0.72,0.5365,0.215,12.0
0.3895,0.2015,0.065,0.315,0.415,0.103,0.115,9.0
0.4565,0.2435,0.092,0.32,0.44,0.1025,0.12,8.0
0.4475,0.2165,0.126,0.335,0.45,0.11,0.125,6.0
0.649,0.347,0.136,0.37,0.475,0.142,0.125,8.0
0.6435,0.2945,0.103,0.39,0.485,0.198,0.085,8.0
0.526,0.2485,0.105,0.37,0.485,0.1555,0.13,6.0
0.5525,0.239,0.1245,0.385,0.505,0.1555,0.105,9.0
0.9365,0.497,0.181,0.425,0.515,0.2185,0.145,8.0
0.559,0.254,0.139,0.4,0.52,0.149,0.125,8.0
0.7205,0.3685,0.145,0.4,0.525,0.1735,0.14,8.0
0.7575,0.398,0.151,0.4,0.53,0.175,0.125,8.0
0.793,0.343,0.2035,0.425,0.55,0.215,0.16,9.0
0.9875,0.504,0.207,0.445,0.57,0.249,0.15,8.0
1.08,0.595,0.2065,0.465,0.575,0.238,0.15,9.0
0.9155,0.4005,0.2465,0.46,0.575,0.2385,0.165,8.0
0.906,0.4095,0.23,0.455,0.585,0.2335,0.15,8.0
0.8725,0.387,0.215,0.44,0.59,0.245,0.15,8.0
0.945,0.4365,0.2085,0.455,0.6,0.25,0.155,8.0
1.259,0.6405,0.1985,0.465,0.6,0.357,0.2,9.0
1.049,0.462,0.231,0.485,0.62,0.25,0.155,10.0
1.0725,0.4815,0.235,0.48,0.62,0.312,0.165,9.0
1.4105,0.691,0.322,0.52,0.625,0.3465,0.175,10.0
1.136,0.451,0.3245,0.47,0.625,0.305,0.18,11.0
1.1005,0.52,0.26,0.47,0.63,0.276,0.145,9.0
1.1315,0.481,0.2745,0.455,0.63,0.305,0.15,9.0
1.271,0.6605,0.2425,0.48,0.63,0.31,0.15,11.0
1.308,0.544,0.318,0.51,0.635,0.377,0.185,8.0
1.539,0.6405,0.3585,0.51,0.645,0.43,0.155,11.0
1.466,0.677,0.3045,0.515,0.65,0.4,0.175,10.0
1.175,0.475,0.2435,0.485,0.65,0.215,0.14,8.0
1.7835,0.8885,0.4095,0.51,0.655,0.4195,0.215,11.0
1.374,0.589,0.351,0.505,0.66,0.345,0.165,10.0
1.7025,0.833,0.374,0.545,0.67,0.41,0.2,11.0
1.5265,0.651,0.4475,0.51,0.67,0.345,0.175,10.0
1.519,0.616,0.388,0.5,0.67,0.415,0.19,10.0
1.6115,0.8415,0.306,0.515,0.68,0.395,0.17,11.0
1.7825,0.9165,0.3325,0.525,0.69,0.461,0.2,12.0
1.858,0.73,0.3665,0.555,0.7,0.595,0.2,11.0
1.675,0.797,0.4095,0.56,0.705,0.388,0.165,10.0
2.1055,1.017,0.363,0.565,0.72,0.494,0.2,12.0
2.21,1.351,0.413,0.575,0.725,0.5015,0.24,13.0
1.8725,0.9115,0.427,0.57,0.74,0.446,0.18,10.0
1.893,0.942,0.397,0.55,0.75,0.445,0.18,11.0
0.4285,0.1965,0.099,0.36,0.475,0.112,0.1,7.0
0.464,0.221,0.106,0.355,0.48,0.239,0.16,8.0
0.845,0.3525,0.1635,0.415,0.525,0.2875,0.145,8.0
0.707,0.282,0.1605,0.4,0.525,0.225,0.155,9.0
0.972,0.419,0.255,0.455,0.54,0.269,0.14,10.0
0.7625,0.327,0.1685,0.435,0.55,0.259,0.14,10.0
0.849,0.3265,0.221,0.425,0.56,0.2645,0.135,10.0
0.802,0.3595,0.1825,0.44,0.565,0.215,0.125,9.0
0.831,0.4245,0.1735,0.43,0.565,0.219,0.15,10.0
0.795,0.3385,0.148,0.45,0.57,0.245,0.14,9.0
0.867,0.3765,0.1805,0.455,0.575,0.268,0.165,8.0
0.985,0.3745,0.2175,0.47,0.575,0.355,0.185,10.0
0.839,0.4005,0.198,0.445,0.575,0.239,0.16,9.0
0.9615,0.483,0.166,0.44,0.575,0.275,0.16,13.0
1.0335,0.469,0.2225,0.46,0.58,0.295,0.155,10.0
0.798,0.365,0.173,0.43,0.58,0.2285,0.13,10.0
1.207,0.559,0.235,0.49,0.59,0.309,0.165,10.0
0.838,0.3965,0.194,0.45,0.595,0.217,0.14,10.0
0.959,0.463,0.2065,0.45,0.595,0.2535,0.145,10.0
0.9165,0.4135,0.1965,0.48,0.6,0.2725,0.165,9.0
1.059,0.504,0.241,0.47,0.6,0.275,0.165,9.0
1.194,0.5625,0.3045,0.47,0.6,0.2635,0.16,10.0
0.884,0.3835,0.1905,0.475,0.605,0.27,0.145,8.0
0.983,0.4565,0.228,0.475,0.61,0.266,0.155,10.0
1.022,0.449,0.2345,0.47,0.61,0.2945,0.16,9.0
1.1185,0.5225,0.2405,0.47,0.61,0.31,0.17,9.0
1.0175,0.473,0.2395,0.47,0.615,0.28,0.16,10.0
1.224,0.6035,0.261,0.475,0.615,0.311,0.175,9.0
1.221,0.535,0.241,0.515,0.62,0.395,0.175,13.0
1.266,0.6285,0.2575,0.48,0.62,0.309,0.15,12.0
1.1165,0.4895,0.2615,0.49,0.625,0.3325,0.165,11.0
1.0845,0.5005,0.2355,0.475,0.625,0.3105,0.16,10.0
1.0985,0.4645,0.22,0.5,0.625,0.354,0.17,9.0
1.0915,0.4615,0.266,0.505,0.63,0.3,0.17,9.0
1.1745,0.5255,0.273,0.49,0.63,0.339,0.17,11.0
1.233,0.6565,0.2315,0.485,0.63,0.3035,0.165,10.0
1.2695,0.605,0.271,0.495,0.63,0.328,0.175,11.0
1.4345,0.611,0.309,0.5,0.635,0.418,0.17,12.0
1.247,0.5475,0.2925,0.515,0.64,0.3685,0.18,10.0
1.707,0.763,0.4205,0.525,0.64,0.4435,0.185,11.0
1.1605,0.519,0.2615,0.505,0.645,0.335,0.15,10.0
1.286,0.5645,0.288,0.5,0.645,0.386,0.175,12.0
1.5595,0.741,0.3715,0.5,0.645,0.3845,0.19,14.0
1.4745,0.605,0.345,0.51,0.645,0.48,0.19,9.0
1.226,0.5885,0.2215,0.51,0.645,0.3745,0.195,10.0
1.33,0.6665,0.309,0.51,0.645,0.317,0.16,9.0
1.3375,0.554,0.308,0.5,0.645,0.415,0.175,10.0
1.2215,0.5695,0.2735,0.485,0.645,0.33,0.15,9.0
1.274,0.59,0.23,0.505,0.65,0.391,0.19,11.0
1.488,0.665,0.337,0.525,0.65,0.378,0.185,11.0
1.3835,0.6385,0.2905,0.51,0.65,0.3665,0.16,9.0
1.274,0.586,0.281,0.55,0.655,0.365,0.18,10.0
1.3195,0.667,0.269,0.5,0.66,0.341,0.165,9.0
1.5505,0.6505,0.3295,0.53,0.66,0.495,0.195,10.0
1.6375,0.7685,0.3545,0.51,0.66,0.3925,0.165,14.0
1.443,0.6635,0.3845,0.525,0.665,0.353,0.175,11.0
1.289,0.6145,0.253,0.505,0.665,0.3665,0.16,11.0
1.3725,0.606,0.32,0.52,0.665,0.395,0.175,12.0
1.2975,0.6075,0.314,0.5,0.665,0.315,0.175,9.0
1.2585,0.6255,0.311,0.505,0.67,0.308,0.16,12.0
1.39,0.711,0.2865,0.52,0.67,0.3,0.165,11.0
1.2835,0.572,0.2755,0.525,0.675,0.3545,0.16,13.0
1.4535,0.592,0.391,0.52,0.68,0.4125,0.195,10.0
1.3735,0.7185,0.293,0.52,0.685,0.32,0.15,11.0
1.8565,0.8445,0.3935,0.565,0.7,0.54,0.175,10.0
2.009,0.9895,0.4475,0.575,0.71,0.502,0.215,11.0
2.015,0.9215,0.454,0.56,0.71,0.566,0.22,11.0
1.8275,0.919,0.366,0.57,0.72,0.485,0.2,10.0
2.125,1.1455,0.4425,0.55,0.72,0.511,0.205,13.0
1.747,0.7275,0.403,0.59,0.735,0.557,0.215,11.0
2.2205,1.083,0.421,0.595,0.75,0.63,0.205,12.0
2.5155,1.1155,0.6415,0.62,0.77,0.642,0.195,12.0
2.7795,1.3485,0.76,0.63,0.775,0.578,0.25,12.0
0.564,0.3035,0.0955,0.28,0.39,0.143,0.125,7.0
0.414,0.199,0.09,0.32,0.445,0.117,0.12,7.0
0.5795,0.295,0.1395,0.36,0.465,0.12,0.115,7.0
0.968,0.419,0.2455,0.37,0.485,0.2365,0.155,9.0
1.0615,0.494,0.223,0.37,0.5,0.296,0.15,9.0
0.9225,0.4185,0.198,0.35,0.515,0.273,0.155,9.0
1.007,0.472,0.2495,0.395,0.515,0.252,0.135,8.0
0.9605,0.438,0.2225,0.365,0.525,0.276,0.17,10.0
0.65,0.303,0.155,0.38,0.525,0.159,0.125,7.0
0.7545,0.3495,0.1715,0.41,0.53,0.2105,0.14,8.0
1.3405,0.6325,0.311,0.42,0.55,0.344,0.16,10.0
1.02,0.4805,0.2145,0.455,0.57,0.29,0.175,9.0
1.025,0.5075,0.2245,0.44,0.575,0.2485,0.185,10.0
0.953,0.3945,0.2685,0.455,0.585,0.258,0.145,10.0
1.3005,0.6195,0.284,0.495,0.6,0.3285,0.175,11.0
1.038,0.4975,0.2205,0.465,0.6,0.251,0.165,9.0
1.2525,0.5575,0.3055,0.475,0.605,0.343,0.175,9.0
1.15,0.575,0.232,0.475,0.605,0.297,0.15,10.0
1.0865,0.511,0.2715,0.47,0.62,0.2565,0.145,10.0
1.254,0.5815,0.286,0.495,0.625,0.3185,0.175,9.0
1.169,0.5275,0.2535,0.49,0.625,0.344,0.185,11.0
1.172,0.445,0.3115,0.495,0.635,0.3475,0.195,11.0
1.3815,0.672,0.326,0.5,0.645,0.315,0.16,9.0
1.6125,0.777,0.3685,0.525,0.65,0.3965,0.19,11.0
1.7395,0.5715,0.2785,0.485,0.65,0.3075,0.16,10.0
1.4245,0.6325,0.333,0.545,0.655,0.378,0.19,10.0
1.726,0.7625,0.436,0.53,0.695,0.455,0.19,11.0
1.5865,0.691,0.375,0.56,0.72,0.4425,0.18,11.0
2.069,0.9285,0.409,0.575,0.73,0.643,0.21,11.0
0.5785,0.253,0.16,0.385,0.515,0.14,0.11,8.0
0.7495,0.341,0.1645,0.435,0.555,0.214,0.14,8.0
0.599,0.2345,0.1465,0.41,0.555,0.194,0.125,8.0
0.7075,0.332,0.1585,0.4,0.555,0.18,0.13,7.0
0.837,0.382,0.171,0.455,0.555,0.235,0.135,9.0
0.667,0.302,0.1545,0.415,0.565,0.185,0.125,7.0
0.9355,0.421,0.183,0.455,0.565,0.26,0.155,11.0
0.895,0.415,0.195,0.45,0.565,0.246,0.16,9.0
1.0005,0.454,0.205,0.46,0.57,0.265,0.155,11.0
0.832,0.3585,0.174,0.455,0.57,0.277,0.155,11.0
0.9415,0.3805,0.2285,0.44,0.57,0.283,0.175,9.0
0.88,0.4275,0.1955,0.415,0.57,0.238,0.13,13.0
0.785,0.318,0.193,0.45,0.575,0.2265,0.13,9.0
0.9765,0.495,0.2145,0.45,0.575,0.235,0.155,9.0
0.992,0.432,0.2225,0.435,0.575,0.239,0.135,10.0
1.013,0.4685,0.2085,0.455,0.575,0.295,0.155,11.0
0.876,0.3795,0.1615,0.445,0.575,0.27,0.145,10.0
0.857,0.3665,0.173,0.475,0.575,0.269,0.145,9.0
1.0465,0.518,0.2185,0.44,0.58,0.2795,0.15,10.0
0.8295,0.3365,0.2005,0.44,0.58,0.2485,0.16,9.0
0.886,0.4315,0.201,0.455,0.595,0.223,0.15,10.0
1.1805,0.456,0.337,0.46,0.6,0.329,0.17,11.0
0.99,0.386,0.2195,0.475,0.6,0.3105,0.15,10.0
1.1155,0.479,0.2565,0.47,0.605,0.321,0.18,10.0
1.031,0.4375,0.2615,0.48,0.61,0.27,0.14,8.0
1.0285,0.4435,0.2825,0.47,0.615,0.285,0.145,11.0
1.0875,0.4975,0.283,0.47,0.615,0.2685,0.15,9.0
1.219,0.564,0.227,0.495,0.615,0.3885,0.2,10.0
1.035,0.44,0.2525,0.49,0.62,0.285,0.16,11.0
1.195,0.4605,0.302,0.49,0.62,0.355,0.15,9.0
1.5145,0.579,0.346,0.495,0.62,0.5195,0.195,15.0
1.309,0.587,0.4405,0.47,0.62,0.325,0.15,9.0
1.0295,0.425,0.2315,0.485,0.62,0.335,0.155,12.0
1.0485,0.487,0.212,0.495,0.625,0.3215,0.155,11.0
1.331,0.5725,0.3005,0.515,0.625,0.361,0.17,9.0
1.1565,0.52,0.2405,0.505,0.625,0.3535,0.185,10.0
1.2525,0.63,0.246,0.49,0.63,0.289,0.155,9.0
1.195,0.5435,0.246,0.525,0.635,0.335,0.16,12.0
1.273,0.6535,0.213,0.5,0.635,0.365,0.165,12.0
1.229,0.5055,0.2975,0.515,0.635,0.3535,0.165,10.0
1.1895,0.4765,0.3,0.53,0.64,0.35,0.165,11.0
1.1285,0.477,0.269,0.49,0.64,0.34,0.155,9.0
1.32,0.6525,0.2375,0.49,0.645,0.3385,0.175,11.0
1.1445,0.53,0.223,0.52,0.655,0.348,0.17,9.0
1.218,0.5055,0.303,0.51,0.66,0.37,0.175,11.0
1.2695,0.5115,0.2675,0.515,0.665,0.436,0.2,12.0
1.429,0.6715,0.29,0.525,0.665,0.4,0.18,12.0
1.312,0.556,0.2845,0.515,0.675,0.4115,0.15,11.0
1.623,0.7165,0.354,0.54,0.68,0.4715,0.19,12.0
1.534,0.671,0.379,0.54,0.68,0.384,0.155,10.0
1.3845,0.6615,0.2145,0.535,0.685,0.4075,0.155,10.0
1.6915,0.6655,0.402,0.55,0.69,0.5,0.18,11.0
1.5715,0.6645,0.3835,0.545,0.695,0.4505,0.185,13.0
1.4405,0.6565,0.2985,0.55,0.7,0.375,0.175,12.0
1.6245,0.675,0.347,0.55,0.7,0.535,0.195,13.0
2.081,1.0815,0.4305,0.565,0.72,0.503,0.19,11.0
2.173,0.801,0.4915,0.605,0.76,0.646,0.215,13.0
0.4955,0.2575,0.082,0.33,0.45,0.129,0.105,8.0
0.522,0.2395,0.1525,0.365,0.47,0.145,0.135,10.0
0.653,0.3315,0.1385,0.39,0.505,0.167,0.12,9.0
0.5915,0.288,0.1315,0.395,0.505,0.185,0.135,12.0
0.4825,0.21,0.1035,0.385,0.505,0.1535,0.115,10.0
0.6335,0.288,0.145,0.4,0.515,0.168,0.14,9.0
0.6875,0.3435,0.1495,0.41,0.525,0.1765,0.13,9.0
0.8395,0.356,0.1905,0.44,0.545,0.2385,0.14,11.0
0.9255,0.4345,0.212,0.445,0.565,0.2475,0.145,9.0
1.063,0.513,0.2705,0.46,0.58,0.2625,0.16,9.0
1.115,0.5165,0.273,0.465,0.59,0.275,0.165,10.0
0.982,0.4295,0.2085,0.445,0.605,0.295,0.14,12.0
1.112,0.465,0.228,0.49,0.61,0.341,0.16,10.0
1.5655,0.7345,0.353,0.515,0.66,0.386,0.195,9.0
0.4655,0.2075,0.1045,0.35,0.45,0.135,0.13,8.0
0.4935,0.2435,0.1175,0.345,0.46,0.132,0.12,8.0
0.4595,0.235,0.0885,0.345,0.46,0.116,0.11,7.0
0.4955,0.2665,0.085,0.36,0.465,0.121,0.11,7.0
0.617,0.25,0.1345,0.39,0.485,0.1635,0.135,8.0
0.7815,0.361,0.1575,0.39,0.5,0.2385,0.135,9.0
0.6435,0.3135,0.149,0.385,0.505,0.1515,0.13,7.0
0.5115,0.246,0.1005,0.385,0.525,0.1455,0.1,8.0
0.738,0.355,0.1895,0.42,0.535,0.1795,0.125,8.0
0.8705,0.4455,0.2115,0.41,0.55,0.213,0.13,9.0
0.8685,0.418,0.1475,0.45,0.58,0.2605,0.12,8.0
0.919,0.4335,0.1765,0.465,0.595,0.262,0.15,9.0
1.2435,0.5575,0.2675,0.48,0.61,0.372,0.165,8.0
1.2095,0.603,0.2225,0.495,0.645,0.339,0.15,9.0
1.238,0.6165,0.2355,0.5,0.65,0.32,0.14,8.0
1.7725,0.813,0.387,0.55,0.685,0.49,0.2,11.0
1.914,0.9155,0.448,0.585,0.72,0.479,0.22,11.0
2.032,0.735,0.4755,0.57,0.775,0.6585,0.22,17.0
0.7455,0.2995,0.1355,0.425,0.53,0.245,0.13,10.0
0.3355,0.1545,0.0685,0.3,0.415,0.095,0.1,7.0
0.651,0.273,0.132,0.39,0.5,0.22,0.145,11.0
0.361,0.134,0.0825,0.33,0.425,0.125,0.08,7.0
0.4775,0.1885,0.0885,0.35,0.47,0.175,0.1,8.0
0.66,0.2655,0.1365,0.38,0.5,0.215,0.155,19.0
0.276,0.1175,0.0565,0.29,0.375,0.085,0.1,9.0
1.04,0.434,0.265,0.48,0.585,0.285,0.185,10.0
1.041,0.416,0.2105,0.455,0.595,0.365,0.155,14.0
2.1835,0.7535,0.391,0.535,0.665,0.885,0.225,27.0
1.2105,0.5185,0.2555,0.49,0.62,0.335,0.17,13.0
0.7185,0.3265,0.1975,0.405,0.525,0.175,0.13,8.0
0.3295,0.1365,0.0725,0.325,0.425,0.11,0.1,7.0
0.335,0.147,0.094,0.295,0.385,0.09,0.095,7.0
0.4265,0.1685,0.0755,0.375,0.47,0.15,0.115,8.0
1.1505,0.4375,0.2265,0.51,0.62,0.4,0.175,12.0
0.8915,0.359,0.2105,0.47,0.595,0.245,0.15,12.0
0.97,0.462,0.185,0.455,0.585,0.295,0.14,9.0
0.18,0.08,0.0385,0.24,0.32,0.055,0.08,6.0
0.4585,0.2,0.0885,0.35,0.44,0.13,0.11,9.0
0.7145,0.3055,0.166,0.425,0.565,0.18,0.1,12.0
1.496,0.5825,0.337,0.53,0.68,0.465,0.205,14.0
0.4665,0.2025,0.1015,0.37,0.47,0.155,0.105,10.0
0.401,0.1575,0.083,0.35,0.455,0.135,0.105,9.0
0.5205,0.2015,0.1625,0.35,0.465,0.185,0.12,11.0
0.4935,0.186,0.0845,0.375,0.46,0.17,0.135,12.0
0.3245,0.1305,0.0735,0.31,0.415,0.115,0.09,8.0
0.106,0.0465,0.018,0.195,0.27,0.036,0.07,7.0
0.4415,0.1805,0.1035,0.355,0.445,0.1505,0.11,10.0
0.879,0.368,0.2095,0.44,0.55,0.265,0.135,10.0
1.2275,0.473,0.1965,0.46,0.58,0.435,0.165,16.0
1.2715,0.4915,0.185,0.5,0.61,0.49,0.165,12.0
1.806,0.643,0.3285,0.495,0.62,0.725,0.175,17.0
0.8085,0.3025,0.1795,0.42,0.56,0.285,0.195,14.0
1.8465,0.732,0.472,0.55,0.69,0.57,0.2,19.0
0.3245,0.1395,0.0565,0.305,0.375,0.095,0.09,5.0
0.1545,0.066,0.0345,0.235,0.335,0.045,0.085,6.0
0.1185,0.055,0.0285,0.21,0.285,0.04,0.075,7.0
0.799,0.3245,0.2,0.465,0.595,0.23,0.125,10.0
0.925,0.342,0.197,0.45,0.575,0.35,0.185,12.0
0.9195,0.3355,0.1985,0.42,0.535,0.26,0.165,16.0
0.9295,0.317,0.1735,0.43,0.55,0.355,0.16,13.0
0.8085,0.2345,0.1155,0.4,0.495,0.35,0.155,6.0
0.4475,0.193,0.1035,0.34,0.445,0.13,0.12,9.0
0.6335,0.2,0.1225,0.385,0.495,0.26,0.135,14.0
0.547,0.222,0.1325,0.37,0.47,0.17,0.135,12.0
0.927,0.3215,0.1985,0.47,0.58,0.315,0.165,11.0
1.4935,0.5265,0.2785,0.495,0.645,0.455,0.185,15.0
0.9245,0.3445,0.2185,0.405,0.57,0.295,0.16,19.0
1.36,0.5305,0.2375,0.48,0.615,0.47,0.19,18.0
0.43,0.175,0.096,0.345,0.42,0.13,0.105,7.0
0.4215,0.175,0.093,0.34,0.42,0.135,0.115,8.0
1.6305,0.4865,0.297,0.505,0.66,0.61,0.2,18.0
1.142,0.387,0.258,0.47,0.565,0.35,0.195,17.0
1.539,0.5635,0.2815,0.51,0.63,0.57,0.23,17.0
0.853,0.3285,0.189,0.39,0.495,0.27,0.15,14.0
1.035,0.401,0.1865,0.465,0.58,0.385,0.175,17.0
0.857,0.356,0.174,0.475,0.59,0.28,0.155,13.0
0.2225,0.0805,0.051,0.28,0.37,0.075,0.095,7.0
