length,diameter,whole_weight,shucked_weight,viscera_weight,height,shell_weight,rings
0.68,0.535,1.607,0.7245,0.3215,0.185,0.498,12.0
0.69,0.525,1.7005,0.8255,0.362,0.175,0.405,8.0
0.69,0.505,1.872,0.893,0.4015,0.2,0.48,10.0
0.71,0.565,2.198,1.012,0.5225,0.205,0.5475,11.0
0.715,0.565,1.9525,0.7645,0.4185,0.175,0.4135,10.0
0.765,0.6,2.302,1.007,0.509,0.22,0.6205,12.0
0.43,0.335,0.397,0.1985,0.0865,0.12,0.1035,7.0
0.47,0.36,0.544,0.27,0.1395,0.105,0.129,7.0
0.49,0.465,0.5225,0.235,0.13,0.125,0.141,7.0
0.5,0.39,0.5215,0.2485,0.117,0.125,0.131,6.0
0.52,0.4,0.7765,0.3525,0.1845,0.145,0.185,9.0
0.525,0.405,0.7555,0.3755,0.1555,0.12,0.201,9.0
0.545,0.39,0.7835,0.4225,0.1815,0.135,0.156,7.0
0.545,0.41,0.793,0.434,0.1405,0.12,0.19,9.0
0.545,0.415,0.82,0.4615,0.127,0.14,0.218,9.0
0.55,0.425,0.8315,0.411,0.1765,0.15,0.2165,10.0
0.56,0.43,0.8995,0.464,0.1775,0.145,0.234,9.0
0.56,0.445,0.8965,0.42,0.2175,0.16,0.2215,8.0
0.56,0.415,0.852,0.43,0.1885,0.145,0.205,8.0
0.565,0.455,0.9595,0.4565,0.2395,0.15,0.23,9.0
0.565,0.435,0.99,0.5795,0.1825,0.15,0.206,8.0
0.57,0.46,1.0375,0.5415,0.2035,0.15,0.25,9.0
0.575,0.435,0.8455,0.401,0.191,0.14,0.222,9.0
0.575,0.455,0.907,0.4245,0.197,0.135,0.26,9.0
0.575,0.445,1.0225,0.549,0.2175,0.17,0.228,9.0
0.575,0.445,0.847,0.415,0.1945,0.145,0.22,9.0
0.58,0.455,1.114,0.4765,0.2155,0.15,0.265,8.0
0.58,0.455,1.859,0.945,0.426,0.195,0.441,9.0
0.58,0.445,0.814,0.3775,0.1915,0.135,0.22,9.0
0.58,0.45,0.9615,0.486,0.1815,0.14,0.253,9.0
0.58,0.45,1.0025,0.547,0.1975,0.145,0.2295,8.0
0.585,0.46,0.9335,0.478,0.1825,0.145,0.235,9.0
0.585,0.465,0.9555,0.4595,0.236,0.16,0.265,7.0
0.59,0.47,0.9955,0.481,0.232,0.15,0.24,8.0
0.6,0.455,1.1915,0.696,0.2395,0.17,0.24,8.0
0.6,0.465,1.0165,0.512,0.2465,0.155,0.225,10.0
0.605,0.475,1.1175,0.555,0.257,0.14,0.274,9.0
0.605,0.48,1.1835,0.582,0.2365,0.17,0.317,10.0
0.61,0.485,1.0145,0.5315,0.212,0.16,0.2415,8.0
0.61,0.485,1.3305,0.783,0.2255,0.145,0.2865,9.0
0.61,0.47,1.052,0.498,0.242,0.165,0.267,9.0
0.615,0.46,1.0565,0.4815,0.272,0.17,0.27,10.0
0.62,0.47,1.0195,0.5315,0.2005,0.135,0.2475,8.0
0.62,0.45,0.858,0.4285,0.1525,0.2,0.2405,8.0
0.625,0.48,1.2065,0.587,0.29,0.185,0.286,8.0
0.63,0.47,1.1325,0.589,0.211,0.155,0.287,8.0
0.63,0.5,1.2645,0.5635,0.3065,0.175,0.3425,10.0
0.64,0.515,1.369,0.632,0.3415,0.165,0.358,10.0
0.645,0.53,1.39,0.6465,0.2945,0.195,0.3735,10.0
0.65,0.5,1.202,0.565,0.3135,0.155,0.294,11.0
0.655,0.515,1.31,0.553,0.369,0.16,0.345,11.0
0.665,0.525,1.363,0.629,0.279,0.16,0.34,8.0
0.685,0.52,1.519,0.699,0.3685,0.165,0.4,10.0
0.69,0.53,1.583,0.7355,0.405,0.21,0.3865,12.0
0.695,0.56,1.74,0.885,0.3715,0.185,0.4375,10.0
0.7,0.565,1.751,0.895,0.3355,0.18,0.446,9.0
0.7,0.575,2.273,1.095,0.418,0.19,0.638,12.0
0.715,0.55,2.0045,1.0465,0.407,0.19,0.5075,12.0
0.715,0.535,1.6755,0.889,0.313,0.19,0.42,10.0
0.72,0.565,1.187,0.691,0.1945,0.145,0.2685,8.0
0.725,0.505,1.978,1.026,0.4255,0.185,0.4505,12.0
0.735,0.585,2.124,0.952,0.55,0.185,0.5,11.0
0.745,0.565,1.931,0.896,0.4585,0.215,0.5,11.0
0.755,0.58,2.0065,0.8295,0.4015,0.205,0.595,10.0
0.495,0.395,0.553,0.224,0.1375,0.12,0.167,8.0
0.5,0.42,0.6765,0.302,0.1415,0.135,0.2065,9.0
0.525,0.42,0.842,0.428,0.1415,0.155,0.2045,9.0
0.535,0.435,0.717,0.3475,0.1445,0.15,0.194,9.0
0.55,0.43,0.8745,0.413,0.1905,0.15,0.248,9.0
0.555,0.44,0.8705,0.407,0.156,0.14,0.255,9.0
0.565,0.445,0.796,0.3635,0.184,0.15,0.219,8.0
0.565,0.39,0.744,0.352,0.13,0.125,0.1685,11.0
0.57,0.435,0.873,0.382,0.183,0.17,0.2705,10.0
0.57,0.435,0.8965,0.383,0.1835,0.125,0.275,9.0
0.575,0.46,0.892,0.4415,0.176,0.155,0.22,10.0
0.58,0.46,1.4395,0.6715,0.273,0.155,0.2955,10.0
0.58,0.455,0.7955,0.405,0.167,0.135,0.204,10.0
0.585,0.465,0.9145,0.4555,0.1965,0.155,0.235,9.0
0.585,0.49,1.171,0.522,0.2535,0.185,0.335,10.0
0.585,0.46,1.1135,0.5825,0.2345,0.165,0.274,10.0
0.585,0.47,1.409,0.8,0.229,0.165,0.295,10.0
0.585,0.475,1.065,0.5315,0.199,0.15,0.2885,10.0
0.585,0.45,0.7995,0.336,0.1855,0.18,0.237,8.0
0.59,0.47,1.187,0.5985,0.227,0.18,0.31,9.0
0.59,0.455,0.8855,0.388,0.188,0.155,0.275,10.0
0.6,0.475,1.1315,0.508,0.272,0.17,0.309,10.0
0.6,0.48,1.014,0.451,0.1885,0.155,0.325,11.0
0.6,0.46,0.9595,0.4455,0.189,0.155,0.295,11.0
0.605,0.49,0.9755,0.419,0.206,0.14,0.315,10.0
0.61,0.45,0.871,0.407,0.1835,0.15,0.25,10.0
0.61,0.48,1.244,0.6345,0.257,0.165,0.305,12.0
0.61,0.475,1.0265,0.435,0.2335,0.17,0.3035,10.0
0.61,0.48,1.137,0.4565,0.29,0.17,0.347,10.0
0.61,0.46,1.0,0.494,0.197,0.16,0.275,10.0
0.615,0.47,1.128,0.4465,0.2195,0.165,0.34,10.0
0.615,0.5,1.054,0.4845,0.228,0.17,0.295,10.0
0.615,0.475,1.129,0.4795,0.302,0.17,0.3,10.0
0.615,0.48,1.118,0.446,0.3195,0.175,0.3,9.0
0.62,0.51,1.2815,0.5715,0.2385,0.175,0.39,10.0
0.62,0.495,1.2555,0.5765,0.254,0.18,0.355,12.0
0.625,0.455,1.082,0.4955,0.2345,0.17,0.315,9.0
0.63,0.485,1.062,0.5065,0.1785,0.145,0.3365,12.0
0.63,0.495,1.093,0.497,0.221,0.16,0.315,12.0
0.635,0.49,1.101,0.534,0.1865,0.16,0.3455,10.0
0.635,0.475,1.1935,0.5205,0.2695,0.17,0.3665,10.0
0.635,0.51,0.986,0.405,0.2255,0.155,0.31,10.0
0.64,0.565,1.521,0.644,0.372,0.23,0.406,15.0
0.64,0.525,1.3135,0.4865,0.2995,0.18,0.4075,10.0
0.645,0.51,1.1835,0.556,0.2385,0.16,0.345,11.0
0.645,0.5,1.401,0.6165,0.3515,0.195,0.3725,10.0
0.645,0.525,1.5075,0.7455,0.245,0.16,0.4325,11.0
0.65,0.525,1.5365,0.6865,0.3585,0.175,0.405,11.0
0.65,0.51,1.542,0.7155,0.3735,0.19,0.375,9.0
0.655,0.535,1.6445,0.7305,0.3595,0.205,0.46,13.0
0.655,0.49,1.3585,0.6395,0.294,0.175,0.365,10.0
0.675,0.545,1.7375,0.876,0.3135,0.185,0.469,13.0
0.685,0.545,1.7925,0.8145,0.416,0.205,0.461,9.0
0.705,0.565,2.21,1.1075,0.4865,0.515,0.512,10.0
0.705,0.555,2.141,1.0465,0.383,0.215,0.528,11.0
0.72,0.575,2.173,0.9515,0.564,0.215,0.5365,12.0
0.415,0.315,0.3895,0.2015,0.065,0.115,0.103,9.0
0.44,0.32,0.4565,0.2435,0.092,0.12,0.1025,8.0
0.45,0.335,0.4475,0.2165,0.126,0.125,0.11,6.0
0.475,0.37,0.649,0.347,0.136,0.125,0.142,8.0
0.485,0.39,0.6435,0.2945,0.103,0.085,0.198,8.0
0.485,0.37,0.526,0.2485,0.105,0.13,0.1555,6.0
0.505,0.385,0.5525,0.239,0.1245,0.105,0.1555,9.0
0.515,0.425,0.9365,0.497,0.181,0.145,0.2185,8.0
0.52,0.4,0.559,0.254,0.139,0.125,0.149,8.0
0.525,0.4,0.7205,0.3685,0.145,0.14,0.1735,8.0
0.53,0.4,0.7575,0.398,0.151,0.125,0.175,8.0
0.55,0.425,0.793,0.343,0.2035,0.16,0.215,9.0
0.57,0.445,0.9875,0.504,0.207,0.15,0.249,8.0
0.575,0.465,1.08,0.595,0.2065,0.15,0.238,9.0
0.575,0.46,0.9155,0.4005,0.2465,0.165,0.2385,8.0
0.585,0.455,0.906,0.4095,0.23,0.15,0.2335,8.0
0.59,0.44,0.8725,0.387,0.215,0.15,0.245,8.0
0.6,0.455,0.945,0.4365,0.2085,0.155,0.25,8.0
0.6,0.465,1.259,0.6405,0.1985,0.2,0.357,9.0
0.62,0.485,1.049,0.462,0.231,0.155,0.25,10.0
0.62,0.48,1.0725,0.4815,0.235,0.165,0.312,9.0
0.625,0.52,1.4105,0.691,0.322,0.175,0.3465,10.0
0.625,0.47,1.136,0.451,0.3245,0.18,0.305,11.0
0.63,0.47,1.1005,0.52,0.26,0.145,0.276,9.0
0.63,0.455,1.1315,0.481,0.2745,0.15,0.305,9.0
0.63,0.48,1.271,0.6605,0.2425,0.15,0.31,11.0
0.635,0.51,1.308,0.544,0.318,0.185,0.377,8.0
0.645,0.51,1.539,0.6405,0.3585,0.155,0.43,11.0
0.65,0.515,1.466,0.677,0.3045,0.175,0.4,10.0
0.65,0.485,1.175,0.475,0.2435,0.14,0.215,8.0
0.655,0.51,1.7835,0.8885,0.4095,0.215,0.4195,11.0
0.66,0.505,1.374,0.589,0.351,0.165,0.345,10.0
0.67,0.545,1.7025,0.833,0.374,0.2,0.41,11.0
0.67,0.51,1.5265,0.651,0.4475,0.175,0.345,10.0
0.67,0.5,1.519,0.616,0.388,0.19,0.415,10.0
0.68,0.515,1.6115,0.8415,0.306,0.17,0.395,11.0
0.69,0.525,1.7825,0.9165,0.3325,0.2,0.461,12.0
0.7,0.555,1.858,0.73,0.3665,0.2,0.595,11.0
0.705,0.56,1.675,0.797,0.4095,0.165,0.388,10.0
0.72,0.565,2.1055,1.017,0.363,0.2,0.494,12.0
0.725,0.575,2.21,1.351,0.413,0.24,0.5015,13.0
0.74,0.57,1.8725,0.9115,0.427,0.18,0.446,10.0
0.75,0.55,1.893,0.942,0.397,0.18,0.445,11.0
0.475,0.36,0.4285,0.1965,0.099,0.1,0.112,7.0
0.48,0.355,0.464,0.221,0.106,0.16,0.239,8.0
0.525,0.415,0.845,0.3525,0.1635,0.145,0.2875,8.0
0.525,0.4,0.707,0.282,0.1605,0.155,0.225,9.0
0.54,0.455,0.972,0.419,0.255,0.14,0.269,10.0
0.55,0.435,0.7625,0.327,0.1685,0.14,0.259,10.0
0.56,0.425,0.849,0.3265,0.221,0.135,0.2645,10.0
0.565,0.44,0.802,0.3595,0.1825,0.125,0.215,9.0
0.565,0.43,0.831,0.4245,0.1735,0.15,0.219,10.0
0.57,0.45,0.795,0.3385,0.148,0.14,0.245,9.0
0.575,0.455,0.867,0.3765,0.1805,0.165,0.268,8.0
0.575,0.47,0.985,0.3745,0.2175,0.185,0.355,10.0
0.575,0.445,0.839,0.4005,0.198,0.16,0.239,9.0
0.575,0.44,0.9615,0.483,0.166,0.16,0.275,13.0
0.58,0.46,1.0335,0.469,0.2225,0.155,0.295,10.0
0.58,0.43,0.798,0.365,0.173,0.13,0.2285,10.0
0.59,0.49,1.207,0.559,0.235,0.165,0.309,10.0
0.595,0.45,0.838,0.3965,0.194,0.14,0.217,10.0
0.595,0.45,0.959,0.463,0.2065,0.145,0.2535,10.0
0.6,0.48,0.9165,0.4135,0.1965,0.165,0.2725,9.0
0.6,0.47,1.059,0.504,0.241,0.165,0.275,9.0
0.6,0.47,1.194,0.5625,0.3045,0.16,0.2635,10.0
0.605,0.475,0.884,0.3835,0.1905,0.145,0.27,8.0
0.61,0.475,0.983,0.4565,0.228,0.155,0.266,10.0
0.61,0.47,1.022,0.449,0.2345,0.16,0.2945,9.0
0.61,0.47,1.1185,0.5225,0.2405,0.17,0.31,9.0
0.615,0.47,1.0175,0.473,0.2395,0.16,0.28,10.0
0.615,0.475,1.224,0.6035,0.261,0.175,0.311,9.0
0.62,0.515,1.221,0.535,0.241,0.175,0.395,13.0
0.62,0.48,1.266,0.6285,0.2575,0.15,0.309,12.0
0.625,0.49,1.1165,0.4895,0.2615,0.165,0.3325,11.0
0.625,0.475,1.0845,0.5005,0.2355,0.16,0.3105,10.0
0.625,0.5,1.0985,0.4645,0.22,0.17,0.354,9.0
0.63,0.505,1.0915,0.4615,0.266,0.17,0.3,9.0
0.63,0.49,1.1745,0.5255,0.273,0.17,0.339,11.0
0.63,0.485,1.233,0.6565,0.2315,0.165,0.3035,10.0
0.63,0.495,1.2695,0.605,0.271,0.175,0.328,11.0
0.635,0.5,1.4345,0.611,0.309,0.17,0.418,12.0
0.64,0.515,1.247,0.5475,0.2925,0.18,0.3685,10.0
0.64,0.525,1.707,0.763,0.4205,0.185,0.4435,11.0
0.645,0.505,1.1605,0.519,0.2615,0.15,0.335,10.0
0.645,0.5,1.286,0.5645,0.288,0.175,0.386,12.0
0.645,0.5,1.5595,0.741,0.3715,0.19,0.3845,14.0
0.645,0.51,1.4745,0.605,0.345,0.19,0.48,9.0
0.645,0.51,1.226,0.5885,0.2215,0.195,0.3745,10.0
0.645,0.51,1.33,0.6665,0.309,0.16,0.317,9.0
0.645,0.5,1.3375,0.554,0.308,0.175,0.415,10.0
0.645,0.485,1.2215,0.5695,0.2735,0.15,0.33,9.0
0.65,0.505,1.274,0.59,0.23,0.19,0.391,11.0
0.65,0.525,1.488,0.665,0.337,0.185,0.378,11.0
0.65,0.51,1.3835,0.6385,0.2905,0.16,0.3665,9.0
0.655,0.55,1.274,0.586,0.281,0.18,0.365,10.0
0.66,0.5,1.3195,0.667,0.269,0.165,0.341,9.0
0.66,0.53,1.5505,0.6505,0.3295,0.195,0.495,10.0
0.66,0.51,1.6375,0.7685,0.3545,0.165,0.3925,14.0
0.665,0.525,1.443,0.6635,0.3845,0.175,0.353,11.0
0.665,0.505,1.289,0.6145,0.253,0.16,0.3665,11.0
0.665,0.52,1.3725,0.606,0.32,0.175,0.395,12.0
0.665,0.5,1.2975,0.6075,0.314,0.175,0.315,9.0
0.67,0.505,1.2585,0.6255,0.311,0.16,0.308,12.0
0.67,0.52,1.39,0.711,0.2865,0.165,0.3,11.0
0.675,0.525,1.2835,0.572,0.2755,0.16,0.3545,13.0
0.68,0.52,1.4535,0.592,0.391,0.195,0.4125,10.0
0.685,0.52,1.3735,0.7185,0.293,0.15,0.32,11.0
0.7,0.565,1.8565,0.8445,0.3935,0.175,0.54,10.0
0.71,0.575,2.009,0.9895,0.4475,0.215,0.502,11.0
0.71,0.56,2.015,0.9215,0.454,0.22,0.566,11.0
0.72,0.57,1.8275,0.919,0.366,0.2,0.485,10.0
0.72,0.55,2.125,1.1455,0.4425,0.205,0.511,13.0
0.735,0.59,1.747,0.7275,0.403,0.215,0.557,11.0
0.75,0.595,2.2205,1.083,0.421,0.205,0.63,12.0
0.77,0.62,2.5155,1.1155,0.6415,0.195,0.642,12.0
0.775,0.63,2.7795,1.3485,0.76,0.25,0.578,12.0
0.39,0.28,0.564,0.3035,0.0955,0.125,0.143,7.0
0.445,0.32,0.414,0.199,0.09,0.12,0.117,7.0
0.465,0.36,0.5795,0.295,0.1395,0.115,0.12,7.0
0.485,0.37,0.968,0.419,0.2455,0.155,0.2365,9.0
0.5,0.37,1.0615,0.494,0.223,0.15,0.296,9.0
0.515,0.35,0.9225,0.4185,0.198,0.155,0.273,9.0
0.515,0.395,1.007,0.472,0.2495,0.135,0.252,8.0
0.525,0.365,0.9605,0.438,0.2225,0.17,0.276,10.0
0.525,0.38,0.65,0.303,0.155,0.125,0.159,7.0
0.53,0.41,0.7545,0.3495,0.1715,0.14,0.2105,8.0
0.55,0.42,1.3405,0.6325,0.311,0.16,0.344,10.0
0.57,0.455,1.02,0.4805,0.2145,0.175,0.29,9.0
0.575,0.44,1.025,0.5075,0.2245,0.185,0.2485,10.0
0.585,0.455,0.953,0.3945,0.2685,0.145,0.258,10.0
0.6,0.495,1.3005,0.6195,0.284,0.175,0.3285,11.0
0.6,0.465,1.038,0.4975,0.2205,0.165,0.251,9.0
0.605,0.475,1.2525,0.5575,0.3055,0.175,0.343,9.0
0.605,0.475,1.15,0.575,0.232,0.15,0.297,10.0
0.62,0.47,1.0865,0.511,0.2715,0.145,0.2565,10.0
0.625,0.495,1.254,0.5815,0.286,0.175,0.3185,9.0
0.625,0.49,1.169,0.5275,0.2535,0.185,0.344,11.0
0.635,0.495,1.172,0.445,0.3115,0.195,0.3475,11.0
0.645,0.5,1.3815,0.672,0.326,0.16,0.315,9.0
0.65,0.525,1.6125,0.777,0.3685,0.19,0.3965,11.0
0.65,0.485,1.7395,0.5715,0.2785,0.16,0.3075,10.0
0.655,0.545,1.4245,0.6325,0.333,0.19,0.378,10.0
0.695,0.53,1.726,0.7625,0.436,0.19,0.455,11.0
0.72,0.56,1.5865,0.691,0.375,0.18,0.4425,11.0
0.73,0.575,2.069,0.9285,0.409,0.21,0.643,11.0
0.515,0.385,0.5785,0.253,0.16,0.11,0.14,8.0
0.555,0.435,0.7495,0.341,0.1645,0.14,0.214,8.0
0.555,0.41,0.599,0.2345,0.1465,0.125,0.194,8.0
0.555,0.4,0.7075,0.332,0.1585,0.13,0.18,7.0
0.555,0.455,0.837,0.382,0.171,0.135,0.235,9.0
0.565,0.415,0.667,0.302,0.1545,0.125,0.185,7.0
0.565,0.455,0.9355,0.421,0.183,0.155,0.26,11.0
0.565,0.45,0.895,0.415,0.195,0.16,0.246,9.0
0.57,0.46,1.0005,0.454,0.205,0.155,0.265,11.0
0.57,0.455,0.832,0.3585,0.174,0.155,0.277,11.0
0.57,0.44,0.9415,0.3805,0.2285,0.175,0.283,9.0
0.57,0.415,0.88,0.4275,0.1955,0.13,0.238,13.0
0.575,0.45,0.785,0.318,0.193,0.13,0.2265,9.0
0.575,0.45,0.9765,0.495,0.2145,0.155,0.235,9.0
0.575,0.435,0.992,0.432,0.2225,0.135,0.239,10.0
0.575,0.455,1.013,0.4685,0.2085,0.155,0.295,11.0
0.575,0.445,0.876,0.3795,0.1615,0.145,0.27,10.0
0.575,0.475,0.857,0.3665,0.173,0.145,0.269,9.0
0.58,0.44,1.0465,0.518,0.2185,0.15,0.2795,10.0
0.58,0.44,0.8295,0.3365,0.2005,0.16,0.2485,9.0
0.595,0.455,0.886,0.4315,0.201,0.15,0.223,10.0
0.6,0.46,1.1805,0.456,0.337,0.17,0.329,11.0
0.6,0.475,0.99,0.386,0.2195,0.15,0.3105,10.0
0.605,0.47,1.1155,0.479,0.2565,0.18,0.321,10.0
0.61,0.48,1.031,0.4375,0.2615,0.14,0.27,8.0
0.615,0.47,1.0285,0.4435,0.2825,0.145,0.285,11.0
0.615,0.47,1.0875,0.4975,0.283,0.15,0.2685,9.0
0.615,0.495,1.219,0.564,0.227,0.2,0.3885,10.0
0.62,0.49,1.035,0.44,0.2525,0.16,0.285,11.0
0.62,0.49,1.195,0.4605,0.302,0.15,0.355,9.0
0.62,0.495,1.5145,0.579,0.346,0.195,0.5195,15.0
0.62,0.47,1.309,0.587,0.4405,0.15,0.325,9.0
0.62,0.485,1.0295,0.425,0.2315,0.155,0.335,12.0
0.625,0.495,1.0485,0.487,0.212,0.155,0.3215,11.0
0.625,0.515,1.331,0.5725,0.3005,0.17,0.361,9.0
0.625,0.505,1.1565,0.52,0.2405,0.185,0.3535,10.0
0.63,0.49,1.2525,0.63,0.246,0.155,0.289,9.0
0.635,0.525,1.195,0.5435,0.246,0.16,0.335,12.0
0.635,0.5,1.273,0.6535,0.213,0.165,0.365,12.0
0.635,0.515,1.229,0.5055,0.2975,0.165,0.3535,10.0
0.64,0.53,1.1895,0.4765,0.3,0.165,0.35,11.0
0.64,0.49,1.1285,0.477,0.269,0.155,0.34,9.0
0.645,0.49,1.32,0.6525,0.2375,0.175,0.3385,11.0
0.655,0.52,1.1445,0.53,0.223,0.17,0.348,9.0
0.66,0.51,1.218,0.5055,0.303,0.175,0.37,11.0
0.665,0.515,1.2695,0.5115,0.2675,0.2,0.436,12.0
0.665,0.525,1.429,0.6715,0.29,0.18,0.4,12.0
0.675,0.515,1.312,0.556,0.2845,0.15,0.4115,11.0
0.68,0.54,1.623,0.7165,0.354,0.19,0.4715,12.0
0.68,0.54,1.534,0.671,0.379,0.155,0.384,10.0
0.685,0.535,1.3845,0.6615,0.2145,0.155,0.4075,10.0
0.69,0.55,1.6915,0.6655,0.402,0.18,0.5,11.0
0.695,0.545,1.5715,0.6645,0.3835,0.185,0.4505,13.0
0.7,0.55,1.4405,0.6565,0.2985,0.175,0.375,12.0
0.7,0.55,1.6245,0.675,0.347,0.195,0.535,13.0
0.72,0.565,2.081,1.0815,0.4305,0.19,0.503,11.0
0.76,0.605,2.173,0.801,0.4915,0.215,0.646,13.0
0.45,0.33,0.4955,0.2575,0.082,0.105,0.129,8.0
0.47,0.365,0.522,0.2395,0.1525,0.135,0.145,10.0
0.505,0.39,0.653,0.3315,0.1385,0.12,0.167,9.0
0.505,0.395,0.5915,0.288,0.1315,0.135,0.185,12.0
0.505,0.385,0.4825,0.21,0.1035,0.115,0.1535,10.0
0.515,0.4,0.6335,0.288,0.145,0.14,0.168,9.0
0.525,0.41,0.6875,0.3435,0.1495,0.13,0.1765,9.0
0.545,0.44,0.8395,0.356,0.1905,0.14,0.2385,11.0
0.565,0.445,0.9255,0.4345,0.212,0.145,0.2475,9.0
0.58,0.46,1.063,0.513,0.2705,0.16,0.2625,9.0
0.59,0.465,1.115,0.5165,0.273,0.165,0.275,10.0
0.605,0.445,0.982,0.4295,0.2085,0.14,0.295,12.0
0.61,0.49,1.112,0.465,0.228,0.16,0.341,10.0
0.66,0.515,1.5655,0.7345,0.353,0.195,0.386,9.0
0.45,0.35,0.4655,0.2075,0.1045,0.13,0.135,8.0
0.46,0.345,0.4935,0.2435,0.1175,0.12,0.132,8.0
0.46,0.345,0.4595,0.235,0.0885,0.11,0.116,7.0
0.465,0.36,0.4955,0.2665,0.085,0.11,0.121,7.0
0.485,0.39,0.617,0.25,0.1345,0.135,0.1635,8.0
0.5,0.39,0.7815,0.361,0.1575,0.135,0.2385,9.0
0.505,0.385,0.6435,0.3135,0.149,0.13,0.1515,7.0
0.525,0.385,0.5115,0.246,0.1005,0.1,0.1455,8.0
0.535,0.42,0.738,0.355,0.1895,0.125,0.1795,8.0
0.55,0.41,0.8705,0.4455,0.2115,0.13,0.213,9.0
0.58,0.45,0.8685,0.418,0.1475,0.12,0.2605,8.0
0.595,0.465,0.919,0.4335,0.1765,0.15,0.262,9.0
0.61,0.48,1.2435,0.5575,0.2675,0.165,0.372,8.0
0.645,0.495,1.2095,0.603,0.2225,0.15,0.339,9.0
0.65,0.5,1.238,0.6165,0.2355,0.14,0.32,8.0
0.685,0.55,1.7725,0.813,0.387,0.2,0.49,11.0
0.72,0.585,1.914,0.9155,0.448,0.22,0.479,11.0
0.775,0.57,2.032,0.735,0.4755,0.22,0.6585,17.0
0.53,0.425,0.7455,0.2995,0.1355,0.13,0.245,10.0
0.415,0.3,0.3355,0.1545,0.0685,0.1,0.095,7.0
0.5,0.39,0.651,0.273,0.132,0.145,0.22,11.0
0.425,0.33,0.361,0.134,0.0825,0.08,0.125,7.0
0.47,0.35,0.4775,0.1885,0.0885,0.1,0.175,8.0
0.5,0.38,0.66,0.2655,0.1365,0.155,0.215,19.0
0.375,0.29,0.276,0.1175,0.0565,0.1,0.085,9.0
0.585,0.48,1.04,0.434,0.265,0.185,0.285,10.0
0.595,0.455,1.041,0.416,0.2105,0.155,0.365,14.0
0.665,0.535,2.1835,0.7535,0.391,0.225,0.885,27.0
0.62,0.49,1.2105,0.5185,0.2555,0.17,0.335,13.0
0.525,0.405,0.7185,0.3265,0.1975,0.13,0.175,8.0
0.425,0.325,0.3295,0.1365,0.0725,0.1,0.11,7.0
0.385,0.295,0.335,0.147,0.094,0.095,0.09,7.0
0.47,0.375,0.4265,0.1685,0.0755,0.115,0.15,8.0
0.62,0.51,1.1505,0.4375,0.2265,0.175,0.4,12.0
0.595,0.47,0.8915,0.359,0.2105,0.15,0.245,12.0
0.585,0.455,0.97,0.462,0.185,0.14,0.295,9.0
0.32,0.24,0.18,0.08,0.0385,0.08,0.055,6.0
0.44,0.35,0.4585,0.2,0.0885,0.11,0.13,9.0
0.565,0.425,0.7145,0.3055,0.166,0.1,0.18,12.0
0.68,0.53,1.496,0.5825,0.337,0.205,0.465,14.0
0.47,0.37,0.4665,0.2025,0.1015,0.105,0.155,10.0
0.455,0.35,0.401,0.1575,0.083,0.105,0.135,9.0
0.465,0.35,0.5205,0.2015,0.1625,0.12,0.185,11.0
0.46,0.375,0.4935,0.186,0.0845,0.135,0.17,12.0
0.415,0.31,0.3245,0.1305,0.0735,0.09,0.115,8.0
0.27,0.195,0.106,0.0465,0.018,0.07,0.036,7.0
0.445,0.355,0.4415,0.1805,0.1035,0.11,0.1505,10.0
0.55,0.44,0.879,0.368,0.2095,0.135,0.265,10.0
0.58,0.46,1.2275,0.473,0.1965,0.165,0.435,16.0
0.61,0.5,1.2715,0.4915,0.185,0.165,0.49,12.0
0.62,0.495,1.806,0.643,0.3285,0.175,0.725,17.0
0.56,0.42,0.8085,0.3025,0.1795,0.195,0.285,14.0
0.69,0.55,1.8465,0.732,0.472,0.2,0.57,19.0
0.375,0.305,0.3245,0.1395,0.0565,0.09,0.095,5.0
0.335,0.235,0.1545,0.066,0.0345,0.085,0.045,6.0
0.285,0.21,0.1185,0.055,0.0285,0.075,0.04,7.0
0.595,0.465,0.799,0.3245,0.2,0.125,0.23,10.0
0.575,0.45,0.925,0.342,0.197,0.185,0.35,12.0
0.535,0.42,0.9195,0.3355,0.1985,0.165,0.26,16.0
0.55,0.43,0.9295,0.317,0.1735,0.16,0.355,13.0
0.495,0.4,0.8085,0.2345,0.1155,0.155,0.35,6.0
0.445,0.34,0.4475,0.193,0.1035,0.12,0.13,9.0
0.495,0.385,0.6335,0.2,0.1225,0.135,0.26,14.0
0.47,0.37,0.547,0.222,0.1325,0.135,0.17,12.0
0.58,0.47,0.927,0.3215,0.1985,0.165,0.315,11.0
0.645,0.495,1.4935,0.5265,0.2785,0.185,0.455,15.0
0.57,0.405,0.9245,0.3445,0.2185,0.16,0.295,19.0
0.615,0.48,1.36,0.5305,0.2375,0.19,0.47,18.0
0.42,0.345,0.43,0.175,0.096,0.105,0.13,7.0
0.42,0.34,0.4215,0.175,0.093,0.115,0.135,8.0
0.66,0.505,1.6305,0.4865,0.297,0.2,0.61,18.0
0.565,0.47,1.142,0.387,0.258,0.195,0.35,17.0
0.63,0.51,1.539,0.5635,0.2815,0.23,0.57,17.0
0.495,0.39,0.853,0.3285,0.189,0.15,0.27,14.0
0.58,0.465,1.035,0.401,0.1865,0.175,0.385,17.0
0.59,0.475,0.857,0.356,0.174,0.155,0.28,13.0
0.37,0.28,0.2225,0.0805,0.051,0.095,0.075,7.0
