diameter,shucked_weight,shell_weight,height,whole_weight,viscera_weight,length,rings
0.535,0.7245,0.498,0.185,1.607,0.3215,0.68,12.0
0.525,0.8255,0.405,0.175,1.7005,0.362,0.69,8.0
0.505,0.893,0.48,0.2,1.872,0.4015,0.69,10.0
0.565,1.012,0.5475,0.205,2.198,0.5225,0.71,11.0
0.565,0.7645,0.4135,0.175,1.9525,0.4185,0.715,10.0
0.6,1.007,0.6205,0.22,2.302,0.509,0.765,12.0
0.335,0.1985,0.1035,0.12,0.397,0.0865,0.43,7.0
0.36,0.27,0.129,0.105,0.544,0.1395,0.47,7.0
0.465,0.235,0.141,0.125,0.5225,0.13,0.49,7.0
0.39,0.2485,0.131,0.125,0.5215,0.117,0.5,6.0
0.4,0.3525,0.185,0.145,0.7765,0.1845,0.52,9.0
0.405,0.3755,0.201,0.12,0.7555,0.1555,0.525,9.0
0.39,0.4225,0.156,0.135,0.7835,0.1815,0.545,7.0
0.41,0.434,0.19,0.12,0.793,0.1405,0.545,9.0
0.415,0.4615,0.218,0.14,0.82,0.127,0.545,9.0
0.425,0.411,0.2165,0.15,0.8315,0.1765,0.55,10.0
0.43,0.464,0.234,0.145,0.8995,0.1775,0.56,9.0
0.445,0.42,0.2215,0.16,0.8965,0.2175,0.56,8.0
0.415,0.43,0.205,0.145,0.852,0.1885,0.56,8.0
0.455,0.4565,0.23,0.15,0.9595,0.2395,0.565,9.0
0.435,0.5795,0.206,0.15,0.99,0.1825,0.565,8.0
0.46,0.5415,0.25,0.15,1.0375,0.2035,0.57,9.0
0.435,0.401,0.222,0.14,0.8455,0.191,0.575,9.0
0.455,0.4245,0.26,0.135,0.907,0.197,0.575,9.0
0.445,0.549,0.228,0.17,1.0225,0.2175,0.575,9.0
0.445,0.415,0.22,0.145,0.847,0.1945,0.575,9.0
0.455,0.4765,0.265,0.15,1.114,0.2155,0.58,8.0
0.455,0.945,0.441,0.195,1.859,0.426,0.58,9.0
0.445,0.3775,0.22,0.135,0.814,0.1915,0.58,9.0
0.45,0.486,0.253,0.14,0.9615,0.1815,0.58,9.0
0.45,0.547,0.2295,0.145,1.0025,0.1975,0.58,8.0
0.46,0.478,0.235,0.145,0.9335,0.1825,0.585,9.0
0.465,0.4595,0.265,0.16,0.9555,0.236,0.585,7.0
0.47,0.481,0.24,0.15,0.9955,0.232,0.59,8.0
0.455,0.696,0.24,0.17,1.1915,0.2395,0.6,8.0
0.465,0.512,0.225,0.155,1.0165,0.2465,0.6,10.0
0.475,0.555,0.274,0.14,1.1175,0.257,0.605,9.0
0.48,0.582,0.317,0.17,1.1835,0.2365,0.605,10.0
0.485,0.5315,0.2415,0.16,1.0145,0.212,0.61,8.0
0.485,0.783,0.2865,0.145,1.3305,0.2255,0.61,9.0
0.47,0.498,0.267,0.165,1.052,0.242,0.61,9.0
0.46,0.4815,0.27,0.17,1.0565,0.272,0.615,10.0
0.47,0.5315,0.2475,0.135,1.0195,0.2005,0.62,8.0
0.45,0.4285,0.2405,0.2,0.858,0.1525,0.62,8.0
0.48,0.587,0.286,0.185,1.2065,0.29,0.625,8.0
0.47,0.589,0.287,0.155,1.1325,0.211,0.63,8.0
0.5,0.5635,0.3425,0.175,1.2645,0.3065,0.63,10.0
0.515,0.632,0.358,0.165,1.369,0.3415,0.64,10.0
0.53,0.6465,0.3735,0.195,1.39,0.2945,0.645,10.0
0.5,0.565,0.294,0.155,1.202,0.3135,0.65,11.0
0.515,0.553,0.345,0.16,1.31,0.369,0.655,11.0
0.525,0.629,0.34,0.16,1.363,0.279,0.665,8.0
0.52,0.699,0.4,0.165,1.519,0.3685,0.685,10.0
0.53,0.7355,0.3865,0.21,1.583,0.405,0.69,12.0
0.56,0.885,0.4375,0.185,1.74,0.3715,0.695,10.0
0.565,0.895,0.446,0.18,1.751,0.3355,0.7,9.0
0.575,1.095,0.638,0.19,2.273,0.418,0.7,12.0
0.55,1.0465,0.5075,0.19,2.0045,0.407,0.715,12.0
0.535,0.889,0.42,0.19,1.6755,0.313,0.715,10.0
0.565,0.691,0.2685,0.145,1.187,0.1945,0.72,8.0
0.505,1.026,0.4505,0.185,1.978,0.4255,0.725,12.0
0.585,0.952,0.5,0.185,2.124,0.55,0.735,11.0
0.565,0.896,0.5,0.215,1.931,0.4585,0.745,11.0
0.58,0.8295,0.595,0.205,2.0065,0.4015,0.755,10.0
0.395,0.224,0.167,0.12,0.553,0.1375,0.495,8.0
0.42,0.302,0.2065,0.135,0.6765,0.1415,0.5,9.0
0.42,0.428,0.2045,0.155,0.842,0.1415,0.525,9.0
0.435,0.3475,0.194,0.15,0.717,0.1445,0.535,9.0
0.43,0.413,0.248,0.15,0.8745,0.1905,0.55,9.0
0.44,0.407,0.255,0.14,0.8705,0.156,0.555,9.0
0.445,0.3635,0.219,0.15,0.796,0.184,0.565,8.0
0.39,0.352,0.1685,0.125,0.744,0.13,0.565,11.0
0.435,0.382,0.2705,0.17,0.873,0.183,0.57,10.0
0.435,0.383,0.275,0.125,0.8965,0.1835,0.57,9.0
0.46,0.4415,0.22,0.155,0.892,0.176,0.575,10.0
0.46,0.6715,0.2955,0.155,1.4395,0.273,0.58,10.0
0.455,0.405,0.204,0.135,0.7955,0.167,0.58,10.0
0.465,0.4555,0.235,0.155,0.9145,0.1965,0.585,9.0
0.49,0.522,0.335,0.185,1.171,0.2535,0.585,10.0
0.46,0.5825,0.274,0.165,1.1135,0.2345,0.585,10.0
0.47,0.8,0.295,0.165,1.409,0.229,0.585,10.0
0.475,0.5315,0.2885,0.15,1.065,0.199,0.585,10.0
0.45,0.336,0.237,0.18,0.7995,0.1855,0.585,8.0
0.47,0.5985,0.31,0.18,1.187,0.227,0.59,9.0
0.455,0.388,0.275,0.155,0.8855,0.188,0.59,10.0
0.475,0.508,0.309,0.17,1.1315,0.272,0.6,10.0
0.48,0.451,0.325,0.155,1.014,0.1885,0.6,11.0
0.46,0.4455,0.295,0.155,0.9595,0.189,0.6,11.0
0.49,0.419,0.315,0.14,0.9755,0.206,0.605,10.0
0.45,0.407,0.25,0.15,0.871,0.1835,0.61,10.0
0.48,0.6345,0.305,0.165,1.244,0.257,0.61,12.0
0.475,0.435,0.3035,0.17,1.0265,0.2335,0.61,10.0
0.48,0.4565,0.347,0.17,1.137,0.29,0.61,10.0
0.46,0.494,0.275,0.16,1.0,0.197,0.61,10.0
0.47,0.4465,0.34,0.165,1.128,0.2195,0.615,10.0
0.5,0.4845,0.295,0.17,1.054,0.228,0.615,10.0
0.475,0.4795,0.3,0.17,1.129,0.302,0.615,10.0
0.48,0.446,0.3,0.175,1.118,0.3195,0.615,9.0
0.51,0.5715,0.39,0.175,1.2815,0.2385,0.62,10.0
0.495,0.5765,0.355,0.18,1.2555,0.254,0.62,12.0
0.455,0.4955,0.315,0.17,1.082,0.2345,0.625,9.0
0.485,0.5065,0.3365,0.145,1.062,0.1785,0.63,12.0
0.495,0.497,0.315,0.16,1.093,0.221,0.63,12.0
0.49,0.534,0.3455,0.16,1.101,0.1865,0.635,10.0
0.475,0.5205,0.3665,0.17,1.1935,0.2695,0.635,10.0
0.51,0.405,0.31,0.155,0.986,0.2255,0.635,10.0
0.565,0.644,0.406,0.23,1.521,0.372,0.64,15.0
0.525,0.4865,0.4075,0.18,1.3135,0.2995,0.64,10.0
0.51,0.556,0.345,0.16,1.1835,0.2385,0.645,11.0
0.5,0.6165,0.3725,0.195,1.401,0.3515,0.645,10.0
0.525,0.7455,0.4325,0.16,1.5075,0.245,0.645,11.0
0.525,0.6865,0.405,0.175,1.5365,0.3585,0.65,11.0
0.51,0.7155,0.375,0.19,1.542,0.3735,0.65,9.0
0.535,0.7305,0.46,0.205,1.6445,0.3595,0.655,13.0
0.49,0.6395,0.365,0.175,1.3585,0.294,0.655,10.0
0.545,0.876,0.469,0.185,1.7375,0.3135,0.675,13.0
0.545,0.8145,0.461,0.205,1.7925,0.416,0.685,9.0
0.565,1.1075,0.512,0.515,2.21,0.4865,0.705,10.0
0.555,1.0465,0.528,0.215,2.141,0.383,0.705,11.0
0.575,0.9515,0.5365,0.215,2.173,0.564,0.72,12.0
0.315,0.2015,0.103,0.115,0.3895,0.065,0.415,9.0
0.32,0.2435,0.1025,0.12,0.4565,0.092,0.44,8.0
0.335,0.2165,0.11,0.125,0.4475,0.126,0.45,6.0
0.37,0.347,0.142,0.125,0.649,0.136,0.475,8.0
0.39,0.2945,0.198,0.085,0.6435,0.103,0.485,8.0
0.37,0.2485,0.1555,0.13,0.526,0.105,0.485,6.0
0.385,0.239,0.1555,0.105,0.5525,0.1245,0.505,9.0
0.425,0.497,0.2185,0.145,0.9365,0.181,0.515,8.0
0.4,0.254,0.149,0.125,0.559,0.139,0.52,8.0
0.4,0.3685,0.1735,0.14,0.7205,0.145,0.525,8.0
0.4,0.398,0.175,0.125,0.7575,0.151,0.53,8.0
0.425,0.343,0.215,0.16,0.793,0.2035,0.55,9.0
0.445,0.504,0.249,0.15,0.9875,0.207,0.57,8.0
0.465,0.595,0.238,0.15,1.08,0.2065,0.575,9.0
0.46,0.4005,0.2385,0.165,0.9155,0.2465,0.575,8.0
0.455,0.4095,0.2335,0.15,0.906,0.23,0.585,8.0
0.44,0.387,0.245,0.15,0.8725,0.215,0.59,8.0
0.455,0.4365,0.25,0.155,0.945,0.2085,0.6,8.0
0.465,0.6405,0.357,0.2,1.259,0.1985,0.6,9.0
0.485,0.462,0.25,0.155,1.049,0.231,0.62,10.0
0.48,0.4815,0.312,0.165,1.0725,0.235,0.62,9.0
0.52,0.691,0.3465,0.175,1.4105,0.322,0.625,10.0
0.47,0.451,0.305,0.18,1.136,0.3245,0.625,11.0
0.47,0.52,0.276,0.145,1.1005,0.26,0.63,9.0
0.455,0.481,0.305,0.15,1.1315,0.2745,0.63,9.0
0.48,0.6605,0.31,0.15,1.271,0.2425,0.63,11.0
0.51,0.544,0.377,0.185,1.308,0.318,0.635,8.0
0.51,0.6405,0.43,0.155,1.539,0.3585,0.645,11.0
0.515,0.677,0.4,0.175,1.466,0.3045,0.65,10.0
0.485,0.475,0.215,0.14,1.175,0.2435,0.65,8.0
0.51,0.8885,0.4195,0.215,1.7835,0.4095,0.655,11.0
0.505,0.589,0.345,0.165,1.374,0.351,0.66,10.0
0.545,0.833,0.41,0.2,1.7025,0.374,0.67,11.0
0.51,0.651,0.345,0.175,1.5265,0.4475,0.67,10.0
0.5,0.616,0.415,0.19,1.519,0.388,0.67,10.0
0.515,0.8415,0.395,0.17,1.6115,0.306,0.68,11.0
0.525,0.9165,0.461,0.2,1.7825,0.3325,0.69,12.0
0.555,0.73,0.595,0.2,1.858,0.3665,0.7,11.0
0.56,0.797,0.388,0.165,1.675,0.4095,0.705,10.0
0.565,1.017,0.494,0.2,2.1055,0.363,0.72,12.0
0.575,1.351,0.5015,0.24,2.21,0.413,0.725,13.0
0.57,0.9115,0.446,0.18,1.8725,0.427,0.74,10.0
0.55,0.942,0.445,0.18,1.893,0.397,0.75,11.0
0.36,0.1965,0.112,0.1,0.4285,0.099,0.475,7.0
0.355,0.221,0.239,0.16,0.464,0.106,0.48,8.0
0.415,0.3525,0.2875,0.145,0.845,0.1635,0.525,8.0
0.4,0.282,0.225,0.155,0.707,0.1605,0.525,9.0
0.455,0.419,0.269,0.14,0.972,0.255,0.54,10.0
0.435,0.327,0.259,0.14,0.7625,0.1685,0.55,10.0
0.425,0.3265,0.2645,0.135,0.849,0.221,0.56,10.0
0.44,0.3595,0.215,0.125,0.802,0.1825,0.565,9.0
0.43,0.4245,0.219,0.15,0.831,0.1735,0.565,10.0
0.45,0.3385,0.245,0.14,0.795,0.148,0.57,9.0
0.455,0.3765,0.268,0.165,0.867,0.1805,0.575,8.0
0.47,0.3745,0.355,0.185,0.985,0.2175,0.575,10.0
0.445,0.4005,0.239,0.16,0.839,0.198,0.575,9.0
0.44,0.483,0.275,0.16,0.9615,0.166,0.575,13.0
0.46,0.469,0.295,0.155,1.0335,0.2225,0.58,10.0
0.43,0.365,0.2285,0.13,0.798,0.173,0.58,10.0
0.49,0.559,0.309,0.165,1.207,0.235,0.59,10.0
0.45,0.3965,0.217,0.14,0.838,0.194,0.595,10.0
0.45,0.463,0.2535,0.145,0.959,0.2065,0.595,10.0
0.48,0.4135,0.2725,0.165,0.9165,0.1965,0.6,9.0
0.47,0.504,0.275,0.165,1.059,0.241,0.6,9.0
0.47,0.5625,0.2635,0.16,1.194,0.3045,0.6,10.0
0.475,0.3835,0.27,0.145,0.884,0.1905,0.605,8.0
0.475,0.4565,0.266,0.155,0.983,0.228,0.61,10.0
0.47,0.449,0.2945,0.16,1.022,0.2345,0.61,9.0
0.47,0.5225,0.31,0.17,1.1185,0.2405,0.61,9.0
0.47,0.473,0.28,0.16,1.0175,0.2395,0.615,10.0
0.475,0.6035,0.311,0.175,1.224,0.261,0.615,9.0
0.515,0.535,0.395,0.175,1.221,0.241,0.62,13.0
0.48,0.6285,0.309,0.15,1.266,0.2575,0.62,12.0
0.49,0.4895,0.3325,0.165,1.1165,0.2615,0.625,11.0
0.475,0.5005,0.3105,0.16,1.0845,0.2355,0.625,10.0
0.5,0.4645,0.354,0.17,1.0985,0.22,0.625,9.0
0.505,0.4615,0.3,0.17,1.0915,0.266,0.63,9.0
0.49,0.5255,0.339,0.17,1.1745,0.273,0.63,11.0
0.485,0.6565,0.3035,0.165,1.233,0.2315,0.63,10.0
0.495,0.605,0.328,0.175,1.2695,0.271,0.63,11.0
0.5,0.611,0.418,0.17,1.4345,0.309,0.635,12.0
0.515,0.5475,0.3685,0.18,1.247,0.2925,0.64,10.0
0.525,0.763,0.4435,0.185,1.707,0.4205,0.64,11.0
0.505,0.519,0.335,0.15,1.1605,0.2615,0.645,10.0
0.5,0.5645,0.386,0.175,1.286,0.288,0.645,12.0
0.5,0.741,0.3845,0.19,1.5595,0.3715,0.645,14.0
0.51,0.605,0.48,0.19,1.4745,0.345,0.645,9.0
0.51,0.5885,0.3745,0.195,1.226,0.2215,0.645,10.0
0.51,0.6665,0.317,0.16,1.33,0.309,0.645,9.0
0.5,0.554,0.415,0.175,1.3375,0.308,0.645,10.0
0.485,0.5695,0.33,0.15,1.2215,0.2735,0.645,9.0
0.505,0.59,0.391,0.19,1.274,0.23,0.65,11.0
0.525,0.665,0.378,0.185,1.488,0.337,0.65,11.0
0.51,0.6385,0.3665,0.16,1.3835,0.2905,0.65,9.0
0.55,0.586,0.365,0.18,1.274,0.281,0.655,10.0
0.5,0.667,0.341,0.165,1.3195,0.269,0.66,9.0
0.53,0.6505,0.495,0.195,1.5505,0.3295,0.66,10.0
0.51,0.7685,0.3925,0.165,1.6375,0.3545,0.66,14.0
0.525,0.6635,0.353,0.175,1.443,0.3845,0.665,11.0
0.505,0.6145,0.3665,0.16,1.289,0.253,0.665,11.0
0.52,0.606,0.395,0.175,1.3725,0.32,0.665,12.0
0.5,0.6075,0.315,0.175,1.2975,0.314,0.665,9.0
0.505,0.6255,0.308,0.16,1.2585,0.311,0.67,12.0
0.52,0.711,0.3,0.165,1.39,0.2865,0.67,11.0
0.525,0.572,0.3545,0.16,1.2835,0.2755,0.675,13.0
0.52,0.592,0.4125,0.195,1.4535,0.391,0.68,10.0
0.52,0.7185,0.32,0.15,1.3735,0.293,0.685,11.0
0.565,0.8445,0.54,0.175,1.8565,0.3935,0.7,10.0
0.575,0.9895,0.502,0.215,2.009,0.4475,0.71,11.0
0.56,0.9215,0.566,0.22,2.015,0.454,0.71,11.0
0.57,0.919,0.485,0.2,1.8275,0.366,0.72,10.0
0.55,1.1455,0.511,0.205,2.125,0.4425,0.72,13.0
0.59,0.7275,0.557,0.215,1.747,0.403,0.735,11.0
0.595,1.083,0.63,0.205,2.2205,0.421,0.75,12.0
0.62,1.1155,0.642,0.195,2.5155,0.6415,0.77,12.0
0.63,1.3485,0.578,0.25,2.7795,0.76,0.775,12.0
0.28,0.3035,0.143,0.125,0.564,0.0955,0.39,7.0
0.32,0.199,0.117,0.12,0.414,0.09,0.445,7.0
0.36,0.295,0.12,0.115,0.5795,0.1395,0.465,7.0
0.37,0.419,0.2365,0.155,0.968,0.2455,0.485,9.0
0.37,0.494,0.296,0.15,1.0615,0.223,0.5,9.0
0.35,0.4185,0.273,0.155,0.9225,0.198,0.515,9.0
0.395,0.472,0.252,0.135,1.007,0.2495,0.515,8.0
0.365,0.438,0.276,0.17,0.9605,0.2225,0.525,10.0
0.38,0.303,0.159,0.125,0.65,0.155,0.525,7.0
0.41,0.3495,0.2105,0.14,0.7545,0.1715,0.53,8.0
0.42,0.6325,0.344,0.16,1.3405,0.311,0.55,10.0
0.455,0.4805,0.29,0.175,1.02,0.2145,0.57,9.0
0.44,0.5075,0.2485,0.185,1.025,0.2245,0.575,10.0
0.455,0.3945,0.258,0.145,0.953,0.2685,0.585,10.0
0.495,0.6195,0.3285,0.175,1.3005,0.284,0.6,11.0
0.465,0.4975,0.251,0.165,1.038,0.2205,0.6,9.0
0.475,0.5575,0.343,0.175,1.2525,0.3055,0.605,9.0
0.475,0.575,0.297,0.15,1.15,0.232,0.605,10.0
0.47,0.511,0.2565,0.145,1.0865,0.2715,0.62,10.0
0.495,0.5815,0.3185,0.175,1.254,0.286,0.625,9.0
0.49,0.5275,0.344,0.185,1.169,0.2535,0.625,11.0
0.495,0.445,0.3475,0.195,1.172,0.3115,0.635,11.0
0.5,0.672,0.315,0.16,1.3815,0.326,0.645,9.0
0.525,0.777,0.3965,0.19,1.6125,0.3685,0.65,11.0
0.485,0.5715,0.3075,0.16,1.7395,0.2785,0.65,10.0
0.545,0.6325,0.378,0.19,1.4245,0.333,0.655,10.0
0.53,0.7625,0.455,0.19,1.726,0.436,0.695,11.0
0.56,0.691,0.4425,0.18,1.5865,0.375,0.72,11.0
0.575,0.9285,0.643,0.21,2.069,0.409,0.73,11.0
0.385,0.253,0.14,0.11,0.5785,0.16,0.515,8.0
0.435,0.341,0.214,0.14,0.7495,0.1645,0.555,8.0
0.41,0.2345,0.194,0.125,0.599,0.1465,0.555,8.0
0.4,0.332,0.18,0.13,0.7075,0.1585,0.555,7.0
0.455,0.382,0.235,0.135,0.837,0.171,0.555,9.0
0.415,0.302,0.185,0.125,0.667,0.1545,0.565,7.0
0.455,0.421,0.26,0.155,0.9355,0.183,0.565,11.0
0.45,0.415,0.246,0.16,0.895,0.195,0.565,9.0
0.46,0.454,0.265,0.155,1.0005,0.205,0.57,11.0
0.455,0.3585,0.277,0.155,0.832,0.174,0.57,11.0
0.44,0.3805,0.283,0.175,0.9415,0.2285,0.57,9.0
0.415,0.4275,0.238,0.13,0.88,0.1955,0.57,13.0
0.45,0.318,0.2265,0.13,0.785,0.193,0.575,9.0
0.45,0.495,0.235,0.155,0.9765,0.2145,0.575,9.0
0.435,0.432,0.239,0.135,0.992,0.2225,0.575,10.0
0.455,0.4685,0.295,0.155,1.013,0.2085,0.575,11.0
0.445,0.3795,0.27,0.145,0.876,0.1615,0.575,10.0
0.475,0.3665,0.269,0.145,0.857,0.173,0.575,9.0
0.44,0.518,0.2795,0.15,1.0465,0.2185,0.58,10.0
0.44,0.3365,0.2485,0.16,0.8295,0.2005,0.58,9.0
0.455,0.4315,0.223,0.15,0.886,0.201,0.595,10.0
0.46,0.456,0.329,0.17,1.1805,0.337,0.6,11.0
0.475,0.386,0.3105,0.15,0.99,0.2195,0.6,10.0
0.47,0.479,0.321,0.18,1.1155,0.2565,0.605,10.0
0.48,0.4375,0.27,0.14,1.031,0.2615,0.61,8.0
0.47,0.4435,0.285,0.145,1.0285,0.2825,0.615,11.0
0.47,0.4975,0.2685,0.15,1.0875,0.283,0.615,9.0
0.495,0.564,0.3885,0.2,1.219,0.227,0.615,10.0
0.49,0.44,0.285,0.16,1.035,0.2525,0.62,11.0
0.49,0.4605,0.355,0.15,1.195,0.302,0.62,9.0
0.495,0.579,0.5195,0.195,1.5145,0.346,0.62,15.0
0.47,0.587,0.325,0.15,1.309,0.4405,0.62,9.0
0.485,0.425,0.335,0.155,1.0295,0.2315,0.62,12.0
0.495,0.487,0.3215,0.155,1.0485,0.212,0.625,11.0
0.515,0.5725,0.361,0.17,1.331,0.3005,0.625,9.0
0.505,0.52,0.3535,0.185,1.1565,0.2405,0.625,10.0
0.49,0.63,0.289,0.155,1.2525,0.246,0.63,9.0
0.525,0.5435,0.335,0.16,1.195,0.246,0.635,12.0
0.5,0.6535,0.365,0.165,1.273,0.213,0.635,12.0
0.515,0.5055,0.3535,0.165,1.229,0.2975,0.635,10.0
0.53,0.4765,0.35,0.165,1.1895,0.3,0.64,11.0
0.49,0.477,0.34,0.155,1.1285,0.269,0.64,9.0
0.49,0.6525,0.3385,0.175,1.32,0.2375,0.645,11.0
0.52,0.53,0.348,0.17,1.1445,0.223,0.655,9.0
0.51,0.5055,0.37,0.175,1.218,0.303,0.66,11.0
0.515,0.5115,0.436,0.2,1.2695,0.2675,0.665,12.0
0.525,0.6715,0.4,0.18,1.429,0.29,0.665,12.0
0.515,0.556,0.4115,0.15,1.312,0.2845,0.675,11.0
0.54,0.7165,0.4715,0.19,1.623,0.354,0.68,12.0
0.54,0.671,0.384,0.155,1.534,0.379,0.68,10.0
0.535,0.6615,0.4075,0.155,1.3845,0.2145,0.685,10.0
0.55,0.6655,0.5,0.18,1.6915,0.402,0.69,11.0
0.545,0.6645,0.4505,0.185,1.5715,0.3835,0.695,13.0
0.55,0.6565,0.375,0.175,1.4405,0.2985,0.7,12.0
0.55,0.675,0.535,0.195,1.6245,0.347,0.7,13.0
0.565,1.0815,0.503,0.19,2.081,0.4305,0.72,11.0
0.605,0.801,0.646,0.215,2.173,0.4915,0.76,13.0
0.33,0.2575,0.129,0.105,0.4955,0.082,0.45,8.0
0.365,0.2395,0.145,0.135,0.522,0.1525,0.47,10.0
0.39,0.3315,0.167,0.12,0.653,0.1385,0.505,9.0
0.395,0.288,0.185,0.135,0.5915,0.1315,0.505,12.0
0.385,0.21,0.1535,0.115,0.4825,0.1035,0.505,10.0
0.4,0.288,0.168,0.14,0.6335,0.145,0.515,9.0
0.41,0.3435,0.1765,0.13,0.6875,0.1495,0.525,9.0
0.44,0.356,0.2385,0.14,0.8395,0.1905,0.545,11.0
0.445,0.4345,0.2475,0.145,0.9255,0.212,0.565,9.0
0.46,0.513,0.2625,0.16,1.063,0.2705,0.58,9.0
0.465,0.5165,0.275,0.165,1.115,0.273,0.59,10.0
0.445,0.4295,0.295,0.14,0.982,0.2085,0.605,12.0
0.49,0.465,0.341,0.16,1.112,0.228,0.61,10.0
0.515,0.7345,0.386,0.195,1.5655,0.353,0.66,9.0
0.35,0.2075,0.135,0.13,0.4655,0.1045,0.45,8.0
0.345,0.2435,0.132,0.12,0.4935,0.1175,0.46,8.0
0.345,0.235,0.116,0.11,0.4595,0.0885,0.46,7.0
0.36,0.2665,0.121,0.11,0.4955,0.085,0.465,7.0
0.39,0.25,0.1635,0.135,0.617,0.1345,0.485,8.0
0.39,0.361,0.2385,0.135,0.7815,0.1575,0.5,9.0
0.385,0.3135,0.1515,0.13,0.6435,0.149,0.505,7.0
0.385,0.246,0.1455,0.1,0.5115,0.1005,0.525,8.0
0.42,0.355,0.1795,0.125,0.738,0.1895,0.535,8.0
0.41,0.4455,0.213,0.13,0.8705,0.2115,0.55,9.0
0.45,0.418,0.2605,0.12,0.8685,0.1475,0.58,8.0
0.465,0.4335,0.262,0.15,0.919,0.1765,0.595,9.0
0.48,0.5575,0.372,0.165,1.2435,0.2675,0.61,8.0
0.495,0.603,0.339,0.15,1.2095,0.2225,0.645,9.0
0.5,0.6165,0.32,0.14,1.238,0.2355,0.65,8.0
0.55,0.813,0.49,0.2,1.7725,0.387,0.685,11.0
0.585,0.9155,0.479,0.22,1.914,0.448,0.72,11.0
0.57,0.735,0.6585,0.22,2.032,0.4755,0.775,17.0
0.425,0.2995,0.245,0.13,0.7455,0.1355,0.53,10.0
0.3,0.1545,0.095,0.1,0.3355,0.0685,0.415,7.0
0.39,0.273,0.22,0.145,0.651,0.132,0.5,11.0
0.33,0.134,0.125,0.08,0.361,0.0825,0.425,7.0
0.35,0.1885,0.175,0.1,0.4775,0.0885,0.47,8.0
0.38,0.2655,0.215,0.155,0.66,0.1365,0.5,19.0
0.29,0.1175,0.085,0.1,0.276,0.0565,0.375,9.0
0.48,0.434,0.285,0.185,1.04,0.265,0.585,10.0
0.455,0.416,0.365,0.155,1.041,0.2105,0.595,14.0
0.535,0.7535,0.885,0.225,2.1835,0.391,0.665,27.0
0.49,0.5185,0.335,0.17,1.2105,0.2555,0.62,13.0
0.405,0.3265,0.175,0.13,0.7185,0.1975,0.525,8.0
0.325,0.1365,0.11,0.1,0.3295,0.0725,0.425,7.0
0.295,0.147,0.09,0.095,0.335,0.094,0.385,7.0
0.375,0.1685,0.15,0.115,0.4265,0.0755,0.47,8.0
0.51,0.4375,0.4,0.175,1.1505,0.2265,0.62,12.0
0.47,0.359,0.245,0.15,0.8915,0.2105,0.595,12.0
0.455,0.462,0.295,0.14,0.97,0.185,0.585,9.0
0.24,0.08,0.055,0.08,0.18,0.0385,0.32,6.0
0.35,0.2,0.13,0.11,0.4585,0.0885,0.44,9.0
0.425,0.3055,0.18,0.1,0.7145,0.166,0.565,12.0
0.53,0.5825,0.465,0.205,1.496,0.337,0.68,14.0
0.37,0.2025,0.155,0.105,0.4665,0.1015,0.47,10.0
0.35,0.1575,0.135,0.105,0.401,0.083,0.455,9.0
0.35,0.2015,0.185,0.12,0.5205,0.1625,0.465,11.0
0.375,0.186,0.17,0.135,0.4935,0.0845,0.46,12.0
0.31,0.1305,0.115,0.09,0.3245,0.0735,0.415,8.0
0.195,0.0465,0.036,0.07,0.106,0.018,0.27,7.0
0.355,0.1805,0.1505,0.11,0.4415,0.1035,0.445,10.0
0.44,0.368,0.265,0.135,0.879,0.2095,0.55,10.0
0.46,0.473,0.435,0.165,1.2275,0.1965,0.58,16.0
0.5,0.4915,0.49,0.165,1.2715,0.185,0.61,12.0
0.495,0.643,0.725,0.175,1.806,0.3285,0.62,17.0
0.42,0.3025,0.285,0.195,0.8085,0.1795,0.56,14.0
0.55,0.732,0.57,0.2,1.8465,0.472,0.69,19.0
0.305,0.1395,0.095,0.09,0.3245,0.0565,0.375,5.0
0.235,0.066,0.045,0.085,0.1545,0.0345,0.335,6.0
0.21,0.055,0.04,0.075,0.1185,0.0285,0.285,7.0
0.465,0.3245,0.23,0.125,0.799,0.2,0.595,10.0
0.45,0.342,0.35,0.185,0.925,0.197,0.575,12.0
0.42,0.3355,0.26,0.165,0.9195,0.1985,0.535,16.0
0.43,0.317,0.355,0.16,0.9295,0.1735,0.55,13.0
0.4,0.2345,0.35,0.155,0.8085,0.1155,0.495,6.0
0.34,0.193,0.13,0.12,0.4475,0.1035,0.445,9.0
0.385,0.2,0.26,0.135,0.6335,0.1225,0.495,14.0
0.37,0.222,0.17,0.135,0.547,0.1325,0.47,12.0
0.47,0.3215,0.315,0.165,0.927,0.1985,0.58,11.0
0.495,0.5265,0.455,0.185,1.4935,0.2785,0.645,15.0
0.405,0.3445,0.295,0.16,0.9245,0.2185,0.57,19.0
0.48,0.5305,0.47,0.19,1.36,0.2375,0.615,18.0
0.345,0.175,0.13,0.105,0.43,0.096,0.42,7.0
0.34,0.175,0.135,0.115,0.4215,0.093,0.42,8.0
0.505,0.4865,0.61,0.2,1.6305,0.297,0.66,18.0
0.47,0.387,0.35,0.195,1.142,0.258,0.565,17.0
0.51,0.5635,0.57,0.23,1.539,0.2815,0.63,17.0
0.39,0.3285,0.27,0.15,0.853,0.189,0.495,14.0
0.465,0.401,0.385,0.175,1.035,0.1865,0.58,17.0
0.475,0.356,0.28,0.155,0.857,0.174,0.59,13.0
0.28,0.0805,0.075,0.095,0.2225,0.051,0.37,7.0
