drive-wheels_fwd,wheel-base,aspiration,length,fuel-system_spdi,fuel-system_1bbl,fuel-system_mpfi,drive-wheels_4wd,compression-ratio,curb-weight,engine-type_dohcv,horsepower,body-style_hatchback,body-style_hardtop,engine-type_ohcv,num-of-doors,width,bore,engine-size,drive-wheels_rwd,num-of-cylinders,fuel-system_spfi,engine-type_ohc,fuel-system_mfi,body-style_sedan,city-mpg,fuel-system_2bbl,price,highway-mpg,height,fuel-system_idi,body-style_convertible,fuel-type,symboling,stroke,engine-type_ohcf,body-style_wagon,peak-rpm,engine-type_dohc,engine-location,engine-type_l,make
1,99.1,0,186.6,0,0,1,0,9.3,2758,0,110,0,0,0,4,66.5,3.54,121,0,4,0,1,0,1,21,0,15510,28,56.1,0,0,1,2,3.07,0,0,5250,0,0,0,saab
1,99.1,1,186.6,0,0,1,0,9.0,2808,0,160,1,0,0,2,66.5,3.54,121,0,4,0,0,0,0,19,0,18150,26,56.1,0,0,1,3,3.07,0,0,5500,1,0,0,saab
1,99.1,1,186.6,0,0,1,0,9.0,2847,0,160,0,0,0,4,66.5,3.54,121,0,4,0,0,0,1,19,0,18620,26,56.1,0,0,1,2,3.07,0,0,5500,1,0,0,saab
1,93.7,0,156.9,0,0,0,0,9.0,2050,0,69,1,0,0,2,63.4,3.62,97,0,4,0,0,0,0,31,1,5118,36,53.7,0,0,1,2,2.36,1,0,4900,0,0,0,subaru
1,93.7,0,157.9,0,0,0,0,8.7,2120,0,73,1,0,0,2,63.6,3.62,108,0,4,0,0,0,0,26,1,7053,31,53.7,0,0,1,2,2.64,1,0,4400,0,0,0,subaru
0,93.3,0,157.3,0,0,0,1,8.7,2240,0,73,1,0,0,2,63.8,3.62,108,0,4,0,0,0,0,26,1,7603,31,55.7,0,0,1,2,2.64,1,0,4400,0,0,0,subaru
1,97.2,0,172.0,0,0,0,0,9.5,2145,0,82,0,0,0,4,65.4,3.62,108,0,4,0,0,0,1,32,1,7126,37,52.5,0,0,1,0,2.64,1,0,4800,0,0,0,subaru
1,97.2,0,172.0,0,0,0,0,9.5,2190,0,82,0,0,0,4,65.4,3.62,108,0,4,0,0,0,1,28,1,7775,33,52.5,0,0,1,0,2.64,1,0,4400,0,0,0,subaru
1,97.2,0,172.0,0,0,1,0,9.0,2340,0,94,0,0,0,4,65.4,3.62,108,0,4,0,0,0,1,26,0,9960,32,52.5,0,0,1,0,2.64,1,0,5200,0,0,0,subaru
0,97.0,0,172.0,0,0,0,1,9.0,2385,0,82,0,0,0,4,65.4,3.62,108,0,4,0,0,0,1,24,1,9233,25,54.3,0,0,1,0,2.64,1,0,4800,0,0,0,subaru
0,97.0,1,172.0,0,0,1,1,7.7,2510,0,111,0,0,0,4,65.4,3.62,108,0,4,0,0,0,1,24,0,11259,29,54.3,0,0,1,0,2.64,1,0,4800,0,0,0,subaru
1,97.0,0,173.5,0,0,0,0,9.0,2290,0,82,0,0,0,4,65.4,3.62,108,0,4,0,0,0,0,28,1,7463,32,53.0,0,0,1,0,2.64,1,1,4800,0,0,0,subaru
1,97.0,0,173.5,0,0,1,0,9.0,2455,0,94,0,0,0,4,65.4,3.62,108,0,4,0,0,0,0,25,0,10198,31,53.0,0,0,1,0,2.64,1,1,5200,0,0,0,subaru
0,96.9,0,173.6,0,0,0,1,9.0,2420,0,82,0,0,0,4,65.4,3.62,108,0,4,0,0,0,0,23,1,8013,29,54.9,0,0,1,0,2.64,1,1,4800,0,0,0,subaru
0,96.9,1,173.6,0,0,1,1,7.7,2650,0,111,0,0,0,4,65.4,3.62,108,0,4,0,0,0,0,23,0,11694,23,54.9,0,0,1,0,2.64,1,1,4800,0,0,0,subaru
1,95.7,0,158.7,0,0,0,0,9.0,1985,0,62,1,0,0,2,63.6,3.05,92,0,4,0,1,0,0,35,1,5348,39,54.5,0,0,1,1,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,158.7,0,0,0,0,9.0,2040,0,62,1,0,0,2,63.6,3.05,92,0,4,0,1,0,0,31,1,6338,38,54.5,0,0,1,1,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,158.7,0,0,0,0,9.0,2015,0,62,1,0,0,4,63.6,3.05,92,0,4,0,1,0,0,31,1,6488,38,54.5,0,0,1,1,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,169.7,0,0,0,0,9.0,2280,0,62,0,0,0,4,63.6,3.05,92,0,4,0,1,0,0,31,1,6918,37,59.1,0,0,1,0,3.03,0,1,4800,0,0,0,toyota
0,95.7,0,169.7,0,0,0,1,9.0,2290,0,62,0,0,0,4,63.6,3.05,92,0,4,0,1,0,0,27,1,7898,32,59.1,0,0,1,0,3.03,0,1,4800,0,0,0,toyota
0,95.7,0,169.7,0,0,0,1,9.0,3110,0,62,0,0,0,4,63.6,3.05,92,0,4,0,1,0,0,27,1,8778,32,59.1,0,0,1,0,3.03,0,1,4800,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,9.0,2081,0,70,0,0,0,4,64.4,3.19,98,0,4,0,1,0,1,30,1,6938,37,53.0,0,0,1,0,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,9.0,2109,0,70,1,0,0,4,64.4,3.19,98,0,4,0,1,0,0,30,1,7198,37,52.8,0,0,1,0,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,22.5,2275,0,56,0,0,0,4,64.4,3.27,110,0,4,0,1,0,1,34,0,7898,36,53.0,1,0,0,0,3.35,0,0,4500,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,22.5,2275,0,56,1,0,0,4,64.4,3.27,110,0,4,0,1,0,0,38,0,7788,47,52.8,1,0,0,0,3.35,0,0,4500,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,9.0,2094,0,70,0,0,0,4,64.4,3.19,98,0,4,0,1,0,1,38,1,7738,47,53.0,0,0,1,0,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,9.0,2122,0,70,1,0,0,4,64.4,3.19,98,0,4,0,1,0,0,28,1,8358,34,52.8,0,0,1,0,3.03,0,0,4800,0,0,0,toyota
1,95.7,0,166.3,0,0,0,0,9.0,2140,0,70,0,0,0,4,64.4,3.19,98,0,4,0,1,0,1,28,1,9258,34,52.8,0,0,1,0,3.03,0,0,4800,0,0,0,toyota
0,94.5,0,168.7,0,0,0,0,9.0,2169,0,70,0,0,0,2,64.0,3.19,98,1,4,0,1,0,1,29,1,8058,34,52.6,0,0,1,1,3.03,0,0,4800,0,0,0,toyota
0,94.5,0,168.7,0,0,0,0,9.0,2204,0,70,1,0,0,2,64.0,3.19,98,1,4,0,1,0,0,29,1,8238,34,52.6,0,0,1,1,3.03,0,0,4800,0,0,0,toyota
0,94.5,0,168.7,0,0,1,0,9.4,2265,0,112,0,0,0,2,64.0,3.24,98,1,4,0,0,0,1,26,0,9298,29,52.6,0,0,1,1,3.08,0,0,6600,1,0,0,toyota
0,94.5,0,168.7,0,0,1,0,9.4,2300,0,112,1,0,0,2,64.0,3.24,98,1,4,0,0,0,0,26,0,9538,29,52.6,0,0,1,1,3.08,0,0,6600,1,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2540,0,116,0,1,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,8449,30,52.0,0,0,1,2,3.5,0,0,4800,0,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2536,0,116,0,1,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,9639,30,52.0,0,0,1,2,3.5,0,0,4800,0,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2551,0,116,1,0,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,9989,30,52.0,0,0,1,2,3.5,0,0,4800,0,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2679,0,116,0,1,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,11199,30,52.0,0,0,1,2,3.5,0,0,4800,0,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2714,0,116,1,0,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,11549,30,52.0,0,0,1,2,3.5,0,0,4800,0,0,0,toyota
0,98.4,0,176.2,0,0,1,0,9.3,2975,0,116,0,0,0,2,65.6,3.62,146,1,4,0,1,0,0,24,0,17669,30,53.0,0,1,1,2,3.5,0,0,4800,0,0,0,toyota
1,102.4,0,175.6,0,0,1,0,8.7,2326,0,92,0,0,0,4,66.5,3.31,122,0,4,0,1,0,1,29,0,8948,34,54.9,0,0,1,-1,3.54,0,0,4200,0,0,0,toyota
1,102.4,1,175.6,0,0,0,0,22.5,2480,0,73,0,0,0,4,66.5,3.27,110,0,4,0,1,0,1,30,0,10698,33,54.9,1,0,0,-1,3.35,0,0,4500,0,0,0,toyota
1,102.4,0,175.6,0,0,1,0,8.7,2414,0,92,1,0,0,4,66.5,3.31,122,0,4,0,1,0,0,27,0,9988,32,53.9,0,0,1,-1,3.54,0,0,4200,0,0,0,toyota
1,102.4,0,175.6,0,0,1,0,8.7,2414,0,92,0,0,0,4,66.5,3.31,122,0,4,0,1,0,1,27,0,10898,32,54.9,0,0,1,-1,3.54,0,0,4200,0,0,0,toyota
1,102.4,0,175.6,0,0,1,0,8.7,2458,0,92,1,0,0,4,66.5,3.31,122,0,4,0,1,0,0,27,0,11248,32,53.9,0,0,1,-1,3.54,0,0,4200,0,0,0,toyota
0,102.9,0,183.5,0,0,1,0,9.3,2976,0,161,1,0,0,2,67.7,3.27,171,1,6,0,0,0,0,20,0,16558,24,52.0,0,0,1,3,3.35,0,0,5200,1,0,0,toyota
0,102.9,0,183.5,0,0,1,0,9.3,3016,0,161,1,0,0,2,67.7,3.27,171,1,6,0,0,0,0,19,0,15998,24,52.0,0,0,1,3,3.35,0,0,5200,1,0,0,toyota
0,104.5,0,187.8,0,0,1,0,9.2,3131,0,156,0,0,0,4,66.5,3.27,171,1,6,0,0,0,1,20,0,15690,24,54.1,0,0,1,-1,3.35,0,0,5200,1,0,0,toyota
0,104.5,0,187.8,0,0,1,0,9.2,3151,0,156,0,0,0,4,66.5,3.27,161,1,6,0,0,0,0,19,0,15750,24,54.1,0,0,1,-1,3.35,0,1,5200,1,0,0,toyota
1,97.3,0,171.7,0,0,0,0,23.0,2261,0,52,0,0,0,2,65.5,3.01,97,0,4,0,1,0,1,37,0,7775,46,55.7,1,0,0,2,3.4,0,0,4800,0,0,0,volkswagen
1,97.3,0,171.7,0,0,1,0,9.0,2209,0,85,0,0,0,2,65.5,3.19,109,0,4,0,1,0,1,27,0,7975,34,55.7,0,0,1,2,3.4,0,0,5250,0,0,0,volkswagen
1,97.3,0,171.7,0,0,0,0,23.0,2264,0,52,0,0,0,4,65.5,3.01,97,0,4,0,1,0,1,37,0,7995,46,55.7,1,0,0,2,3.4,0,0,4800,0,0,0,volkswagen
1,97.3,0,171.7,0,0,1,0,9.0,2212,0,85,0,0,0,4,65.5,3.19,109,0,4,0,1,0,1,27,0,8195,34,55.7,0,0,1,2,3.4,0,0,5250,0,0,0,volkswagen
1,97.3,0,171.7,0,0,1,0,9.0,2275,0,85,0,0,0,4,65.5,3.19,109,0,4,0,1,0,1,27,0,8495,34,55.7,0,0,1,2,3.4,0,0,5250,0,0,0,volkswagen
1,97.3,1,171.7,0,0,0,0,23.0,2319,0,68,0,0,0,4,65.5,3.01,97,0,4,0,1,0,1,37,0,9495,42,55.7,1,0,0,2,3.4,0,0,4500,0,0,0,volkswagen
1,97.3,0,171.7,0,0,1,0,10.0,2300,0,100,0,0,0,4,65.5,3.19,109,0,4,0,1,0,1,26,0,9995,32,55.7,0,0,1,2,3.4,0,0,5500,0,0,0,volkswagen
1,94.5,0,159.3,0,0,1,0,8.5,2254,0,90,0,0,0,2,64.2,3.19,109,0,4,0,1,0,0,24,0,11595,29,55.6,0,1,1,3,3.4,0,0,5500,0,0,0,volkswagen
1,94.5,0,165.7,0,0,1,0,8.5,2221,0,90,1,0,0,2,64.0,3.19,109,0,4,0,1,0,0,24,0,9980,29,51.4,0,0,1,3,3.4,0,0,5500,0,0,0,volkswagen
1,100.4,0,180.2,0,0,1,0,8.5,2661,0,110,0,0,0,4,66.9,3.19,136,0,5,0,1,0,1,19,0,13295,24,55.1,0,0,1,0,3.4,0,0,5500,0,0,0,volkswagen
1,100.4,1,180.2,0,0,0,0,23.0,2579,0,68,0,0,0,4,66.9,3.01,97,0,4,0,1,0,1,33,0,13845,38,55.1,1,0,0,0,3.4,0,0,4500,0,0,0,volkswagen
1,100.4,0,183.1,0,0,1,0,9.0,2563,0,88,0,0,0,4,66.9,3.19,109,0,4,0,1,0,0,25,0,12290,31,55.1,0,0,1,0,3.4,0,1,5500,0,0,0,volkswagen
0,104.3,0,188.8,0,0,1,0,9.5,2912,0,114,0,0,0,4,67.2,3.78,141,1,4,0,1,0,1,23,0,12940,28,56.2,0,0,1,-2,3.15,0,0,5400,0,0,0,volvo
0,104.3,0,188.8,0,0,1,0,9.5,3034,0,114,0,0,0,4,67.2,3.78,141,1,4,0,1,0,0,23,0,13415,28,57.5,0,0,1,-1,3.15,0,1,5400,0,0,0,volvo
0,104.3,0,188.8,0,0,1,0,9.5,2935,0,114,0,0,0,4,67.2,3.78,141,1,4,0,1,0,1,24,0,15985,28,56.2,0,0,1,-2,3.15,0,0,5400,0,0,0,volvo
0,104.3,0,188.8,0,0,1,0,9.5,3042,0,114,0,0,0,4,67.2,3.78,141,1,4,0,1,0,0,24,0,16515,28,57.5,0,0,1,-1,3.15,0,1,5400,0,0,0,volvo
0,104.3,1,188.8,0,0,1,0,7.5,3045,0,162,0,0,0,4,67.2,3.62,130,1,4,0,1,0,1,17,0,18420,22,56.2,0,0,1,-2,3.15,0,0,5100,0,0,0,volvo
0,104.3,1,188.8,0,0,1,0,7.5,3157,0,162,0,0,0,4,67.2,3.62,130,1,4,0,1,0,0,17,0,18950,22,57.5,0,0,1,-1,3.15,0,1,5100,0,0,0,volvo
0,109.1,0,188.8,0,0,1,0,9.5,2952,0,114,0,0,0,4,68.9,3.78,141,1,4,0,1,0,1,23,0,16845,28,55.5,0,0,1,-1,3.15,0,0,5400,0,0,0,volvo
0,109.1,1,188.8,0,0,1,0,8.7,3049,0,160,0,0,0,4,68.8,3.78,141,1,4,0,1,0,1,19,0,19045,25,55.5,0,0,1,-1,3.15,0,0,5300,0,0,0,volvo
0,109.1,0,188.8,0,0,1,0,8.8,3012,0,134,0,0,1,4,68.9,3.58,173,1,6,0,0,0,1,18,0,21485,23,55.5,0,0,1,-1,2.87,0,0,5500,0,0,0,volvo
0,109.1,1,188.8,0,0,0,0,23.0,3217,0,106,0,0,0,4,68.9,3.01,145,1,6,0,1,0,1,26,0,22470,27,55.5,1,0,0,-1,3.4,0,0,4800,0,0,0,volvo
0,109.1,1,188.8,0,0,1,0,9.5,3062,0,114,0,0,0,4,68.9,3.78,141,1,4,0,1,0,1,19,0,22625,25,55.5,0,0,1,-1,3.15,0,0,5400,0,0,0,volvo
